GROUP,HH_SIZE,COUNT,CHART_TYPE
PARTICIPANT RESPONSE,One (1),8399,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Two (2),10297,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Three (3),9592,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Four (4),7436,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Five (5),4128,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Six (6),1342,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Seven (7),480,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Eight (8),154,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Nine (9),39,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Ten or More (10+),178,HOUSEHOLD SIZE
