TOURS AND STOPS,DRIVE TRANSIT,COUNT,CHART
"No Tours, No Stops",FALSE,215,DRIVE TRANSIT ONLY
"No Tours, No Stops",TRUE,10,DRIVE TRANSIT ONLY
"1 Tour, No Stops",FALSE,319,DRIVE TRANSIT ONLY
"1 Tour, No Stops",TRUE,54,DRIVE TRANSIT ONLY
"1 Tour, 1 Stop",FALSE,209,DRIVE TRANSIT ONLY
"1 Tour, 1 Stop",TRUE,25,DRIVE TRANSIT ONLY
"1 Tour, 2 Stops",FALSE,62,DRIVE TRANSIT ONLY
"1 Tour, 2 Stops",TRUE,6,DRIVE TRANSIT ONLY
"1 Tour, 3 Stops",FALSE,20,DRIVE TRANSIT ONLY
"1 Tour, 3 Stops",TRUE,6,DRIVE TRANSIT ONLY
"1 Tour, 4+ Stops",FALSE,20,DRIVE TRANSIT ONLY
"2 Tours, No Stops",FALSE,4,DRIVE TRANSIT ONLY
"2 Tours, No Stops",TRUE,5,DRIVE TRANSIT ONLY
"2 Tours, 1 Stop",FALSE,13,DRIVE TRANSIT ONLY
"2 Tours, 2 Stops",FALSE,13,DRIVE TRANSIT ONLY
"2 Tours, 3 Stops",FALSE,10,DRIVE TRANSIT ONLY
"2 Tours, 4+ Stops",FALSE,5,DRIVE TRANSIT ONLY
"3 Tours, 1 Stop",TRUE,1,DRIVE TRANSIT ONLY
"3 Tours, 2 Stops",FALSE,1,DRIVE TRANSIT ONLY
"3 Tours, 2 Stops",TRUE,1,DRIVE TRANSIT ONLY
"4+ Tours, 4+ Stops",FALSE,1,DRIVE TRANSIT ONLY
