TOURS AND STOPS,HAS WORK SCHOOL,COUNT,CHART
"No Tours, No Stops",FALSE,224,HAS WORK AND SCHOOL
"No Tours, No Stops",TRUE,1,HAS WORK AND SCHOOL
"1 Tour, No Stops",FALSE,368,HAS WORK AND SCHOOL
"1 Tour, No Stops",TRUE,5,HAS WORK AND SCHOOL
"1 Tour, 1 Stop",FALSE,229,HAS WORK AND SCHOOL
"1 Tour, 1 Stop",TRUE,5,HAS WORK AND SCHOOL
"1 Tour, 2 Stops",FALSE,68,HAS WORK AND SCHOOL
"1 Tour, 3 Stops",FALSE,26,HAS WORK AND SCHOOL
"1 Tour, 4+ Stops",FALSE,20,HAS WORK AND SCHOOL
"2 Tours, No Stops",FALSE,5,HAS WORK AND SCHOOL
"2 Tours, No Stops",TRUE,4,HAS WORK AND SCHOOL
"2 Tours, 1 Stop",FALSE,12,HAS WORK AND SCHOOL
"2 Tours, 1 Stop",TRUE,1,HAS WORK AND SCHOOL
"2 Tours, 2 Stops",FALSE,13,HAS WORK AND SCHOOL
"2 Tours, 3 Stops",FALSE,10,HAS WORK AND SCHOOL
"2 Tours, 4+ Stops",FALSE,5,HAS WORK AND SCHOOL
"3 Tours, 1 Stop",FALSE,1,HAS WORK AND SCHOOL
"3 Tours, 2 Stops",FALSE,2,HAS WORK AND SCHOOL
"4+ Tours, 4+ Stops",FALSE,1,HAS WORK AND SCHOOL
