TOURS AND STOPS,OVERALL,COUNT,CHART
"No Tours, No Stops",PARTICIPANTS,225,OVERALL
"1 Tour, No Stops",PARTICIPANTS,373,OVERALL
"1 Tour, 1 Stop",PARTICIPANTS,234,OVERALL
"1 Tour, 2 Stops",PARTICIPANTS,68,OVERALL
"1 Tour, 3 Stops",PARTICIPANTS,26,OVERALL
"1 Tour, 4+ Stops",PARTICIPANTS,20,OVERALL
"2 Tours, No Stops",PARTICIPANTS,9,OVERALL
"2 Tours, 1 Stop",PARTICIPANTS,13,OVERALL
"2 Tours, 2 Stops",PARTICIPANTS,13,OVERALL
"2 Tours, 3 Stops",PARTICIPANTS,10,OVERALL
"2 Tours, 4+ Stops",PARTICIPANTS,5,OVERALL
"3 Tours, 1 Stop",PARTICIPANTS,1,OVERALL
"3 Tours, 2 Stops",PARTICIPANTS,2,OVERALL
"4+ Tours, 4+ Stops",PARTICIPANTS,1,OVERALL
