NTOURS,NSTOPS,COUNT,CHART
No Tours,No Stops,225,NUMBER OF STOPS
1 Tour,No Stops,373,NUMBER OF STOPS
1 Tour,1 Stop,234,NUMBER OF STOPS
1 Tour,2 Stops,68,NUMBER OF STOPS
1 Tour,3 Stops,26,NUMBER OF STOPS
1 Tour,4+ Stops,20,NUMBER OF STOPS
2 Tours,No Stops,9,NUMBER OF STOPS
2 Tours,1 Stop,13,NUMBER OF STOPS
2 Tours,2 Stops,13,NUMBER OF STOPS
2 Tours,3 Stops,10,NUMBER OF STOPS
2 Tours,4+ Stops,5,NUMBER OF STOPS
3 Tours,1 Stop,1,NUMBER OF STOPS
3 Tours,2 Stops,2,NUMBER OF STOPS
4+ Tours,4+ Stops,1,NUMBER OF STOPS
