TOURS AND STOPS,WALK TRANSIT,COUNT,CHART
"No Tours, No Stops",FALSE,138,WALK TRANSIT ONLY
"No Tours, No Stops",TRUE,87,WALK TRANSIT ONLY
"1 Tour, No Stops",FALSE,143,WALK TRANSIT ONLY
"1 Tour, No Stops",TRUE,230,WALK TRANSIT ONLY
"1 Tour, 1 Stop",FALSE,96,WALK TRANSIT ONLY
"1 Tour, 1 Stop",TRUE,138,WALK TRANSIT ONLY
"1 Tour, 2 Stops",FALSE,32,WALK TRANSIT ONLY
"1 Tour, 2 Stops",TRUE,36,WALK TRANSIT ONLY
"1 Tour, 3 Stops",FALSE,17,WALK TRANSIT ONLY
"1 Tour, 3 Stops",TRUE,9,WALK TRANSIT ONLY
"1 Tour, 4+ Stops",FALSE,13,WALK TRANSIT ONLY
"1 Tour, 4+ Stops",TRUE,7,WALK TRANSIT ONLY
"2 Tours, No Stops",FALSE,5,WALK TRANSIT ONLY
"2 Tours, No Stops",TRUE,4,WALK TRANSIT ONLY
"2 Tours, 1 Stop",FALSE,6,WALK TRANSIT ONLY
"2 Tours, 1 Stop",TRUE,7,WALK TRANSIT ONLY
"2 Tours, 2 Stops",FALSE,4,WALK TRANSIT ONLY
"2 Tours, 2 Stops",TRUE,9,WALK TRANSIT ONLY
"2 Tours, 3 Stops",FALSE,6,WALK TRANSIT ONLY
"2 Tours, 3 Stops",TRUE,4,WALK TRANSIT ONLY
"2 Tours, 4+ Stops",FALSE,3,WALK TRANSIT ONLY
"2 Tours, 4+ Stops",TRUE,2,WALK TRANSIT ONLY
"3 Tours, 1 Stop",FALSE,1,WALK TRANSIT ONLY
"3 Tours, 2 Stops",FALSE,1,WALK TRANSIT ONLY
"3 Tours, 2 Stops",TRUE,1,WALK TRANSIT ONLY
"4+ Tours, 4+ Stops",FALSE,1,WALK TRANSIT ONLY
