CountyID,County,Change in Percent Devices at Home,Change in Percent Devices at Home. Midday
Bergen,Bergen,Weekday,39.70399174
Essex,Essex,Weekday,32.46374945
Hudson,Hudson,Weekday,31.53052029
Hunterdon,Hunterdon,Weekday,36.59886174
Middlesex,Middlesex,Weekday,34.73794212
Monmouth,Monmouth,Weekday,37.78496152
Morris,Morris,Weekday,39.33692418
Ocean,Ocean,Weekday,32.96856275
Passaic,Passaic,Weekday,33.55902228
Somerset,Somerset,Weekday,39.03809314
Sussex,Sussex,Weekday,33.47202344
Union,Union,Weekday,35.78938802
Bronx,Bronx,Weekday,24.90151402
Kings,Kings,Weekday,30.23599256
Nassau,Nassau,Weekday,40.49630876
New York,New York,Weekday,21.51241197
Putnam,Putnam,Weekday,34.77615872
Queens,Queens,Weekday,34.6235328
Richmond,Richmond,Weekday,34.61155849
Rockland,Rockland,Weekday,36.44539976
Suffolk,Suffolk,Weekday,35.7093109
Westchester,Westchester,Weekday,35.23000303
Pike,Pike,Weekday,28.73167132
Bergen,Bergen,Weekend,21.8823061
Essex,Essex,Weekend,18.62785116
Hudson,Hudson,Weekend,16.67124031
Hunterdon,Hunterdon,Weekend,21.55020947
Middlesex,Middlesex,Weekend,19.35160793
Monmouth,Monmouth,Weekend,22.20089759
Morris,Morris,Weekend,21.07963131
Ocean,Ocean,Weekend,20.86953747
Passaic,Passaic,Weekend,18.74176268
Somerset,Somerset,Weekend,21.52709847
Sussex,Sussex,Weekend,20.02909394
Union,Union,Weekend,20.60073767
Bronx,Bronx,Weekend,14.68536365
Kings,Kings,Weekend,15.51729782
Nassau,Nassau,Weekend,22.19518592
New York,New York,Weekend,9.075984826
Putnam,Putnam,Weekend,21.1480707
Queens,Queens,Weekend,19.11984079
Richmond,Richmond,Weekend,19.90057862
Rockland,Rockland,Weekend,21.08312562
Suffolk,Suffolk,Weekend,21.09899223
Westchester,Westchester,Weekend,19.02681894
Pike,Pike,Weekend,19.23596381
