CountyID,County,Change in Percent Devices at Home,Change in Percent Devices at Home Midday
Bergen,Bergen,Weekday,39.63
Essex,Essex,Weekday,32.36
Hudson,Hudson,Weekday,31.92
Hunterdon,Hunterdon,Weekday,37.47
Middlesex,Middlesex,Weekday,35.83
Monmouth,Monmouth,Weekday,38.15
Morris,Morris,Weekday,39.58
Ocean,Ocean,Weekday,32.79
Passaic,Passaic,Weekday,33.43
Somerset,Somerset,Weekday,39.46
Sussex,Sussex,Weekday,33.6
Union,Union,Weekday,35.19
Bronx,Bronx,Weekday,24.64
Kings,Kings,Weekday,30.08
Nassau,Nassau,Weekday,40.14
New York,New York,Weekday,25.55
Putnam,Putnam,Weekday,34.83
Queens,Queens,Weekday,33.58
Richmond,Richmond,Weekday,34.33
Rockland,Rockland,Weekday,36.56
Suffolk,Suffolk,Weekday,35.74
Westchester,Westchester,Weekday,35.91
Pike,Pike,Weekday,30.51
Bergen,Bergen,Weekend,21.63
Essex,Essex,Weekend,18.42
Hudson,Hudson,Weekend,16.91
Hunterdon,Hunterdon,Weekend,21.89
Middlesex,Middlesex,Weekend,19.98
Monmouth,Monmouth,Weekend,22.07
Morris,Morris,Weekend,20.86
Ocean,Ocean,Weekend,20.29
Passaic,Passaic,Weekend,18.52
Somerset,Somerset,Weekend,21.87
Sussex,Sussex,Weekend,19.59
Union,Union,Weekend,19.86
Bronx,Bronx,Weekend,14.34
Kings,Kings,Weekend,15.49
Nassau,Nassau,Weekend,21.71
New York,New York,Weekend,13.17
Putnam,Putnam,Weekend,21.14
Queens,Queens,Weekend,18.37
Richmond,Richmond,Weekend,19.28
Rockland,Rockland,Weekend,21.38
Suffolk,Suffolk,Weekend,20.66
Westchester,Westchester,Weekend,19.49
Pike,Pike,Weekend,20.94
