Location,Week,Percent Time Spent at Location,Chart
Home,2/3/2020,41.65,Weekday
Home,2/10/2020,40.67,Weekday
Home,2/17/2020,42.26,Weekday
Home,2/24/2020,39.82,Weekday
Home,3/2/2020,38.31,Weekday
Home,3/9/2020,41.51,Weekday
Home,3/16/2020,57.8,Weekday
Home,3/23/2020,64.58,Weekday
Work,2/3/2020,34.66,Weekday
Work,2/10/2020,34.75,Weekday
Work,2/17/2020,31.91,Weekday
Work,2/24/2020,35.11,Weekday
Work,3/2/2020,34.8,Weekday
Work,3/9/2020,33.16,Weekday
Work,3/16/2020,22.85,Weekday
Work,3/23/2020,18.92,Weekday
Other,2/3/2020,23.69,Weekday
Other,2/10/2020,24.58,Weekday
Other,2/17/2020,25.84,Weekday
Other,2/24/2020,25.07,Weekday
Other,3/2/2020,26.89,Weekday
Other,3/9/2020,25.34,Weekday
Other,3/16/2020,19.35,Weekday
Other,3/23/2020,16.5,Weekday
Home,2/3/2020,58.88,Weekend
Home,2/10/2020,55.66,Weekend
Home,2/17/2020,57.07,Weekend
Home,2/24/2020,57.69,Weekend
Home,3/2/2020,55.46,Weekend
Home,3/9/2020,62.72,Weekend
Home,3/16/2020,69.88,Weekend
Home,3/23/2020,72.94,Weekend
Work,2/3/2020,10.2,Weekend
Work,2/10/2020,10.35,Weekend
Work,2/17/2020,10.26,Weekend
Work,2/24/2020,9.47,Weekend
Work,3/2/2020,11.24,Weekend
Work,3/9/2020,10.41,Weekend
Work,3/16/2020,10.29,Weekend
Work,3/23/2020,9.94,Weekend
Other,2/3/2020,30.92,Weekend
Other,2/10/2020,33.99,Weekend
Other,2/17/2020,32.67,Weekend
Other,2/24/2020,32.84,Weekend
Other,3/2/2020,33.3,Weekend
Other,3/9/2020,26.87,Weekend
Other,3/16/2020,19.83,Weekend
Other,3/23/2020,17.12,Weekend
