GEOID,County,Day type,"Change in percent devices at home, midday"
34003001000,Bergen,Weekday,39.76
34003002100,Bergen,Weekday,15.06
34003002200,Bergen,Weekday,35.69
34003002300,Bergen,Weekday,42.07
34003003100,Bergen,Weekday,31.25
34003003200,Bergen,Weekday,27.36
34003003300,Bergen,Weekday,36.22
34003003401,Bergen,Weekday,47.04
34003003402,Bergen,Weekday,37.86
34003003500,Bergen,Weekday,40.51
34003004001,Bergen,Weekday,27.55
34003004002,Bergen,Weekday,36.23
34003005000,Bergen,Weekday,29.85
34003006100,Bergen,Weekday,31.98
34003006201,Bergen,Weekday,42.19
34003006202,Bergen,Weekday,43.43
34003006300,Bergen,Weekday,34.26
34003007001,Bergen,Weekday,39.38
34003007002,Bergen,Weekday,39.91
34003008000,Bergen,Weekday,41.76
34003009100,Bergen,Weekday,43.45
34003009200,Bergen,Weekday,44.68
34003010100,Bergen,Weekday,36.58
34003010200,Bergen,Weekday,36.08
34003010300,Bergen,Weekday,37.68
34003011100,Bergen,Weekday,32.33
34003011200,Bergen,Weekday,30.29
34003011300,Bergen,Weekday,33.22
34003011400,Bergen,Weekday,31.71
34003012001,Bergen,Weekday,29.19
34003012002,Bergen,Weekday,39.63
34003013001,Bergen,Weekday,37.9
34003013002,Bergen,Weekday,35.35
34003014000,Bergen,Weekday,43.86
34003015100,Bergen,Weekday,40.21
34003015200,Bergen,Weekday,39.26
34003015300,Bergen,Weekday,28.5
34003015400,Bergen,Weekday,30.38
34003015500,Bergen,Weekday,32.39
34003016000,Bergen,Weekday,35.44
34003017100,Bergen,Weekday,45.25
34003017200,Bergen,Weekday,45.01
34003017300,Bergen,Weekday,34.85
34003017400,Bergen,Weekday,37.41
34003017500,Bergen,Weekday,42.97
34003018100,Bergen,Weekday,29.08
34003018200,Bergen,Weekday,32.65
34003019102,Bergen,Weekday,38.8
34003019103,Bergen,Weekday,39.31
34003019104,Bergen,Weekday,33.98
34003019202,Bergen,Weekday,24.98
34003019203,Bergen,Weekday,45.81
34003019204,Bergen,Weekday,47.14
34003019303,Bergen,Weekday,45
34003019304,Bergen,Weekday,38.61
34003019305,Bergen,Weekday,37.19
34003019306,Bergen,Weekday,48.15
34003020100,Bergen,Weekday,39.15
34003020200,Bergen,Weekday,44.45
34003021100,Bergen,Weekday,26.36
34003021200,Bergen,Weekday,31.02
34003021300,Bergen,Weekday,33.73
34003021400,Bergen,Weekday,23.95
34003021500,Bergen,Weekday,27.03
34003021600,Bergen,Weekday,30.35
34003022100,Bergen,Weekday,42.29
34003022200,Bergen,Weekday,45.25
34003023100,Bergen,Weekday,32.38
34003023200,Bergen,Weekday,34.35
34003023301,Bergen,Weekday,35.1
34003023302,Bergen,Weekday,30.93
