GEOID,County,State,"Change in percent devices at home, midday"
34003001000,Bergen,NJ,39.76
34003002100,Bergen,NJ,15.06
34003002200,Bergen,NJ,35.69
34003002300,Bergen,NJ,42.07
34003003100,Bergen,NJ,31.25
34003003200,Bergen,NJ,27.36
34003003300,Bergen,NJ,36.22
34003003401,Bergen,NJ,47.04
34003003402,Bergen,NJ,37.86
34003003500,Bergen,NJ,40.51
34003004001,Bergen,NJ,27.55
34003004002,Bergen,NJ,36.23
34003005000,Bergen,NJ,29.85
34003006100,Bergen,NJ,31.98
34003006201,Bergen,NJ,42.19
34003006202,Bergen,NJ,43.43
34003006300,Bergen,NJ,34.26
34003007001,Bergen,NJ,39.38
34003007002,Bergen,NJ,39.91
34003008000,Bergen,NJ,41.76
34003009100,Bergen,NJ,43.45
34003009200,Bergen,NJ,44.68
34003010100,Bergen,NJ,36.58
34003010200,Bergen,NJ,36.08
34003010300,Bergen,NJ,37.68
34003011100,Bergen,NJ,32.33
34003011200,Bergen,NJ,30.29
34003011300,Bergen,NJ,33.22
34003011400,Bergen,NJ,31.71
34003012001,Bergen,NJ,29.19
34003012002,Bergen,NJ,39.63
34003013001,Bergen,NJ,37.9
34003013002,Bergen,NJ,35.35
34003014000,Bergen,NJ,43.86
34003015100,Bergen,NJ,40.21
34003015200,Bergen,NJ,39.26
34003015300,Bergen,NJ,28.5
34003015400,Bergen,NJ,30.38
34003015500,Bergen,NJ,32.39
34003016000,Bergen,NJ,35.44
34003017100,Bergen,NJ,45.25
34003017200,Bergen,NJ,45.01
34003017300,Bergen,NJ,34.85
34003017400,Bergen,NJ,37.41
34003017500,Bergen,NJ,42.97
34003018100,Bergen,NJ,29.08
34003018200,Bergen,NJ,32.65
34003019102,Bergen,NJ,38.8
34003019103,Bergen,NJ,39.31
34003019104,Bergen,NJ,33.98
34003019202,Bergen,NJ,24.98
34003019203,Bergen,NJ,45.81
34003019204,Bergen,NJ,47.14
34003019303,Bergen,NJ,45
34003019304,Bergen,NJ,38.61
34003019305,Bergen,NJ,37.19
34003019306,Bergen,NJ,48.15
34003020100,Bergen,NJ,39.15
34003020200,Bergen,NJ,44.45
34003021100,Bergen,NJ,26.36
34003021200,Bergen,NJ,31.02
34003021300,Bergen,NJ,33.73
34003021400,Bergen,NJ,23.95
34003021500,Bergen,NJ,27.03
34003021600,Bergen,NJ,30.35
34003022100,Bergen,NJ,42.29
34003022200,Bergen,NJ,45.25
34003023100,Bergen,NJ,32.38
34003023200,Bergen,NJ,34.35
34003023301,Bergen,NJ,35.1
34003023302,Bergen,NJ,30.93
34003023401,Bergen,NJ,25.39
34003023402,Bergen,NJ,28.05
34003023501,Bergen,NJ,30.25
34003023502,Bergen,NJ,33.1
34003023601,Bergen,NJ,35.49
34003023602,Bergen,NJ,27.43
34003024100,Bergen,NJ,41.98
34003024200,Bergen,NJ,46.36
34003025100,Bergen,NJ,31.5
34003025200,Bergen,NJ,35.28
34003026100,Bergen,NJ,41.07
34003026200,Bergen,NJ,37.99
34003027000,Bergen,NJ,42.94
34003028001,Bergen,NJ,46.91
34003028002,Bergen,NJ,40.31
34003029100,Bergen,NJ,34.84
34003029200,Bergen,NJ,31.62
34003030100,Bergen,NJ,29.32
34003030200,Bergen,NJ,32.17
34003030300,Bergen,NJ,31.62
34003030400,Bergen,NJ,34.08
34003031100,Bergen,NJ,28.45
34003031200,Bergen,NJ,35.89
34003031300,Bergen,NJ,34.03
34003031400,Bergen,NJ,36.91
34003032102,Bergen,NJ,41.25
34003032103,Bergen,NJ,35.44
34003032104,Bergen,NJ,-11.77
34003032201,Bergen,NJ,42.59
34003032202,Bergen,NJ,39.63
34003033100,Bergen,NJ,38.29
34003033200,Bergen,NJ,36.14
34003033300,Bergen,NJ,28.92
34003034000,Bergen,NJ,44.51
34003035100,Bergen,NJ,43.67
34003035200,Bergen,NJ,51.45
34003036100,Bergen,NJ,16.99
34003036200,Bergen,NJ,32.64
34003037100,Bergen,NJ,34.38
34003037201,Bergen,NJ,41.69
34003037202,Bergen,NJ,39.94
34003038100,Bergen,NJ,34.69
34003038200,Bergen,NJ,31.93
34003038300,Bergen,NJ,36.14
