GEOID,County,State,"Change in percent devices at home, midday"
34003001000,Bergen,NJ,22.55
34003002100,Bergen,NJ,14.68
34003002200,Bergen,NJ,18.93
34003002300,Bergen,NJ,23.61
34003003100,Bergen,NJ,16.64
34003003200,Bergen,NJ,12.25
34003003300,Bergen,NJ,21.06
34003003401,Bergen,NJ,23.45
34003003402,Bergen,NJ,16.44
34003003500,Bergen,NJ,22.59
34003004001,Bergen,NJ,20.9
34003004002,Bergen,NJ,19.86
34003005000,Bergen,NJ,18.15
34003006100,Bergen,NJ,19.88
34003006201,Bergen,NJ,24.72
34003006202,Bergen,NJ,27.79
34003006300,Bergen,NJ,19.76
34003007001,Bergen,NJ,24.62
34003007002,Bergen,NJ,22.51
34003008000,Bergen,NJ,29.22
34003009100,Bergen,NJ,24.53
34003009200,Bergen,NJ,23.38
34003010100,Bergen,NJ,23.95
34003010200,Bergen,NJ,18.94
34003010300,Bergen,NJ,22.15
34003011100,Bergen,NJ,20.58
34003011200,Bergen,NJ,16.78
34003011300,Bergen,NJ,17.6
34003011400,Bergen,NJ,16.7
34003012001,Bergen,NJ,22.62
34003012002,Bergen,NJ,16.59
34003013001,Bergen,NJ,23.87
34003013002,Bergen,NJ,17.57
34003014000,Bergen,NJ,23.37
34003015100,Bergen,NJ,21.67
34003015200,Bergen,NJ,20.54
34003015300,Bergen,NJ,19.52
34003015400,Bergen,NJ,22.58
34003015500,Bergen,NJ,19.58
34003016000,Bergen,NJ,23.67
34003017100,Bergen,NJ,22.55
34003017200,Bergen,NJ,23.97
34003017300,Bergen,NJ,22.53
34003017400,Bergen,NJ,20.16
34003017500,Bergen,NJ,23.78
34003018100,Bergen,NJ,22.89
34003018200,Bergen,NJ,20.52
34003019102,Bergen,NJ,24.49
34003019103,Bergen,NJ,17.03
34003019104,Bergen,NJ,19.37
34003019202,Bergen,NJ,18.74
34003019203,Bergen,NJ,19.93
34003019204,Bergen,NJ,21.17
34003019303,Bergen,NJ,22.42
