Person Type Scenario,Period,Location,Percent Active Devices
Resident Weekday Before,1,HOME,0.895215847
Resident Weekday Before,2,HOME,0.902649904
Resident Weekday Before,3,HOME,0.909082247
Resident Weekday Before,4,HOME,0.912930873
Resident Weekday Before,5,HOME,0.915651947
Resident Weekday Before,6,HOME,0.917900172
Resident Weekday Before,7,HOME,0.919685328
Resident Weekday Before,8,HOME,0.919685835
Resident Weekday Before,9,HOME,0.917805214
Resident Weekday Before,10,HOME,0.913542192
Resident Weekday Before,11,HOME,0.903887695
Resident Weekday Before,12,HOME,0.888932351
Resident Weekday Before,13,HOME,0.863118496
Resident Weekday Before,14,HOME,0.830778071
Resident Weekday Before,15,HOME,0.772348067
Resident Weekday Before,16,HOME,0.691247041
Resident Weekday Before,17,HOME,0.604828479
Resident Weekday Before,18,HOME,0.53877685
Resident Weekday Before,19,HOME,0.486393352
Resident Weekday Before,20,HOME,0.452785485
Resident Weekday Before,21,HOME,0.428308474
Resident Weekday Before,22,HOME,0.412336585
Resident Weekday Before,23,HOME,0.400813731
Resident Weekday Before,24,HOME,0.393050454
Resident Weekday Before,25,HOME,0.39152556
Resident Weekday Before,26,HOME,0.387105872
Resident Weekday Before,27,HOME,0.387947364
Resident Weekday Before,28,HOME,0.389722264
Resident Weekday Before,29,HOME,0.396155596
Resident Weekday Before,30,HOME,0.413706214
Resident Weekday Before,31,HOME,0.446021386
Resident Weekday Before,32,HOME,0.476764796
Resident Weekday Before,33,HOME,0.504614645
Resident Weekday Before,34,HOME,0.536285937
Resident Weekday Before,35,HOME,0.576829213
Resident Weekday Before,36,HOME,0.614872147
Resident Weekday Before,37,HOME,0.644129108
Resident Weekday Before,38,HOME,0.665191418
Resident Weekday Before,39,HOME,0.684453606
Resident Weekday Before,40,HOME,0.697788242
Resident Weekday Before,41,HOME,0.723338696
Resident Weekday Before,42,HOME,0.749469196
Resident Weekday Before,43,HOME,0.779527596
Resident Weekday Before,44,HOME,0.802921203
Resident Weekday Before,45,HOME,0.827431594
Resident Weekday Before,46,HOME,0.842680751
Resident Weekday Before,47,HOME,0.861669807
Resident Weekday Before,48,HOME,0.871189699
Resident Weekday Before,1,WORK,0.032899278
Resident Weekday Before,2,WORK,0.030136658
Resident Weekday Before,3,WORK,0.027939902
Resident Weekday Before,4,WORK,0.026631953
Resident Weekday Before,5,WORK,0.02591983
Resident Weekday Before,6,WORK,0.025360574
Resident Weekday Before,7,WORK,0.024993213
Resident Weekday Before,8,WORK,0.02535234
Resident Weekday Before,9,WORK,0.026552743
Resident Weekday Before,10,WORK,0.028595755
Resident Weekday Before,11,WORK,0.033016667
Resident Weekday Before,12,WORK,0.040498567
Resident Weekday Before,13,WORK,0.056785014
Resident Weekday Before,14,WORK,0.078689133
Resident Weekday Before,15,WORK,0.125043986
Resident Weekday Before,16,WORK,0.193021002
Resident Weekday Before,17,WORK,0.26887534
Resident Weekday Before,18,WORK,0.325755345
Resident Weekday Before,19,WORK,0.373426281
Resident Weekday Before,20,WORK,0.397892533
Resident Weekday Before,21,WORK,0.413856284
Resident Weekday Before,22,WORK,0.424171063
Resident Weekday Before,23,WORK,0.43139142
Resident Weekday Before,24,WORK,0.435999064
Resident Weekday Before,25,WORK,0.434419555
Resident Weekday Before,26,WORK,0.433963274
Resident Weekday Before,27,WORK,0.434128676
Resident Weekday Before,28,WORK,0.432595796
Resident Weekday Before,29,WORK,0.428589006
Resident Weekday Before,30,WORK,0.410810293
Resident Weekday Before,31,WORK,0.380155653
Resident Weekday Before,32,WORK,0.346725807
Resident Weekday Before,33,WORK,0.312500113
Resident Weekday Before,34,WORK,0.275891644
Resident Weekday Before,35,WORK,0.226663251
Resident Weekday Before,36,WORK,0.185730607
Resident Weekday Before,37,WORK,0.152244853
Resident Weekday Before,38,WORK,0.128841964
Resident Weekday Before,39,WORK,0.110154406
Resident Weekday Before,40,WORK,0.098277664
Resident Weekday Before,41,WORK,0.086532502
Resident Weekday Before,42,WORK,0.078036952
Resident Weekday Before,43,WORK,0.069520783
Resident Weekday Before,44,WORK,0.063210484
Resident Weekday Before,45,WORK,0.055300512
Resident Weekday Before,46,WORK,0.049988153
Resident Weekday Before,47,WORK,0.043296345
Resident Weekday Before,48,WORK,0.039435987
Resident Weekday Before,1,OTHER,0.071884876
Resident Weekday Before,2,OTHER,0.067213438
Resident Weekday Before,3,OTHER,0.062977851
Resident Weekday Before,4,OTHER,0.060437174
Resident Weekday Before,5,OTHER,0.058428223
Resident Weekday Before,6,OTHER,0.056739254
Resident Weekday Before,7,OTHER,0.055321459
Resident Weekday Before,8,OTHER,0.054961825
Resident Weekday Before,9,OTHER,0.055642042
Resident Weekday Before,10,OTHER,0.057862053
Resident Weekday Before,11,OTHER,0.063095639
Resident Weekday Before,12,OTHER,0.070569081
Resident Weekday Before,13,OTHER,0.08009649
Resident Weekday Before,14,OTHER,0.090532796
Resident Weekday Before,15,OTHER,0.102607947
Resident Weekday Before,16,OTHER,0.115731957
Resident Weekday Before,17,OTHER,0.126296182
Resident Weekday Before,18,OTHER,0.135467804
Resident Weekday Before,19,OTHER,0.140180366
Resident Weekday Before,20,OTHER,0.149321982
Resident Weekday Before,21,OTHER,0.157835242
Resident Weekday Before,22,OTHER,0.163492353
Resident Weekday Before,23,OTHER,0.167794849
Resident Weekday Before,24,OTHER,0.170950482
Resident Weekday Before,25,OTHER,0.174054885
Resident Weekday Before,26,OTHER,0.178930854
Resident Weekday Before,27,OTHER,0.17792396
Resident Weekday Before,28,OTHER,0.177681941
Resident Weekday Before,29,OTHER,0.175255398
Resident Weekday Before,30,OTHER,0.175483493
Resident Weekday Before,31,OTHER,0.173822961
Resident Weekday Before,32,OTHER,0.176509397
Resident Weekday Before,33,OTHER,0.182885242
Resident Weekday Before,34,OTHER,0.18782242
Resident Weekday Before,35,OTHER,0.196507536
Resident Weekday Before,36,OTHER,0.199397245
Resident Weekday Before,37,OTHER,0.203626038
Resident Weekday Before,38,OTHER,0.205966618
Resident Weekday Before,39,OTHER,0.205391988
Resident Weekday Before,40,OTHER,0.203934094
Resident Weekday Before,41,OTHER,0.190128802
Resident Weekday Before,42,OTHER,0.172493852
Resident Weekday Before,43,OTHER,0.150951622
Resident Weekday Before,44,OTHER,0.133868314
Resident Weekday Before,45,OTHER,0.117267894
Resident Weekday Before,46,OTHER,0.107331097
Resident Weekday Before,47,OTHER,0.095033848
Resident Weekday Before,48,OTHER,0.089374314
Resident Weekday Before,1,SCHOOL,0
Resident Weekday Before,2,SCHOOL,0
Resident Weekday Before,3,SCHOOL,0
Resident Weekday Before,4,SCHOOL,0
Resident Weekday Before,5,SCHOOL,0
Resident Weekday Before,6,SCHOOL,0
Resident Weekday Before,7,SCHOOL,0
Resident Weekday Before,8,SCHOOL,0
Resident Weekday Before,9,SCHOOL,0
Resident Weekday Before,10,SCHOOL,0
Resident Weekday Before,11,SCHOOL,0
Resident Weekday Before,12,SCHOOL,0
Resident Weekday Before,13,SCHOOL,0
Resident Weekday Before,14,SCHOOL,0
Resident Weekday Before,15,SCHOOL,0
