GEOID,County,Time of Day,Change in Percent Devices at Home
34003001000,Bergen,Morning,16.06
34003002100,Bergen,Morning,-2.65
34003002200,Bergen,Morning,16.78
34003002300,Bergen,Morning,18.46
34003003100,Bergen,Morning,16.95
34003003200,Bergen,Morning,10.21
34003003300,Bergen,Morning,16.31
34003003401,Bergen,Morning,29.84
34003003402,Bergen,Morning,5.52
34003003500,Bergen,Morning,8.69
34003004001,Bergen,Morning,17.43
34003004002,Bergen,Morning,11.48
34003005000,Bergen,Morning,14.87
34003006100,Bergen,Morning,12.89
34003006201,Bergen,Morning,12.62
34003006202,Bergen,Morning,22.32
34003006300,Bergen,Morning,13.61
34003007001,Bergen,Morning,10.19
34003007002,Bergen,Morning,17.34
34003008000,Bergen,Morning,14.84
34003009100,Bergen,Morning,17.89
34003009200,Bergen,Morning,12.87
34003010100,Bergen,Morning,17.89
34003010200,Bergen,Morning,10.99
34003010300,Bergen,Morning,17.73
34003011100,Bergen,Morning,8.56
34003011200,Bergen,Morning,9.94
34003011300,Bergen,Morning,6.23
34003011400,Bergen,Morning,8.75
34003012001,Bergen,Morning,13.98
34003012002,Bergen,Morning,16.94
34003013001,Bergen,Morning,13.61
34003013002,Bergen,Morning,12.93
34003014000,Bergen,Morning,20.39
34003015100,Bergen,Morning,25.37
34003015200,Bergen,Morning,16.34
34003015300,Bergen,Morning,7.66
34003015400,Bergen,Morning,12.07
34003015500,Bergen,Morning,18.59
34003016000,Bergen,Morning,7.62
34003017100,Bergen,Morning,16.6
34003017200,Bergen,Morning,23.15
34003017300,Bergen,Morning,13.35
34003017400,Bergen,Morning,14.84
34003017500,Bergen,Morning,17.63
34003018100,Bergen,Morning,18.22
34003018200,Bergen,Morning,15.91
34003019102,Bergen,Morning,2.38
34003019103,Bergen,Morning,15.24
34003019104,Bergen,Morning,7.84
34003019202,Bergen,Morning,15.37
34003019203,Bergen,Morning,19.44
34003019204,Bergen,Morning,16.77
34003019303,Bergen,Morning,18.54
34003019304,Bergen,Morning,13.43
34003019305,Bergen,Morning,8.94
34003019306,Bergen,Morning,17.01
34003020100,Bergen,Morning,9.58
34003020200,Bergen,Morning,16.04
34003021100,Bergen,Morning,7.74
34003021200,Bergen,Morning,9.7
34003021300,Bergen,Morning,2.54
34003021400,Bergen,Morning,2.37
34003021500,Bergen,Morning,16.19
