Percent Time at Location,Week,Percent Time at Location ,Chart
Home,2/3/2020,45.11,Weekday
Home,2/10/2020,43.76,Weekday
Home,2/17/2020,47.87,Weekday
Home,2/24/2020,41.88,Weekday
Home,3/2/2020,42.25,Weekday
Home,3/9/2020,46.66,Weekday
Home,3/16/2020,67.39,Weekday
Home,3/23/2020,77.75,Weekday
Home,3/30/2020,79.41,Weekday
Home,4/6/2020,80.53,Weekday
Home,4/13/2020,81.55,Weekday
Home,4/20/2020,78.80,Weekday
Home,4/27/2020,77.05,Weekday
Home,5/4/2020,76.37,Weekday
Home,5/11/2020,74.43,Weekday
Home,5/18/2020,73.27,Weekday
Home,5/25/2020,72.56,Weekday
Home,6/1/2020,70.10,Weekday
Home,6/8/2020,67.91,Weekday
Home,6/15/2020,66.37,Weekday
Home,2/3/2020,65.60,Weekend
Home,2/10/2020,63.13,Weekend
Home,2/17/2020,63.96,Weekend
Home,2/24/2020,64.47,Weekend
Home,3/2/2020,64.59,Weekend
Home,3/9/2020,72.40,Weekend
Home,3/16/2020,80.96,Weekend
Home,3/23/2020,85.90,Weekend
Home,3/30/2020,85.20,Weekend
Home,4/6/2020,86.11,Weekend
Home,4/13/2020,86.03,Weekend
Home,4/20/2020,84.11,Weekend
Home,4/27/2020,80.87,Weekend
Home,5/4/2020,81.41,Weekend
Home,5/11/2020,79.74,Weekend
Home,5/18/2020,77.75,Weekend
Home,5/25/2020,74.89,Weekend
Home,6/1/2020,73.16,Weekend
Home,6/8/2020,72.21,Weekend
Home,6/15/2020,69.78,Weekend
Work,2/3/2020,37.14,Weekday
Work,2/10/2020,37.75,Weekday
Work,2/17/2020,30.91,Weekday
Work,2/24/2020,38.93,Weekday
Work,3/2/2020,37.65,Weekday
Work,3/9/2020,35.04,Weekday
Work,3/16/2020,20.74,Weekday
Work,3/23/2020,14.28,Weekday
Work,3/30/2020,13.01,Weekday
Work,4/6/2020,12.17,Weekday
Work,4/13/2020,11.85,Weekday
Work,4/20/2020,13.50,Weekday
Work,4/27/2020,14.73,Weekday
Work,5/4/2020,15.17,Weekday
Work,5/11/2020,16.01,Weekday
Work,5/18/2020,16.63,Weekday
Work,5/25/2020,15.94,Weekday
Work,6/1/2020,18.05,Weekday
Work,6/8/2020,18.83,Weekday
Work,6/15/2020,19.33,Weekday
Work,2/3/2020,11.08,Weekend
Work,2/10/2020,10.98,Weekend
Work,2/17/2020,11.18,Weekend
Work,2/24/2020,10.87,Weekend
Work,3/2/2020,11.12,Weekend
Work,3/9/2020,9.67,Weekend
Work,3/16/2020,8.26,Weekend
Work,3/23/2020,6.73,Weekend
Work,3/30/2020,6.73,Weekend
Work,4/6/2020,6.29,Weekend
Work,4/13/2020,6.49,Weekend
Work,4/20/2020,7.11,Weekend
Work,4/27/2020,7.94,Weekend
Work,5/4/2020,7.86,Weekend
Work,5/11/2020,8.11,Weekend
Work,5/18/2020,8.72,Weekend
Work,5/25/2020,9.17,Weekend
Work,6/1/2020,9.50,Weekend
Work,6/8/2020,9.42,Weekend
Work,6/15/2020,9.99,Weekend
Other,2/3/2020,17.75,Weekday
Other,2/10/2020,18.48,Weekday
Other,2/17/2020,21.22,Weekday
Other,2/24/2020,19.19,Weekday
Other,3/2/2020,20.10,Weekday
Other,3/9/2020,18.30,Weekday
Other,3/16/2020,11.87,Weekday
Other,3/23/2020,7.96,Weekday
Other,3/30/2020,7.58,Weekday
Other,4/6/2020,7.31,Weekday
Other,4/13/2020,6.60,Weekday
Other,4/20/2020,7.70,Weekday
Other,4/27/2020,8.22,Weekday
Other,5/4/2020,8.45,Weekday
Other,5/11/2020,9.56,Weekday
Other,5/18/2020,10.10,Weekday
Other,5/25/2020,11.50,Weekday
Other,6/1/2020,11.85,Weekday
Other,6/8/2020,13.25,Weekday
Other,6/15/2020,14.30,Weekday
Other,2/3/2020,23.32,Weekend
Other,2/10/2020,25.90,Weekend
Other,2/17/2020,24.85,Weekend
Other,2/24/2020,24.66,Weekend
Other,3/2/2020,24.29,Weekend
Other,3/9/2020,17.93,Weekend
Other,3/16/2020,10.77,Weekend
Other,3/23/2020,7.36,Weekend
Other,3/30/2020,8.07,Weekend
Other,4/6/2020,7.60,Weekend
Other,4/13/2020,7.48,Weekend
Other,4/20/2020,8.79,Weekend
Other,4/27/2020,11.19,Weekend
Other,5/4/2020,10.73,Weekend
Other,5/11/2020,12.16,Weekend
Other,5/18/2020,13.53,Weekend
Other,5/25/2020,15.93,Weekend
Other,6/1/2020,17.34,Weekend
Other,6/8/2020,18.37,Weekend
Other,6/15/2020,20.23,Weekend
