Person Type Scenario,Period,Location,Percent Active Devices
Resident Weekend After,1,HOME,91.81
Resident Weekend After,2,HOME,92.19
Resident Weekend After,3,HOME,92.53
Resident Weekend After,4,HOME,92.71
Resident Weekend After,5,HOME,92.93
Resident Weekend After,6,HOME,93.08
Resident Weekend After,7,HOME,93.22
Resident Weekend After,8,HOME,93.27
Resident Weekend After,9,HOME,93.33
Resident Weekend After,10,HOME,93.29
Resident Weekend After,11,HOME,93.16
Resident Weekend After,12,HOME,92.87
Resident Weekend After,13,HOME,92.34
Resident Weekend After,14,HOME,91.59
Resident Weekend After,15,HOME,90.46
Resident Weekend After,16,HOME,89.68
Resident Weekend After,17,HOME,88.71
Resident Weekend After,18,HOME,87.97
Resident Weekend After,19,HOME,87.18
Resident Weekend After,20,HOME,86.51
Resident Weekend After,21,HOME,85.59
Resident Weekend After,22,HOME,85.01
Resident Weekend After,23,HOME,84.56
Resident Weekend After,24,HOME,84.16
Resident Weekend After,25,HOME,83.86
Resident Weekend After,26,HOME,83.56
Resident Weekend After,27,HOME,83.35
Resident Weekend After,28,HOME,82.98
Resident Weekend After,29,HOME,82.68
Resident Weekend After,30,HOME,82.48
Resident Weekend After,31,HOME,82.42
Resident Weekend After,32,HOME,82.57
Resident Weekend After,33,HOME,82.62
Resident Weekend After,34,HOME,82.82
Resident Weekend After,35,HOME,83.25
Resident Weekend After,36,HOME,83.36
Resident Weekend After,37,HOME,83.98
Resident Weekend After,38,HOME,84.52
Resident Weekend After,39,HOME,85.28
Resident Weekend After,40,HOME,85.72
Resident Weekend After,41,HOME,88.2
Resident Weekend After,42,HOME,88.84
Resident Weekend After,43,HOME,89.46
Resident Weekend After,44,HOME,89.92
Resident Weekend After,45,HOME,90.52
Resident Weekend After,46,HOME,90.97
Resident Weekend After,47,HOME,91.55
Resident Weekend After,48,HOME,92
Resident Weekday After,1,HOME,93.05
Resident Weekday After,2,HOME,93.37
Resident Weekday After,3,HOME,93.65
Resident Weekday After,4,HOME,93.82
Resident Weekday After,5,HOME,93.96
Resident Weekday After,6,HOME,94.02
Resident Weekday After,7,HOME,94.1
Resident Weekday After,8,HOME,94.06
Resident Weekday After,9,HOME,94.02
Resident Weekday After,10,HOME,93.86
Resident Weekday After,11,HOME,93.38
Resident Weekday After,12,HOME,92.6
Resident Weekday After,13,HOME,91.23
Resident Weekday After,14,HOME,89.44
Resident Weekday After,15,HOME,86.97
Resident Weekday After,16,HOME,85.11
Resident Weekday After,17,HOME,82.9
Resident Weekday After,18,HOME,81.15
Resident Weekday After,19,HOME,79.5
Resident Weekday After,20,HOME,78.5
Resident Weekday After,21,HOME,77.6
Resident Weekday After,22,HOME,77.07
Resident Weekday After,23,HOME,76.67
Resident Weekday After,24,HOME,76.28
Resident Weekday After,25,HOME,75.86
Resident Weekday After,26,HOME,75.88
Resident Weekday After,27,HOME,75.96
Resident Weekday After,28,HOME,75.96
Resident Weekday After,29,HOME,76.16
Resident Weekday After,30,HOME,76.42
Resident Weekday After,31,HOME,77.09
Resident Weekday After,32,HOME,78.13
Resident Weekday After,33,HOME,79.12
Resident Weekday After,34,HOME,80.51
Resident Weekday After,35,HOME,82.06
Resident Weekday After,36,HOME,83.21
Resident Weekday After,37,HOME,84.27
Resident Weekday After,38,HOME,85.17
Resident Weekday After,39,HOME,86.02
Resident Weekday After,40,HOME,86.53
Resident Weekday After,41,HOME,88.65
Resident Weekday After,42,HOME,89.28
Resident Weekday After,43,HOME,89.88
Resident Weekday After,44,HOME,90.22
Resident Weekday After,45,HOME,90.92
Resident Weekday After,46,HOME,91.33
Resident Weekday After,47,HOME,91.87
Resident Weekday After,48,HOME,92.28
Resident Weekend Before,1,HOME,81.74
Resident Weekend Before,2,HOME,83.04
Resident Weekend Before,3,HOME,84.27
Resident Weekend Before,4,HOME,85.07
Resident Weekend Before,5,HOME,85.81
Resident Weekend Before,6,HOME,86.27
Resident Weekend Before,7,HOME,86.59
Resident Weekend Before,8,HOME,86.92
Resident Weekend Before,9,HOME,87.19
Resident Weekend Before,10,HOME,87.23
Resident Weekend Before,11,HOME,87.14
Resident Weekend Before,12,HOME,86.73
Resident Weekend Before,13,HOME,85.96
Resident Weekend Before,14,HOME,84.91
Resident Weekend Before,15,HOME,83.29
Resident Weekend Before,16,HOME,81.7
Resident Weekend Before,17,HOME,79.51
Resident Weekend Before,18,HOME,77.41
Resident Weekend Before,19,HOME,74.58
Resident Weekend Before,20,HOME,72.11
Resident Weekend Before,21,HOME,69.39
Resident Weekend Before,22,HOME,67.4
Resident Weekend Before,23,HOME,65.53
Resident Weekend Before,24,HOME,64.25
Resident Weekend Before,25,HOME,63.34
Resident Weekend Before,26,HOME,62.45
Resident Weekend Before,27,HOME,62.04
Resident Weekend Before,28,HOME,61.74
Resident Weekend Before,29,HOME,61.94
Resident Weekend Before,30,HOME,62.2
Resident Weekend Before,31,HOME,62.67
Resident Weekend Before,32,HOME,63.26
Resident Weekend Before,33,HOME,63.88
Resident Weekend Before,34,HOME,64.43
Resident Weekend Before,35,HOME,64.97
Resident Weekend Before,36,HOME,65.42
Resident Weekend Before,37,HOME,66.23
Resident Weekend Before,38,HOME,66.65
Resident Weekend Before,39,HOME,68.03
Resident Weekend Before,40,HOME,68.61
Resident Weekend Before,41,HOME,70.11
Resident Weekend Before,42,HOME,71.73
Resident Weekend Before,43,HOME,73.78
Resident Weekend Before,44,HOME,75.61
Resident Weekend Before,45,HOME,77.67
Resident Weekend Before,46,HOME,79.57
Resident Weekend Before,47,HOME,81.55
Resident Weekend Before,48,HOME,82.8
Resident Weekday Before,1,HOME,87.59
Resident Weekday Before,2,HOME,88.36
Resident Weekday Before,3,HOME,89.01
Resident Weekday Before,4,HOME,89.42
Resident Weekday Before,5,HOME,89.7
Resident Weekday Before,6,HOME,89.94
Resident Weekday Before,7,HOME,90.14
Resident Weekday Before,8,HOME,90.15
Resident Weekday Before,9,HOME,89.96
Resident Weekday Before,10,HOME,89.56
Resident Weekday Before,11,HOME,88.62
Resident Weekday Before,12,HOME,87.13
Resident Weekday Before,13,HOME,84.68
Resident Weekday Before,14,HOME,81.5
Resident Weekday Before,15,HOME,75.76
Resident Weekday Before,16,HOME,67.81
Resident Weekday Before,17,HOME,59.38
Resident Weekday Before,18,HOME,52.94
Resident Weekday Before,19,HOME,47.85
Resident Weekday Before,20,HOME,44.57
Resident Weekday Before,21,HOME,42.2
Resident Weekday Before,22,HOME,40.63
Resident Weekday Before,23,HOME,39.51
Resident Weekday Before,24,HOME,38.77
Resident Weekday Before,25,HOME,38.67
Resident Weekday Before,26,HOME,38.24
Resident Weekday Before,27,HOME,38.32
Resident Weekday Before,28,HOME,38.48
Resident Weekday Before,29,HOME,39.15
Resident Weekday Before,30,HOME,40.89
Resident Weekday Before,31,HOME,44.07
Resident Weekday Before,32,HOME,47.04
Resident Weekday Before,33,HOME,49.76
Resident Weekday Before,34,HOME,52.86
Resident Weekday Before,35,HOME,56.83
Resident Weekday Before,36,HOME,60.54
Resident Weekday Before,37,HOME,63.34
Resident Weekday Before,38,HOME,65.33
Resident Weekday Before,39,HOME,67.27
Resident Weekday Before,40,HOME,68.49
Resident Weekday Before,41,HOME,70.93
Resident Weekday Before,42,HOME,73.42
Resident Weekday Before,43,HOME,76.29
Resident Weekday Before,44,HOME,78.55
Resident Weekday Before,45,HOME,80.85
Resident Weekday Before,46,HOME,82.35
Resident Weekday Before,47,HOME,84.23
Resident Weekday Before,48,HOME,85.2
Resident Weekend After,1,WORK,3.43
Resident Weekend After,2,WORK,3.27
Resident Weekend After,3,WORK,3.15
Resident Weekend After,4,WORK,3.08
Resident Weekend After,5,WORK,3
Resident Weekend After,6,WORK,2.94
Resident Weekend After,7,WORK,2.89
Resident Weekend After,8,WORK,2.88
Resident Weekend After,9,WORK,2.88
Resident Weekend After,10,WORK,2.91
Resident Weekend After,11,WORK,3.01
Resident Weekend After,12,WORK,3.17
Resident Weekend After,13,WORK,3.5
Resident Weekend After,14,WORK,3.91
Resident Weekend After,15,WORK,4.59
Resident Weekend After,16,WORK,4.98
Resident Weekend After,17,WORK,5.5
Resident Weekend After,18,WORK,5.83
Resident Weekend After,19,WORK,6.23
Resident Weekend After,20,WORK,6.5
Resident Weekend After,21,WORK,6.95
Resident Weekend After,22,WORK,7.14
Resident Weekend After,23,WORK,7.31
Resident Weekend After,24,WORK,7.42
Resident Weekend After,25,WORK,7.47
Resident Weekend After,26,WORK,7.54
Resident Weekend After,27,WORK,7.5
Resident Weekend After,28,WORK,7.53
Resident Weekend After,29,WORK,7.53
Resident Weekend After,30,WORK,7.49
Resident Weekend After,31,WORK,7.42
Resident Weekend After,32,WORK,7.23
Resident Weekend After,33,WORK,7.08
Resident Weekend After,34,WORK,6.91
Resident Weekend After,35,WORK,6.64
Resident Weekend After,36,WORK,6.49
Resident Weekend After,37,WORK,6.24
Resident Weekend After,38,WORK,6
Resident Weekend After,39,WORK,5.74
Resident Weekend After,40,WORK,5.58
Resident Weekend After,41,WORK,4.94
Resident Weekend After,42,WORK,4.72
Resident Weekend After,43,WORK,4.49
Resident Weekend After,44,WORK,4.33
Resident Weekend After,45,WORK,4.08
Resident Weekend After,46,WORK,3.88
Resident Weekend After,47,WORK,3.65
Resident Weekend After,48,WORK,3.46
Resident Weekday After,1,WORK,3.27
Resident Weekday After,2,WORK,3.11
Resident Weekday After,3,WORK,3
Resident Weekday After,4,WORK,2.93
Resident Weekday After,5,WORK,2.87
Resident Weekday After,6,WORK,2.85
Resident Weekday After,7,WORK,2.84
Resident Weekday After,8,WORK,2.86
Resident Weekday After,9,WORK,2.92
Resident Weekday After,10,WORK,3.03
Resident Weekday After,11,WORK,3.32
Resident Weekday After,12,WORK,3.77
Resident Weekday After,13,WORK,4.73
Resident Weekday After,14,WORK,6.01
Resident Weekday After,15,WORK,7.92
Resident Weekday After,16,WORK,9.29
Resident Weekday After,17,WORK,11.03
Resident Weekday After,18,WORK,12.33
Resident Weekday After,19,WORK,13.74
Resident Weekday After,20,WORK,14.42
Resident Weekday After,21,WORK,15.02
Resident Weekday After,22,WORK,15.36
Resident Weekday After,23,WORK,15.6
Resident Weekday After,24,WORK,15.82
Resident Weekday After,25,WORK,15.95
Resident Weekday After,26,WORK,15.91
Resident Weekday After,27,WORK,15.85
Resident Weekday After,28,WORK,15.79
Resident Weekday After,29,WORK,15.62
Resident Weekday After,30,WORK,15.36
Resident Weekday After,31,WORK,14.78
Resident Weekday After,32,WORK,13.8
Resident Weekday After,33,WORK,12.79
Resident Weekday After,34,WORK,11.47
Resident Weekday After,35,WORK,9.81
Resident Weekday After,36,WORK,8.64
Resident Weekday After,37,WORK,7.73
Resident Weekday After,38,WORK,7.07
Resident Weekday After,39,WORK,6.53
Resident Weekday After,40,WORK,6.18
