FROM,TO,TOTAL,RESIDENTS,VISITORS
Davidson,Davidson,271484.96,268032.49,3452.46
Davidson,External,12089.05,3681.63,8407.43
Davidson,Maury,1025.35,1002.42,22.93
Davidson,Robertson,1528.91,1478.06,50.84
Davidson,Rutherford,11142.59,11021.74,120.85
Davidson,Sumner,5977.2,5914.53,62.67
Davidson,Williamson,21593.6,21380.7,212.9
Davidson,Wilson,6604.92,6555.66,49.25
External,Davidson,12089.05,1679.99,10409.06
External,External,8399.61,37.93,8361.69
External,Maury,2710.69,440.11,2270.57
External,Robertson,1743.71,400.92,1342.79
External,Rutherford,4754.06,995.5,3758.56
External,Sumner,2046.36,640.57,1405.79
External,Williamson,2906.12,508.5,2397.61
External,Wilson,1860.38,429.56,1430.81
Maury,Davidson,1800.62,1786.06,14.57
Maury,External,2710.69,1144.05,1566.64
Maury,Maury,29839.12,29055.98,783.13
Maury,Robertson,51.21,51.08,0.13
Maury,Rutherford,274.48,266.55,7.93
Maury,Sumner,65.79,64.19,1.59
Maury,Williamson,6194.89,6058.89,136.01
Maury,Wilson,49.29,45.51,3.77
Robertson,Davidson,5021.45,4977.21,44.24
Robertson,External,1743.71,849.73,893.98
Robertson,Maury,21.72,21.6,0.13
Robertson,Robertson,17668.21,17178.6,489.61
Robertson,Rutherford,67.52,67.35,0.18
Robertson,Sumner,2627.03,2605.98,21.05
Robertson,Williamson,192.72,190.4,2.32
Robertson,Wilson,100.98,99.65,1.33
Rutherford,Davidson,21707.92,21598.64,109.28
Rutherford,External,4754.06,2293.22,2460.84
Rutherford,Maury,316.63,304.58,12.05
Rutherford,Robertson,76.85,75.51,1.34
Rutherford,Rutherford,110715.85,109602.33,1113.51
Rutherford,Sumner,451.7,448.83,2.88
Rutherford,Williamson,5418.09,5390.78,27.31
Rutherford,Wilson,1858.88,1835.1,23.78
Sumner,Davidson,14662.34,14615.11,47.23
Sumner,External,2046.36,1061.85,984.51
Sumner,Maury,88.11,86.52,1.59
Sumner,Robertson,2966.95,2941.62,25.33
Sumner,Rutherford,468.97,461.51,7.46
Sumner,Sumner,46197.51,45725.79,471.72
Sumner,Williamson,733.08,731.53,1.55
Sumner,Wilson,958.16,955.78,2.38
Williamson,Davidson,22558.78,22395.73,163.05
Williamson,External,2906.12,1105.91,1800.21
Williamson,Maury,3232.16,3170.77,61.39
Williamson,Robertson,99.63,97.31,2.32
Williamson,Rutherford,1759.26,1743.22,16.04
Williamson,Sumner,258.59,258.03,0.57
Williamson,Williamson,63341.47,62527.57,813.9
Williamson,Wilson,324.19,320.72,3.47
Wilson,Davidson,14135.03,14072.06,62.97
Wilson,External,1860.38,809.8,1050.57
Wilson,Maury,51.08,47.07,4.02
Wilson,Robertson,60.33,59,1.33
Wilson,Rutherford,1625.53,1605.89,19.64
Wilson,Sumner,1027.5,1022.03,5.47
Wilson,Williamson,890.73,888.63,2.1
Wilson,Wilson,32172.99,31744.22,428.76
