ZONE,COUNTY,PERSON GROUP,QUANTITY
1,Davidson,RESIDENTS,1778.99
1,Davidson,VISITORS,7.48
2,Davidson,RESIDENTS,107.43
2,Davidson,VISITORS,1.3
3,Davidson,RESIDENTS,552.97
3,Davidson,VISITORS,2.51
4,Davidson,RESIDENTS,165.35
4,Davidson,VISITORS,4.09
5,Davidson,RESIDENTS,54.66
5,Davidson,VISITORS,6.37
6,Davidson,RESIDENTS,179.55
6,Davidson,VISITORS,11.31
7,Davidson,RESIDENTS,6337.35
7,Davidson,VISITORS,57.75
8,Davidson,RESIDENTS,2689.35
8,Davidson,VISITORS,56.57
9,Davidson,RESIDENTS,595.46
9,Davidson,VISITORS,3.11
10,Davidson,RESIDENTS,1205.72
10,Davidson,VISITORS,35.31
11,Davidson,RESIDENTS,3842.64
11,Davidson,VISITORS,56.71
12,Davidson,RESIDENTS,5350.41
12,Davidson,VISITORS,140.56
13,Davidson,RESIDENTS,10093.8
13,Davidson,VISITORS,316.38
14,Davidson,RESIDENTS,1599.64
14,Davidson,VISITORS,11.27
15,Davidson,RESIDENTS,2437.79
15,Davidson,VISITORS,27.65
16,Davidson,RESIDENTS,1575.12
16,Davidson,VISITORS,45.26
17,Davidson,RESIDENTS,3542.63
17,Davidson,VISITORS,59.75
18,Davidson,RESIDENTS,1305.44
18,Davidson,VISITORS,23.8
19,Davidson,RESIDENTS,1870.35
19,Davidson,VISITORS,38.98
20,Davidson,RESIDENTS,366.51
20,Davidson,VISITORS,10.29
21,Davidson,RESIDENTS,7288.81
21,Davidson,VISITORS,140.03
22,Davidson,RESIDENTS,2140.71
22,Davidson,VISITORS,36.8
23,Davidson,RESIDENTS,7131.74
23,Davidson,VISITORS,429.37
24,Davidson,RESIDENTS,1032.71
24,Davidson,VISITORS,9.14
25,Davidson,RESIDENTS,1120.64
25,Davidson,VISITORS,11.25
26,Davidson,RESIDENTS,1563.07
26,Davidson,VISITORS,12.32
27,Davidson,RESIDENTS,743.11
27,Davidson,VISITORS,2.47
28,Davidson,RESIDENTS,1799.49
28,Davidson,VISITORS,16.26
29,Davidson,RESIDENTS,1457.57
29,Davidson,VISITORS,9.37
30,Davidson,RESIDENTS,1423.92
30,Davidson,VISITORS,6.31
31,Davidson,RESIDENTS,1342.85
31,Davidson,VISITORS,27.13
32,Davidson,RESIDENTS,6346.03
32,Davidson,VISITORS,91.94
33,Davidson,RESIDENTS,1032.38
33,Davidson,VISITORS,95.7
34,Davidson,RESIDENTS,871.44
34,Davidson,VISITORS,13.81
35,Davidson,RESIDENTS,1074.12
35,Davidson,VISITORS,11.12
36,Davidson,RESIDENTS,524.78
36,Davidson,VISITORS,2.2
37,Davidson,RESIDENTS,4289.1
37,Davidson,VISITORS,24.34
38,Davidson,RESIDENTS,1076.41
38,Davidson,VISITORS,6.6
39,Davidson,RESIDENTS,3458.61
39,Davidson,VISITORS,26.39
40,Davidson,RESIDENTS,1560.54
40,Davidson,VISITORS,19.1
41,Davidson,RESIDENTS,1929.07
41,Davidson,VISITORS,3.21
42,Davidson,RESIDENTS,639.02
42,Davidson,VISITORS,6.51
43,Davidson,RESIDENTS,4366.73
43,Davidson,VISITORS,69.8
44,Davidson,RESIDENTS,1502
44,Davidson,VISITORS,9.4
45,Davidson,RESIDENTS,3178.81
45,Davidson,VISITORS,51.2
46,Davidson,RESIDENTS,2555.16
46,Davidson,VISITORS,63.52
47,Davidson,RESIDENTS,631.87
47,Davidson,VISITORS,33.86
48,Davidson,RESIDENTS,359.96
48,Davidson,VISITORS,48.39
49,Davidson,RESIDENTS,5783.24
49,Davidson,VISITORS,265.4
50,Davidson,RESIDENTS,3078.76
50,Davidson,VISITORS,110.67
51,Davidson,RESIDENTS,6405.81
51,Davidson,VISITORS,9.11
52,Davidson,RESIDENTS,467.59
52,Davidson,VISITORS,2.01
53,Davidson,RESIDENTS,1385.35
53,Davidson,VISITORS,11.34
54,Davidson,RESIDENTS,1822.73
54,Davidson,VISITORS,7.18
55,Davidson,RESIDENTS,2319.27
55,Davidson,VISITORS,9.38
56,Davidson,RESIDENTS,2148.98
56,Davidson,VISITORS,5.71
57,Davidson,RESIDENTS,2130.18
57,Davidson,VISITORS,7.29
58,Davidson,RESIDENTS,2994.98
58,Davidson,VISITORS,54.72
59,Davidson,RESIDENTS,7403.85
59,Davidson,VISITORS,152.9
60,Davidson,RESIDENTS,234.75
60,Davidson,VISITORS,0
61,Davidson,RESIDENTS,1970.07
61,Davidson,VISITORS,13.49
62,Davidson,RESIDENTS,499.92
62,Davidson,VISITORS,0.71
63,Davidson,RESIDENTS,1697.47
63,Davidson,VISITORS,32.77
64,Davidson,RESIDENTS,2679.46
64,Davidson,VISITORS,30.17
65,Davidson,RESIDENTS,3683.74
65,Davidson,VISITORS,53.46
66,Davidson,RESIDENTS,2468.96
66,Davidson,VISITORS,12.1
67,Davidson,RESIDENTS,1270.93
67,Davidson,VISITORS,7.29
68,Davidson,RESIDENTS,1415.56
68,Davidson,VISITORS,6.05
69,Davidson,RESIDENTS,808.78
69,Davidson,VISITORS,2.57
70,Davidson,RESIDENTS,1646.72
70,Davidson,VISITORS,2.2
71,Davidson,RESIDENTS,2253.91
71,Davidson,VISITORS,27.66
72,Davidson,RESIDENTS,3714.79
72,Davidson,VISITORS,25.32
