FROM,TO,TOTAL,RESIDENTS,VISITORS
Davidson,Davidson,705554.06,688271.56,17282.5
Davidson,External,21560.55,5778.84,15781.71
Davidson,Maury,1678.45,1623.76,54.69
Davidson,Robertson,4405.8,4288.26,117.54
Davidson,Rutherford,25764.18,25258.69,505.49
Davidson,Sumner,16567.5,16305.9,261.61
Davidson,Williamson,43177.28,42311.85,865.43
Davidson,Wilson,17366.92,17028.7,338.22
External,Davidson,21560.55,4882.82,16677.72
External,External,23093.47,124.31,22969.17
External,Maury,4581.01,1270.39,3310.62
External,Robertson,3670.39,1304.37,2366.02
External,Rutherford,8795.03,2869.01,5926.02
External,Sumner,4267.23,1704.29,2562.94
External,Williamson,5612.46,1746.91,3865.55
External,Wilson,3597.43,1206.15,2391.29
Maury,Davidson,1863.45,1801.73,61.72
Maury,External,4581.01,1540.15,3040.86
Maury,Maury,72078.6,67537.2,4541.4
Maury,Robertson,57.46,55.07,2.39
Maury,Rutherford,510.28,486,24.28
Maury,Sumner,80.31,76.27,4.04
Maury,Williamson,10791.33,10490.15,301.18
Maury,Wilson,113.72,104.13,9.58
Robertson,Davidson,5059.02,4922.59,136.43
Robertson,External,3670.39,1530.79,2139.61
Robertson,Maury,35.16,32.63,2.54
Robertson,Robertson,47819.45,45588.23,2231.22
Robertson,Rutherford,186.4,180.54,5.86
Robertson,Sumner,6476.04,6384.43,91.62
Robertson,Williamson,246.77,242.29,4.48
Robertson,Wilson,138.06,135.96,2.1
Rutherford,Davidson,27524.47,26956.23,568.24
Rutherford,External,8795.03,3322.43,5472.6
Rutherford,Maury,504.13,475.37,28.76
Rutherford,Robertson,175.07,169.21,5.86
Rutherford,Rutherford,266438.46,259640.4,6798.05
Rutherford,Sumner,689.32,672.34,16.97
Rutherford,Williamson,5306.47,5190.82,115.64
Rutherford,Wilson,3053.74,2988.59,65.15
Sumner,Davidson,19182.91,18923.4,259.5
Sumner,External,4267.23,1952.24,2314.99
Sumner,Maury,83.92,80.47,3.46
Sumner,Robertson,6401.89,6336.46,65.43
Sumner,Rutherford,724.21,708.77,15.44
Sumner,Sumner,120443.77,118370.38,2073.39
Sumner,Williamson,951.49,943.51,7.98
Sumner,Wilson,1645.47,1622.21,23.25
Williamson,Davidson,42812.45,41858.76,953.69
Williamson,External,5612.46,2027.54,3584.92
Williamson,Maury,10306.63,9948.38,358.25
Williamson,Robertson,167.47,159.99,7.48
Williamson,Rutherford,4363.54,4257.24,106.3
Williamson,Sumner,783.13,774.17,8.96
Williamson,Williamson,194785.64,189332.45,5453.19
Williamson,Wilson,959.1,935.19,23.91
Wilson,Davidson,20000.26,19694.63,305.63
Wilson,External,3597.43,1413.83,2183.6
Wilson,Maury,114.47,98.99,15.49
Wilson,Robertson,146.53,144.44,2.1
Wilson,Rutherford,3081.32,3002.3,79.02
Wilson,Sumner,1764.91,1735.74,29.17
Wilson,Williamson,1111.65,1087.87,23.78
Wilson,Wilson,88504.55,85956.62,2547.93
