FROM,TO,TOTAL,RESIDENTS,VISITORS
Davidson,Davidson,626537.3,621096.38,5440.91
Davidson,External,24886.75,5385.51,19501.25
Davidson,Maury,2100.22,2061.07,39.16
Davidson,Robertson,5430.32,5353.48,76.84
Davidson,Rutherford,31787.41,31534.27,253.14
Davidson,Sumner,17998.46,17876.82,121.64
Davidson,Williamson,33789.78,33541.48,248.3
Davidson,Wilson,19685.87,19565.48,120.39
External,Davidson,24886.75,6227.52,18659.24
External,External,26201.5,165.09,26036.41
External,Maury,4963.83,1724.28,3239.55
External,Robertson,3921.64,1587.11,2334.53
External,Rutherford,9876.78,3869.3,6007.47
External,Sumner,4601.36,2120.01,2481.35
External,Williamson,5448.58,1855.2,3593.38
External,Wilson,3929.22,1492,2437.22
Maury,Davidson,1905.35,1858.95,46.4
Maury,External,4963.83,1278.63,3685.2
Maury,Maury,54639.37,53417,1222.36
Maury,Robertson,56.02,53.13,2.89
Maury,Rutherford,569.53,554.08,15.45
Maury,Sumner,107.94,105.55,2.39
Maury,Williamson,8503.11,8406.92,96.19
Maury,Wilson,98.34,93.77,4.57
Robertson,Davidson,4670.07,4591.42,78.65
Robertson,External,3921.64,1115.95,2805.7
Robertson,Maury,130.21,128.68,1.53
Robertson,Robertson,39406.23,38553.4,852.83
Robertson,Rutherford,186.23,173.49,12.74
Robertson,Sumner,5773.17,5711.25,61.91
Robertson,Williamson,197.59,190.22,7.37
Robertson,Wilson,146.9,145.64,1.26
Rutherford,Davidson,30254.53,30000.93,253.61
Rutherford,External,9876.78,3103.14,6773.63
Rutherford,Maury,586.25,572.38,13.87
Rutherford,Robertson,188.02,174.25,13.77
Rutherford,Rutherford,228538.72,226548.68,1990.04
Rutherford,Sumner,732.88,728.9,3.99
Rutherford,Williamson,4030.49,4000.45,30.04
Rutherford,Wilson,3097.14,3036.33,60.81
Sumner,Davidson,15431.03,15329.92,101.1
Sumner,External,4601.36,1780.22,2821.15
Sumner,Maury,95.23,91.75,3.48
Sumner,Robertson,5447.92,5382.72,65.21
Sumner,Rutherford,663.79,659.11,4.68
Sumner,Sumner,88740.03,87810.52,929.51
Sumner,Williamson,764.64,760.02,4.62
Sumner,Wilson,1708.78,1692.97,15.82
Williamson,Davidson,33441.72,33198.97,242.76
Williamson,External,5448.58,1513.57,3935.01
Williamson,Maury,8805.16,8705.28,99.89
Williamson,Robertson,242.21,239.06,3.14
Williamson,Rutherford,4806.14,4765.58,40.55
Williamson,Sumner,781.21,776.48,4.73
Williamson,Williamson,109269.09,108209.21,1059.87
Williamson,Wilson,878.85,874.81,4.03
Wilson,Davidson,18222.54,18096.42,126.12
Wilson,External,3929.22,1208.87,2720.35
Wilson,Maury,93.34,90.43,2.91
Wilson,Robertson,156.82,155.56,1.26
Wilson,Rutherford,3037.73,2987.06,50.67
Wilson,Sumner,1506.79,1496.19,10.6
Wilson,Williamson,699.17,694.37,4.79
Wilson,Wilson,66761.25,66033.26,728
