FROM,TO,AM_TOTAL,MIDDAY_TOTAL,OFFPEAK_TOTAL,PM_TOTAL,AM_RESIDENTS,MIDDAY_RESIDENTS,OFFPEAK_RESIDENTS,PM_RESIDENTS,AM_VISITORS,MIDDAY_VISITORS,OFFPEAK_VISITORS,PM_VISITORS
Davidson,Davidson,271484.96,705554.06,626537.3,562368.09,268032.49,688271.56,621096.38,554173.15,3452.46,17282.5,5440.91,8194.94
Davidson,External,12089.05,21560.55,24886.75,19564.23,3681.63,5778.84,5385.51,3533.72,8407.43,15781.71,19501.25,16030.51
Davidson,Maury,1025.35,1678.45,2100.22,2318.27,1002.42,1623.76,2061.07,2268.72,22.93,54.69,39.16,49.55
Davidson,Robertson,1528.91,4405.8,5430.32,7237.47,1478.06,4288.26,5353.48,7096.4,50.84,117.54,76.84,141.07
Davidson,Rutherford,11142.59,25764.18,31787.41,31699.67,11021.74,25258.69,31534.27,31399.93,120.85,505.49,253.14,299.74
Davidson,Sumner,5977.2,16567.5,17998.46,22286.18,5914.53,16305.9,17876.82,22153.99,62.67,261.61,121.64,132.19
Davidson,Williamson,21593.6,43177.28,33789.78,41013.5,21380.7,42311.85,33541.48,40559.41,212.9,865.43,248.3,454.09
Davidson,Wilson,6604.92,17366.92,19685.87,23755.23,6555.66,17028.7,19565.48,23591.8,49.25,338.22,120.39,163.44
External,Davidson,12089.05,21560.55,24886.75,19564.23,1679.99,4882.82,6227.52,5195.36,10409.06,16677.72,18659.24,14368.87
External,External,8399.61,23093.47,26201.5,15835.86,37.93,124.31,165.09,96.13,8361.69,22969.17,26036.41,15739.73
External,Maury,2710.69,4581.01,4963.83,4474.09,440.11,1270.39,1724.28,1720.63,2270.57,3310.62,3239.55,2753.46
External,Robertson,1743.71,3670.39,3921.64,3194.28,400.92,1304.37,1587.11,1508.11,1342.79,2366.02,2334.53,1686.17
External,Rutherford,4754.06,8795.03,9876.78,8126.81,995.5,2869.01,3869.3,3451.2,3758.56,5926.02,6007.47,4675.61
External,Sumner,2046.36,4267.23,4601.36,3731.81,640.57,1704.29,2120.01,1760.14,1405.79,2562.94,2481.35,1971.67
External,Williamson,2906.12,5612.46,5448.58,5149.86,508.5,1746.91,1855.2,2009.27,2397.61,3865.55,3593.38,3140.59
External,Wilson,1860.38,3597.43,3929.22,3073.27,429.56,1206.15,1492,1200.68,1430.81,2391.29,2437.22,1872.59
Maury,Davidson,1800.62,1863.45,1905.35,1552.87,1786.06,1801.73,1858.95,1506.19,14.57,61.72,46.4,46.67
Maury,External,2710.69,4581.01,4963.83,4474.09,1144.05,1540.15,1278.63,1015.26,1566.64,3040.86,3685.2,3458.83
Maury,Maury,29839.12,72078.6,54639.37,62297.78,29055.98,67537.2,53417,59799.8,783.13,4541.4,1222.36,2497.99
Maury,Robertson,51.21,57.46,56.02,60.66,51.08,55.07,53.13,54.67,0.13,2.39,2.89,5.99
Maury,Rutherford,274.48,510.28,569.53,508.11,266.55,486,554.08,489.52,7.93,24.28,15.45,18.59
Maury,Sumner,65.79,80.31,107.94,93.28,64.19,76.27,105.55,91.65,1.59,4.04,2.39,1.63
Maury,Williamson,6194.89,10791.33,8503.11,8254.56,6058.89,10490.15,8406.92,8074.31,136.01,301.18,96.19,180.26
Maury,Wilson,49.29,113.72,98.34,68.83,45.51,104.13,93.77,64.86,3.77,9.58,4.57,3.97
Robertson,Davidson,5021.45,5059.02,4670.07,3851.96,4977.21,4922.59,4591.42,3742.79,44.24,136.43,78.65,109.17
Robertson,External,1743.71,3670.39,3921.64,3194.28,849.73,1530.79,1115.95,1148.57,893.98,2139.61,2805.7,2045.71
Robertson,Maury,21.72,35.16,130.21,38.26,21.6,32.63,128.68,32.11,0.13,2.54,1.53,6.14
Robertson,Robertson,17668.21,47819.45,39406.23,40040.18,17178.6,45588.23,38553.4,38982.96,489.61,2231.22,852.83,1057.22
Robertson,Rutherford,67.52,186.4,186.23,145.6,67.35,180.54,173.49,137.65,0.18,5.86,12.74,7.95
Robertson,Sumner,2627.03,6476.04,5773.17,6526.18,2605.98,6384.43,5711.25,6469.09,21.05,91.62,61.91,57.09
Robertson,Williamson,192.72,246.77,197.59,143.2,190.4,242.29,190.22,140.25,2.32,4.48,7.37,2.95
Robertson,Wilson,100.98,138.06,146.9,133.55,99.65,135.96,145.64,130.48,1.33,2.1,1.26,3.06
Rutherford,Davidson,21707.92,27524.47,30254.53,20906.93,21598.64,26956.23,30000.93,20680.52,109.28,568.24,253.61,226.42
Rutherford,External,4754.06,8795.03,9876.78,8126.81,2293.22,3322.43,3103.14,2083.38,2460.84,5472.6,6773.63,6043.43
Rutherford,Maury,316.63,504.13,586.25,455.39,304.58,475.37,572.38,440.63,12.05,28.76,13.87,14.76
Rutherford,Robertson,76.85,175.07,188.02,145.81,75.51,169.21,174.25,140.06,1.34,5.86,13.77,5.75
Rutherford,Rutherford,110715.85,266438.46,228538.72,249610.4,109602.33,259640.4,226548.68,245788.57,1113.51,6798.05,1990.04,3821.83
Rutherford,Sumner,451.7,689.32,732.88,643.7,448.83,672.34,728.9,637.48,2.88,16.97,3.99,6.22
Rutherford,Williamson,5418.09,5306.47,4030.49,3825.91,5390.78,5190.82,4000.45,3763.33,27.31,115.64,30.04,62.58
Rutherford,Wilson,1858.88,3053.74,3097.14,2887.48,1835.1,2988.59,3036.33,2849,23.78,65.15,60.81,38.48
Sumner,Davidson,14662.34,19182.91,15431.03,13553.08,14615.11,18923.4,15329.92,13396.27,47.23,259.5,101.1,156.8
Sumner,External,2046.36,4267.23,4601.36,3731.81,1061.85,1952.24,1780.22,1343.05,984.51,2314.99,2821.15,2388.75
Sumner,Maury,88.11,83.92,95.23,80.06,86.52,80.47,91.75,78.94,1.59,3.46,3.48,1.12
Sumner,Robertson,2966.95,6401.89,5447.92,6585.66,2941.62,6336.46,5382.72,6531.17,25.33,65.43,65.21,54.48
Sumner,Rutherford,468.97,724.21,663.79,660.63,461.51,708.77,659.11,654.41,7.46,15.44,4.68,6.22
Sumner,Sumner,46197.51,120443.77,88740.03,108366.36,45725.79,118370.38,87810.52,107184.36,471.72,2073.39,929.51,1182
Sumner,Williamson,733.08,951.49,764.64,561.41,731.53,943.51,760.02,555.5,1.55,7.98,4.62,5.91
Sumner,Wilson,958.16,1645.47,1708.78,1692.41,955.78,1622.21,1692.97,1670.63,2.38,23.25,15.82,21.78
Williamson,Davidson,22558.78,42812.45,33441.72,40761.21,22395.73,41858.76,33198.97,40291.11,163.05,953.69,242.76,470.1
Williamson,External,2906.12,5612.46,5448.58,5149.86,1105.91,2027.54,1513.57,1359.53,1800.21,3584.92,3935.01,3790.32
Williamson,Maury,3232.16,10306.63,8805.16,11399.94,3170.77,9948.38,8705.28,11217.79,61.39,358.25,99.89,182.15
Williamson,Robertson,99.63,167.47,242.21,270.97,97.31,159.99,239.06,266.8,2.32,7.48,3.14,4.17
Williamson,Rutherford,1759.26,4363.54,4806.14,7652.02,1743.22,4257.24,4765.58,7576.26,16.04,106.3,40.55,75.76
Williamson,Sumner,258.59,783.13,781.21,1187.69,258.03,774.17,776.48,1184.46,0.57,8.96,4.73,3.22
Williamson,Williamson,63341.47,194785.64,109269.09,160050.59,62527.57,189332.45,108209.21,157719.84,813.9,5453.19,1059.87,2330.75
Williamson,Wilson,324.19,959.1,878.85,1163.38,320.72,935.19,874.81,1136.35,3.47,23.91,4.03,27.03
Wilson,Davidson,14135.03,20000.26,18222.54,15055.11,14072.06,19694.63,18096.42,14915.09,62.97,305.63,126.12,140.02
Wilson,External,1860.38,3597.43,3929.22,3073.27,809.8,1413.83,1208.87,850.31,1050.57,2183.6,2720.35,2222.96
Wilson,Maury,51.08,114.47,93.34,71.27,47.07,98.99,90.43,67.3,4.02,15.49,2.91,3.97
Wilson,Robertson,60.33,146.53,156.82,155.79,59,144.44,155.56,152.73,1.33,2.1,1.26,3.06
Wilson,Rutherford,1625.53,3081.32,3037.73,3152.65,1605.89,3002.3,2987.06,3111.64,19.64,79.02,50.67,41.01
Wilson,Sumner,1027.5,1764.91,1506.79,1705.61,1022.03,1735.74,1496.19,1684.37,5.47,29.17,10.6,21.24
Wilson,Williamson,890.73,1111.65,699.17,623.97,888.63,1087.87,694.37,600.41,2.1,23.78,4.79,23.56
Wilson,Wilson,32172.99,88504.55,66761.25,76227.41,31744.22,85956.62,66033.26,74831.6,428.76,2547.93,728,1395.8
