FROM,TO,TOTAL,RESIDENTS,VISITORS
Davidson,Davidson,2165944.41,2131573.59,34370.82
Davidson,External,78100.59,18379.69,59720.89
Davidson,Maury,7122.29,6955.97,166.32
Davidson,Robertson,18602.5,18216.2,386.3
Davidson,Rutherford,100393.86,99214.64,1179.22
Davidson,Sumner,62829.35,62251.24,578.11
Davidson,Williamson,139574.16,137793.44,1780.72
Davidson,Wilson,67412.94,66741.63,671.31
External,Davidson,78100.59,17985.69,60114.89
External,External,73530.44,423.45,73106.99
External,Maury,16729.62,5155.42,11574.21
External,Robertson,12530.02,4800.5,7729.52
External,Rutherford,31552.67,11185.02,20367.65
External,Sumner,14646.76,6225,8421.76
External,Williamson,19117.01,6119.88,12997.13
External,Wilson,12460.3,4328.4,8131.9
Maury,Davidson,7122.29,6952.93,169.36
Maury,External,16729.62,4978.1,11751.52
Maury,Maury,218854.87,209809.98,9044.88
Maury,Robertson,225.35,213.95,11.4
Maury,Rutherford,1862.4,1796.15,66.25
Maury,Sumner,347.32,337.67,9.65
Maury,Williamson,33743.9,33030.27,713.63
Maury,Wilson,330.17,308.28,21.89
Robertson,Davidson,18602.5,18234.01,368.49
Robertson,External,12530.02,4645.03,7884.99
Robertson,Maury,225.35,215.02,10.33
Robertson,Robertson,144934.07,140303.2,4630.88
Robertson,Rutherford,585.75,559.03,26.72
Robertson,Sumner,21402.42,21170.75,231.67
Robertson,Williamson,780.27,763.16,17.11
Robertson,Wilson,519.48,511.73,7.75
Rutherford,Davidson,100393.86,99236.31,1157.54
Rutherford,External,31552.67,10802.17,20750.51
Rutherford,Maury,1862.4,1792.96,69.44
Rutherford,Robertson,585.75,559.03,26.72
Rutherford,Rutherford,855303.43,841579.99,13723.44
Rutherford,Sumner,2517.61,2487.55,30.06
Rutherford,Williamson,18580.96,18345.38,235.58
Rutherford,Wilson,10897.23,10709.01,188.22
Sumner,Davidson,62829.35,62264.71,564.64
Sumner,External,14646.76,6137.36,8509.4
Sumner,Maury,347.32,337.67,9.65
Sumner,Robertson,21402.42,21191.97,210.45
Sumner,Rutherford,2517.61,2483.8,33.81
Sumner,Sumner,363747.67,359091.06,4656.61
Sumner,Williamson,3010.63,2990.56,20.06
Sumner,Wilson,6004.82,5941.59,63.23
Williamson,Davidson,139574.16,137744.56,1829.6
Williamson,External,19117.01,6006.55,13110.46
Williamson,Maury,33743.9,33042.22,701.68
Williamson,Robertson,780.27,763.16,17.11
Williamson,Rutherford,18580.96,18342.3,238.66
Williamson,Sumner,3010.63,2993.14,17.49
Williamson,Williamson,527446.78,517789.08,9657.71
Williamson,Wilson,3325.52,3267.07,58.45
Wilson,Davidson,67412.94,66778.21,634.73
Wilson,External,12460.3,4282.82,8177.49
Wilson,Maury,330.17,303.79,26.38
Wilson,Robertson,519.48,511.73,7.75
Wilson,Rutherford,10897.23,10706.89,190.34
Wilson,Sumner,6004.82,5938.33,66.48
Wilson,Williamson,3325.52,3271.28,54.23
Wilson,Wilson,263666.2,258565.7,5100.5
