FROM,TO,TOTAL,RESIDENTS,VISITORS
Davidson,Davidson,562368.09,554173.15,8194.94
Davidson,External,19564.23,3533.72,16030.51
Davidson,Maury,2318.27,2268.72,49.55
Davidson,Robertson,7237.47,7096.4,141.07
Davidson,Rutherford,31699.67,31399.93,299.74
Davidson,Sumner,22286.18,22153.99,132.19
Davidson,Williamson,41013.5,40559.41,454.09
Davidson,Wilson,23755.23,23591.8,163.44
External,Davidson,19564.23,5195.36,14368.87
External,External,15835.86,96.13,15739.73
External,Maury,4474.09,1720.63,2753.46
External,Robertson,3194.28,1508.11,1686.17
External,Rutherford,8126.81,3451.2,4675.61
External,Sumner,3731.81,1760.14,1971.67
External,Williamson,5149.86,2009.27,3140.59
External,Wilson,3073.27,1200.68,1872.59
Maury,Davidson,1552.87,1506.19,46.67
Maury,External,4474.09,1015.26,3458.83
Maury,Maury,62297.78,59799.8,2497.99
Maury,Robertson,60.66,54.67,5.99
Maury,Rutherford,508.11,489.52,18.59
Maury,Sumner,93.28,91.65,1.63
Maury,Williamson,8254.56,8074.31,180.26
Maury,Wilson,68.83,64.86,3.97
Robertson,Davidson,3851.96,3742.79,109.17
Robertson,External,3194.28,1148.57,2045.71
Robertson,Maury,38.26,32.11,6.14
Robertson,Robertson,40040.18,38982.96,1057.22
Robertson,Rutherford,145.6,137.65,7.95
Robertson,Sumner,6526.18,6469.09,57.09
Robertson,Williamson,143.2,140.25,2.95
Robertson,Wilson,133.55,130.48,3.06
Rutherford,Davidson,20906.93,20680.52,226.42
Rutherford,External,8126.81,2083.38,6043.43
Rutherford,Maury,455.39,440.63,14.76
Rutherford,Robertson,145.81,140.06,5.75
Rutherford,Rutherford,249610.4,245788.57,3821.83
Rutherford,Sumner,643.7,637.48,6.22
Rutherford,Williamson,3825.91,3763.33,62.58
Rutherford,Wilson,2887.48,2849,38.48
Sumner,Davidson,13553.08,13396.27,156.8
Sumner,External,3731.81,1343.05,2388.75
Sumner,Maury,80.06,78.94,1.12
Sumner,Robertson,6585.66,6531.17,54.48
Sumner,Rutherford,660.63,654.41,6.22
Sumner,Sumner,108366.36,107184.36,1182
Sumner,Williamson,561.41,555.5,5.91
Sumner,Wilson,1692.41,1670.63,21.78
Williamson,Davidson,40761.21,40291.11,470.1
Williamson,External,5149.86,1359.53,3790.32
Williamson,Maury,11399.94,11217.79,182.15
Williamson,Robertson,270.97,266.8,4.17
Williamson,Rutherford,7652.02,7576.26,75.76
Williamson,Sumner,1187.69,1184.46,3.22
Williamson,Williamson,160050.59,157719.84,2330.75
Williamson,Wilson,1163.38,1136.35,27.03
Wilson,Davidson,15055.11,14915.09,140.02
Wilson,External,3073.27,850.31,2222.96
Wilson,Maury,71.27,67.3,3.97
Wilson,Robertson,155.79,152.73,3.06
Wilson,Rutherford,3152.65,3111.64,41.01
Wilson,Sumner,1705.61,1684.37,21.24
Wilson,Williamson,623.97,600.41,23.56
Wilson,Wilson,76227.41,74831.6,1395.8
