GEOID,STATE,GROUP,Sum of home_device_count
34003001000,New Jersey,0,2253
34003002100,New Jersey,0,528
34003002200,New Jersey,0,2701
34003002300,New Jersey,0,3096
34003003100,New Jersey,0,1662
34003003200,New Jersey,0,2560
34003003300,New Jersey,0,2719
34003003401,New Jersey,0,791
34003003402,New Jersey,0,1157
34003003500,New Jersey,0,1811
34003004001,New Jersey,0,1413
34003004002,New Jersey,0,1868
34003005000,New Jersey,0,3828
34003006100,New Jersey,0,2929
34003006201,New Jersey,0,1949
34003006202,New Jersey,0,1168
34003006300,New Jersey,0,3217
34003007001,New Jersey,0,2370
34003007002,New Jersey,0,2538
34003008000,New Jersey,0,3821
34003009100,New Jersey,0,2475
34003009200,New Jersey,0,1403
34003010100,New Jersey,0,2619
34003010200,New Jersey,0,2127
34003010300,New Jersey,0,3279
34003011100,New Jersey,0,2088
34003011200,New Jersey,0,2658
34003011300,New Jersey,0,2382
34003011400,New Jersey,0,3966
34003012001,New Jersey,0,3142
34003012002,New Jersey,0,1430
34003013001,New Jersey,0,2680
34003013002,New Jersey,0,2538
34003014000,New Jersey,0,3320
34003015100,New Jersey,0,548
34003015200,New Jersey,0,1959
34003015300,New Jersey,0,1984
34003015400,New Jersey,0,2398
34003015500,New Jersey,0,1644
34003016000,New Jersey,0,2239
34003017100,New Jersey,0,3606
34003017200,New Jersey,0,2912
34003017300,New Jersey,0,3499
34003017400,New Jersey,0,3702
34003017500,New Jersey,0,4681
34003018100,New Jersey,0,2220
34003018200,New Jersey,0,2447
34003019102,New Jersey,0,654
34003019103,New Jersey,0,1656
34003019104,New Jersey,0,1519
34003019202,New Jersey,0,1833
34003019203,New Jersey,0,1025
34003019204,New Jersey,0,1447
34003019303,New Jersey,0,2799
34003019304,New Jersey,0,1190
34003019305,New Jersey,0,1880
34003019306,New Jersey,0,1051
34003020100,New Jersey,0,1963
34003020200,New Jersey,0,3023
34003021100,New Jersey,0,2345
34003021200,New Jersey,0,2461
34003021300,New Jersey,0,2251
34003021400,New Jersey,0,2069
34003021500,New Jersey,0,2018
34003021600,New Jersey,0,2163
34003022100,New Jersey,0,1373
34003022200,New Jersey,0,2732
34003023100,New Jersey,0,1326
34003023200,New Jersey,0,2698
34003023301,New Jersey,0,1056
34003023302,New Jersey,0,1428
34003023401,New Jersey,0,912
34003023402,New Jersey,0,2190
34003023501,New Jersey,0,1413
34003023502,New Jersey,0,973
34003023601,New Jersey,0,1411
34003023602,New Jersey,0,1627
34003024100,New Jersey,0,3542
34003024200,New Jersey,0,2551
34003025100,New Jersey,0,4037
34003025200,New Jersey,0,4050
34003026100,New Jersey,0,1887
34003026200,New Jersey,0,2710
34003027000,New Jersey,0,2037
34003028001,New Jersey,0,2072
34003028002,New Jersey,0,1905
34003029100,New Jersey,0,2157
34003029200,New Jersey,0,3226
34003030100,New Jersey,0,2574
34003030200,New Jersey,0,2605
34003030300,New Jersey,0,2042
34003030400,New Jersey,0,2992
34003031100,New Jersey,0,2963
34003031200,New Jersey,0,2738
34003031300,New Jersey,0,2495
34003031400,New Jersey,0,3735
34003032102,New Jersey,0,2296
34003032103,New Jersey,0,1457
34003032104,New Jersey,0,3027
34003032201,New Jersey,0,2615
34003032202,New Jersey,0,2544
34003033100,New Jersey,0,2354
34003033200,New Jersey,0,1244
34003033300,New Jersey,0,1267
34003034000,New Jersey,0,2101
34003035100,New Jersey,0,4924
34003035200,New Jersey,0,3657
34003036100,New Jersey,0,1364
34003036200,New Jersey,0,1367
34003037100,New Jersey,0,2763
34003037201,New Jersey,0,1649
34003037202,New Jersey,0,3066
34003038100,New Jersey,0,3025
34003038200,New Jersey,0,2010
34003038300,New Jersey,0,3491
34003039100,New Jersey,0,2513
34003039200,New Jersey,0,3329
34003039300,New Jersey,0,1283
34003040001,New Jersey,0,1544
34003040002,New Jersey,0,1770
34003041100,New Jersey,0,2289
34003041200,New Jersey,0,1924
34003041301,New Jersey,0,2043
34003041302,New Jersey,0,1675
34003042100,New Jersey,0,3600
34003042301,New Jersey,0,1657
34003042302,New Jersey,0,2185
34003042400,New Jersey,0,2220
34003042500,New Jersey,0,1850
34003043001,New Jersey,0,1761
34003043002,New Jersey,0,2348
34003044100,New Jersey,0,2677
34003044201,New Jersey,0,1790
34003044202,New Jersey,0,2660
34003045100,New Jersey,0,3644
34003045200,New Jersey,0,1493
34003046100,New Jersey,0,1755
34003046200,New Jersey,0,2129
34003046300,New Jersey,0,2041
34003047100,New Jersey,0,2381
34003047200,New Jersey,0,1480
34003047300,New Jersey,0,1087
34003047400,New Jersey,0,2265
34003047500,New Jersey,0,2347
34003048100,New Jersey,0,2497
34003048200,New Jersey,0,3978
34003049001,New Jersey,0,1615
34003049002,New Jersey,0,3176
34003050000,New Jersey,0,3549
34003051100,New Jersey,0,2636
34003051200,New Jersey,0,1264
34003051300,New Jersey,0,2153
34003051400,New Jersey,0,2834
34003052100,New Jersey,0,4344
34003052200,New Jersey,0,2713
34003053100,New Jersey,0,2115
34003053200,New Jersey,0,4312
34003054100,New Jersey,0,3144
34003054200,New Jersey,0,2220
34003054300,New Jersey,0,1712
34003054400,New Jersey,0,2347
34003054500,New Jersey,0,2158
34003054600,New Jersey,0,3489
34003055100,New Jersey,0,3637
34003055200,New Jersey,0,3449
34003056100,New Jersey,0,2018
34003056200,New Jersey,0,2502
34003057101,New Jersey,0,1459
34003057102,New Jersey,0,1797
34003057200,New Jersey,0,1497
34003058100,New Jersey,0,2058
34003058200,New Jersey,0,2342
34003059100,New Jersey,0,2505
34003059200,New Jersey,0,2859
34003060000,New Jersey,0,5446
34003061100,New Jersey,0,2393
34003061200,New Jersey,0,2378
34003061300,New Jersey,0,1445
34003061400,New Jersey,0,2633
34013000100,New Jersey,0,1397
34013000200,New Jersey,0,1176
34013000300,New Jersey,0,1482
34013000400,New Jersey,0,434
34013000500,New Jersey,0,533
34013000600,New Jersey,0,1435
34013000700,New Jersey,0,2834
34013000800,New Jersey,0,1538
34013000900,New Jersey,0,1893
34013001000,New Jersey,0,1894
34013001100,New Jersey,0,1194
34013001300,New Jersey,0,734
34013001400,New Jersey,0,1793
34013001500,New Jersey,0,1421
34013001600,New Jersey,0,651
34013001700,New Jersey,0,1179
34013001800,New Jersey,0,1069
34013001900,New Jersey,0,1279
34013002000,New Jersey,0,1700
34013002100,New Jersey,0,1900
34013002201,New Jersey,0,3671
34013002202,New Jersey,0,1205
34013002300,New Jersey,0,2249
34013002400,New Jersey,0,1697
34013002500,New Jersey,0,2328
34013002600,New Jersey,0,1001
34013002800,New Jersey,0,1309
34013003100,New Jersey,0,1363
34013003500,New Jersey,0,1502
34013003700,New Jersey,0,1362
34013003800,New Jersey,0,1792
34013003900,New Jersey,0,782
34013004100,New Jersey,0,1515
34013004200,New Jersey,0,1781
34013004300,New Jersey,0,1505
34013004400,New Jersey,0,857
34013004500,New Jersey,0,1402
34013004600,New Jersey,0,1703
34013004700,New Jersey,0,1604
34013004801,New Jersey,0,910
34013004802,New Jersey,0,1584
34013004900,New Jersey,0,2055
34013005000,New Jersey,0,2211
34013005100,New Jersey,0,1016
34013005200,New Jersey,0,762
34013005300,New Jersey,0,1340
34013005400,New Jersey,0,2084
34013005700,New Jersey,0,1260
34013006200,New Jersey,0,687
34013006400,New Jersey,0,344
34013006600,New Jersey,0,744
34013006700,New Jersey,0,2121
34013006800,New Jersey,0,2025
34013006900,New Jersey,0,1365
34013007000,New Jersey,0,1074
34013007100,New Jersey,0,1180
34013007200,New Jersey,0,1434
34013007300,New Jersey,0,2043
34013007400,New Jersey,0,1296
34013007501,New Jersey,0,1695
34013007502,New Jersey,0,1229
34013007600,New Jersey,0,1099
34013007700,New Jersey,0,589
34013007800,New Jersey,0,1085
34013007900,New Jersey,0,921
34013008000,New Jersey,0,1277
34013008100,New Jersey,0,2346
34013008200,New Jersey,0,1025
34013008700,New Jersey,0,1454
34013008800,New Jersey,0,648
34013008900,New Jersey,0,898
34013009000,New Jersey,0,754
34013009100,New Jersey,0,1145
34013009200,New Jersey,0,1407
34013009300,New Jersey,0,2036
34013009400,New Jersey,0,1866
34013009500,New Jersey,0,2114
34013009600,New Jersey,0,1990
34013009700,New Jersey,0,1602
34013009900,New Jersey,0,851
34013010000,New Jersey,0,1213
34013010100,New Jersey,0,1153
34013010200,New Jersey,0,1517
34013010300,New Jersey,0,1905
34013010400,New Jersey,0,2845
34013010500,New Jersey,0,1676
34013010600,New Jersey,0,2003
34013010700,New Jersey,0,1495
34013010800,New Jersey,0,1314
34013010900,New Jersey,0,1207
34013011100,New Jersey,0,2048
34013011200,New Jersey,0,1316
34013011300,New Jersey,0,1797
34013011400,New Jersey,0,2098
34013011500,New Jersey,0,1037
34013011600,New Jersey,0,1633
34013011700,New Jersey,0,1749
34013011800,New Jersey,0,809
34013011900,New Jersey,0,755
34013012000,New Jersey,0,2090
34013012100,New Jersey,0,1537
34013012200,New Jersey,0,2526
34013012300,New Jersey,0,1835
34013012400,New Jersey,0,1663
34013012500,New Jersey,0,1560
34013012600,New Jersey,0,1583
34013012700,New Jersey,0,1822
34013012800,New Jersey,0,1619
34013012900,New Jersey,0,1850
34013013000,New Jersey,0,1364
34013013100,New Jersey,0,1206
34013013200,New Jersey,0,1279
34013013300,New Jersey,0,1709
34013013400,New Jersey,0,2108
34013013500,New Jersey,0,2563
34013013600,New Jersey,0,3134
34013013700,New Jersey,0,2482
34013013800,New Jersey,0,2067
34013013900,New Jersey,0,2283
34013014000,New Jersey,0,1344
34013014100,New Jersey,0,1549
34013014200,New Jersey,0,1526
34013014300,New Jersey,0,2147
34013014400,New Jersey,0,1653
34013014500,New Jersey,0,1619
34013014600,New Jersey,0,1964
34013014700,New Jersey,0,3111
34013014800,New Jersey,0,1319
34013014900,New Jersey,0,1635
34013015000,New Jersey,0,1111
34013015100,New Jersey,0,1914
34013015200,New Jersey,0,1792
34013015300,New Jersey,0,998
34013015400,New Jersey,0,1580
34013015500,New Jersey,0,1170
34013015600,New Jersey,0,1518
34013015700,New Jersey,0,1273
34013015800,New Jersey,0,1837
34013015900,New Jersey,0,2055
34013016000,New Jersey,0,1648
34013016100,New Jersey,0,893
34013016200,New Jersey,0,1093
34013016300,New Jersey,0,733
34013016400,New Jersey,0,815
34013016500,New Jersey,0,1030
34013016600,New Jersey,0,504
34013016700,New Jersey,0,722
34013016800,New Jersey,0,1220
34013016900,New Jersey,0,1004
34013017000,New Jersey,0,739
34013017100,New Jersey,0,723
34013017200,New Jersey,0,947
34013017301,New Jersey,0,2013
34013017302,New Jersey,0,2342
34013017400,New Jersey,0,2085
34013017500,New Jersey,0,1792
34013017600,New Jersey,0,1922
34013017700,New Jersey,0,1764
34013017800,New Jersey,0,1385
34013017900,New Jersey,0,1012
34013018000,New Jersey,0,1858
34013018100,New Jersey,0,954
34013018200,New Jersey,0,1613
34013018300,New Jersey,0,1470
34013018400,New Jersey,0,1004
34013018600,New Jersey,0,2139
34013018700,New Jersey,0,1828
34013018800,New Jersey,0,1485
34013018900,New Jersey,0,1712
34013019000,New Jersey,0,933
34013019100,New Jersey,0,1209
34013019200,New Jersey,0,1718
34013019300,New Jersey,0,1316
34013019400,New Jersey,0,698
34013019500,New Jersey,0,1096
34013019600,New Jersey,0,1366
34013019700,New Jersey,0,2146
34013019800,New Jersey,0,706
34013019900,New Jersey,0,610
34013020000,New Jersey,0,3147
34013020100,New Jersey,0,2267
34013020200,New Jersey,0,1355
34013020300,New Jersey,0,1943
34013020400,New Jersey,0,2839
34013020500,New Jersey,0,4857
34013020600,New Jersey,0,2922
34013020700,New Jersey,0,2307
34013020800,New Jersey,0,4525
34013020901,New Jersey,0,846
34013020902,New Jersey,0,2945
34013021000,New Jersey,0,2713
34013021100,New Jersey,0,2178
34013021200,New Jersey,0,1720
34013021300,New Jersey,0,2969
34013021400,New Jersey,0,3426
34013021601,New Jersey,0,5601
34013021602,New Jersey,0,3190
34013021701,New Jersey,0,1792
34013021702,New Jersey,0,1547
34013021801,New Jersey,0,1435
34013021802,New Jersey,0,2848
34013021803,New Jersey,0,2910
34013022700,New Jersey,0,1551
34013022800,New Jersey,0,1557
34013022900,New Jersey,0,1621
34013023000,New Jersey,0,2123
34013023100,New Jersey,0,1844
34013023200,New Jersey,0,1454
34013980100,New Jersey,0,36
34013980200,New Jersey,0,1163
34017000100,New Jersey,0,1459
34017000200,New Jersey,0,1914
34017000300,New Jersey,0,1339
34017000400,New Jersey,0,1481
34017000500,New Jersey,0,1304
34017000600,New Jersey,0,1474
34017000700,New Jersey,0,920
34017000800,New Jersey,0,1018
34017000902,New Jersey,0,1548
34017001000,New Jersey,0,675
34017001100,New Jersey,0,1429
34017001201,New Jersey,0,888
34017001202,New Jersey,0,485
34017001300,New Jersey,0,596
34017001400,New Jersey,0,1188
34017001701,New Jersey,0,3178
34017001800,New Jersey,0,2310
34017001900,New Jersey,0,1236
34017002000,New Jersey,0,1961
34017002200,New Jersey,0,291
34017002300,New Jersey,0,583
34017002400,New Jersey,0,365
34017002700,New Jersey,0,2875
34017002800,New Jersey,0,2196
34017002900,New Jersey,0,1338
34017003000,New Jersey,0,1450
34017003100,New Jersey,0,1285
34017003500,New Jersey,0,379
34017004000,New Jersey,0,3146
34017004101,New Jersey,0,2944
34017004102,New Jersey,0,1142
34017004200,New Jersey,0,2246
34017004300,New Jersey,0,940
34017004400,New Jersey,0,987
34017004500,New Jersey,0,1140
34017004600,New Jersey,0,731
34017004700,New Jersey,0,667
34017004800,New Jersey,0,2308
34017004900,New Jersey,0,1808
34017005200,New Jersey,0,1994
34017005300,New Jersey,0,1506
34017005400,New Jersey,0,2683
34017005500,New Jersey,0,1180
34017005600,New Jersey,0,1502
34017005801,New Jersey,0,2028
34017005802,New Jersey,0,833
34017005900,New Jersey,0,3068
34017006000,New Jersey,0,1916
34017006100,New Jersey,0,3532
34017006200,New Jersey,0,1282
34017006300,New Jersey,0,1864
34017006400,New Jersey,0,721
34017006500,New Jersey,0,863
34017006600,New Jersey,0,689
34017006700,New Jersey,0,1687
34017006800,New Jersey,0,1607
34017006900,New Jersey,0,422
34017007000,New Jersey,0,886
34017007100,New Jersey,0,1175
34017007200,New Jersey,0,443
34017007300,New Jersey,0,812
34017007400,New Jersey,0,748
34017007500,New Jersey,0,1249
34017007600,New Jersey,0,2640
34017007700,New Jersey,0,2023
34017007800,New Jersey,0,1006
34017010100,New Jersey,0,2712
34017010200,New Jersey,0,1426
34017010300,New Jersey,0,1406
34017010400,New Jersey,0,8075
34017010500,New Jersey,0,2146
34017010600,New Jersey,0,3015
34017010700,New Jersey,0,2011
34017010800,New Jersey,0,1513
34017010900,New Jersey,0,1398
34017011000,New Jersey,0,1134
34017011100,New Jersey,0,1890
34017011200,New Jersey,0,2488
34017011300,New Jersey,0,1172
