GEOID,STATE,GROUP,Sum of home_device_count
34003001000,New Jersey,0,2956
34003002100,New Jersey,0,622
34003002200,New Jersey,0,3198
34003002300,New Jersey,0,3839
34003003100,New Jersey,0,1903
34003003200,New Jersey,0,2532
34003003300,New Jersey,0,3287
34003003401,New Jersey,0,1089
34003003402,New Jersey,0,1226
34003003500,New Jersey,0,2040
34003004001,New Jersey,0,1605
34003004002,New Jersey,0,2047
34003005000,New Jersey,0,3933
34003006100,New Jersey,0,3057
34003006201,New Jersey,0,2359
34003006202,New Jersey,0,1548
34003006300,New Jersey,0,3548
34003007001,New Jersey,0,2856
34003007002,New Jersey,0,3330
34003008000,New Jersey,0,5090
34003009100,New Jersey,0,2865
34003009200,New Jersey,0,1821
34003010100,New Jersey,0,2778
34003010200,New Jersey,0,2346
34003010300,New Jersey,0,3890
34003011100,New Jersey,0,2634
34003011200,New Jersey,0,2757
34003011300,New Jersey,0,2292
34003011400,New Jersey,0,4024
34003012001,New Jersey,0,3698
34003012002,New Jersey,0,1735
34003013001,New Jersey,0,3175
34003013002,New Jersey,0,2658
34003014000,New Jersey,0,4289
34003015100,New Jersey,0,766
34003015200,New Jersey,0,2614
34003015300,New Jersey,0,2164
34003015400,New Jersey,0,2435
34003015500,New Jersey,0,1975
34003016000,New Jersey,0,2256
34003017100,New Jersey,0,4629
34003017200,New Jersey,0,3785
34003017300,New Jersey,0,4195
34003017400,New Jersey,0,4014
34003017500,New Jersey,0,5559
34003018100,New Jersey,0,2317
34003018200,New Jersey,0,2660
34003019102,New Jersey,0,843
34003019103,New Jersey,0,1904
34003019104,New Jersey,0,1823
34003019202,New Jersey,0,1974
34003019203,New Jersey,0,1356
34003019204,New Jersey,0,1800
34003019303,New Jersey,0,3647
34003019304,New Jersey,0,1328
34003019305,New Jersey,0,2172
34003019306,New Jersey,0,1187
34003020100,New Jersey,0,2319
34003020200,New Jersey,0,3912
34003021100,New Jersey,0,2316
34003021200,New Jersey,0,2572
34003021300,New Jersey,0,2443
34003021400,New Jersey,0,2214
34003021500,New Jersey,0,1831
34003021600,New Jersey,0,2269
34003022100,New Jersey,0,1577
34003022200,New Jersey,0,3683
34003023100,New Jersey,0,1685
34003023200,New Jersey,0,2774
34003023301,New Jersey,0,1265
34003023302,New Jersey,0,1557
34003023401,New Jersey,0,1047
