GEOID,STATE,Date,Sum of home_device_count
34003001000,New Jersey,13-Feb,2253
34003002100,New Jersey,13-Feb,528
34003002200,New Jersey,13-Feb,2701
34003002300,New Jersey,13-Feb,3096
34003003100,New Jersey,13-Feb,1662
34003003200,New Jersey,13-Feb,2560
34003003300,New Jersey,13-Feb,2719
34003003401,New Jersey,13-Feb,791
34003003402,New Jersey,13-Feb,1157
34003003500,New Jersey,13-Feb,1811
34003004001,New Jersey,13-Feb,1413
34003004002,New Jersey,13-Feb,1868
34003005000,New Jersey,13-Feb,3828
34003006100,New Jersey,13-Feb,2929
34003006201,New Jersey,13-Feb,1949
34003006202,New Jersey,13-Feb,1168
34003006300,New Jersey,13-Feb,3217
34003007001,New Jersey,13-Feb,2370
34003007002,New Jersey,13-Feb,2538
34003008000,New Jersey,13-Feb,3821
34003009100,New Jersey,13-Feb,2475
34003009200,New Jersey,13-Feb,1403
34003010100,New Jersey,13-Feb,2619
34003010200,New Jersey,13-Feb,2127
34003010300,New Jersey,13-Feb,3279
34003011100,New Jersey,13-Feb,2088
34003011200,New Jersey,13-Feb,2658
34003011300,New Jersey,13-Feb,2382
34003011400,New Jersey,13-Feb,3966
34003012001,New Jersey,13-Feb,3142
34003012002,New Jersey,13-Feb,1430
34003013001,New Jersey,13-Feb,2680
34003013002,New Jersey,13-Feb,2538
34003014000,New Jersey,13-Feb,3320
34003015100,New Jersey,13-Feb,548
34003015200,New Jersey,13-Feb,1959
34003015300,New Jersey,13-Feb,1984
34003015400,New Jersey,13-Feb,2398
34003015500,New Jersey,13-Feb,1644
34003016000,New Jersey,13-Feb,2239
34003017100,New Jersey,13-Feb,3606
34003017200,New Jersey,13-Feb,2912
34003017300,New Jersey,13-Feb,3499
34003017400,New Jersey,13-Feb,3702
34003017500,New Jersey,13-Feb,4681
34003018100,New Jersey,13-Feb,2220
34003018200,New Jersey,13-Feb,2447
34003019102,New Jersey,13-Feb,654
34003019103,New Jersey,13-Feb,1656
34003019104,New Jersey,13-Feb,1519
34003019202,New Jersey,13-Feb,1833
34003019203,New Jersey,13-Feb,1025
34003019204,New Jersey,13-Feb,1447
34003019303,New Jersey,13-Feb,2799
34003019304,New Jersey,13-Feb,1190
34003019305,New Jersey,13-Feb,1880
34003019306,New Jersey,13-Feb,1051
34003020100,New Jersey,13-Feb,1963
34003020200,New Jersey,13-Feb,3023
34003021100,New Jersey,13-Feb,2345
34003021200,New Jersey,13-Feb,2461
34003021300,New Jersey,13-Feb,2251
34003021400,New Jersey,13-Feb,2069
34003021500,New Jersey,13-Feb,2018
34003021600,New Jersey,13-Feb,2163
34003022100,New Jersey,13-Feb,1373
34003022200,New Jersey,13-Feb,2732
34003023100,New Jersey,13-Feb,1326
34003023200,New Jersey,13-Feb,2698
34003023301,New Jersey,13-Feb,1056
34003023302,New Jersey,13-Feb,1428
34003023401,New Jersey,13-Feb,912
34003023402,New Jersey,13-Feb,2190
34003023501,New Jersey,13-Feb,1413
34003023502,New Jersey,13-Feb,973
34003023601,New Jersey,13-Feb,1411
34003023602,New Jersey,13-Feb,1627
34003024100,New Jersey,13-Feb,3542
34003024200,New Jersey,13-Feb,2551
34003025100,New Jersey,13-Feb,4037
34003025200,New Jersey,13-Feb,4050
34003026100,New Jersey,13-Feb,1887
34003026200,New Jersey,13-Feb,2710
34003027000,New Jersey,13-Feb,2037
34003028001,New Jersey,13-Feb,2072
34003028002,New Jersey,13-Feb,1905
