PERSON_TYPE,period,DWELL_LOCATION,percent_active_devices
NY_RESIDENT,1,HOME,0.914677892
NY_RESIDENT,2,HOME,0.916777496
NY_RESIDENT,3,HOME,0.921658218
NY_RESIDENT,4,HOME,0.923177262
NY_RESIDENT,5,HOME,0.925574652
NY_RESIDENT,6,HOME,0.926244127
NY_RESIDENT,7,HOME,0.927950413
NY_RESIDENT,8,HOME,0.927777953
NY_RESIDENT,9,HOME,0.927259388
NY_RESIDENT,10,HOME,0.92500798
NY_RESIDENT,11,HOME,0.920580344
NY_RESIDENT,12,HOME,0.912052675
NY_RESIDENT,13,HOME,0.895279556
NY_RESIDENT,14,HOME,0.876404034
NY_RESIDENT,15,HOME,0.851270639
NY_RESIDENT,16,HOME,0.830948133
NY_RESIDENT,17,HOME,0.807935646
NY_RESIDENT,18,HOME,0.788906231
NY_RESIDENT,19,HOME,0.774043573
NY_RESIDENT,20,HOME,0.763534328
NY_RESIDENT,21,HOME,0.756055848
NY_RESIDENT,22,HOME,0.750390077
NY_RESIDENT,23,HOME,0.748936054
NY_RESIDENT,24,HOME,0.744271251
NY_RESIDENT,25,HOME,0.742098291
NY_RESIDENT,26,HOME,0.741113783
NY_RESIDENT,27,HOME,0.744337146
NY_RESIDENT,28,HOME,0.74306712
NY_RESIDENT,29,HOME,0.745898222
NY_RESIDENT,30,HOME,0.748193346
NY_RESIDENT,31,HOME,0.756226773
NY_RESIDENT,32,HOME,0.76667532
NY_RESIDENT,33,HOME,0.781918455
NY_RESIDENT,34,HOME,0.797066267
NY_RESIDENT,35,HOME,0.815459949
NY_RESIDENT,36,HOME,0.827333978
NY_RESIDENT,37,HOME,0.838529496
NY_RESIDENT,38,HOME,0.844447001
NY_RESIDENT,39,HOME,0.851926845
NY_RESIDENT,40,HOME,0.851603716
NY_RESIDENT,41,HOME,0.870154092
NY_RESIDENT,42,HOME,0.873963523
NY_RESIDENT,43,HOME,0.881280876
NY_RESIDENT,44,HOME,0.884706192
NY_RESIDENT,45,HOME,0.892845886
NY_RESIDENT,46,HOME,0.895183706
NY_RESIDENT,47,HOME,0.901951945
NY_RESIDENT,48,HOME,0.905225813
NY_VISITOR,1,HOME,0.804259589
NY_VISITOR,2,HOME,0.806241201
NY_VISITOR,3,HOME,0.812639148
NY_VISITOR,4,HOME,0.814748694
NY_VISITOR,5,HOME,0.819270775
NY_VISITOR,6,HOME,0.82024629
NY_VISITOR,7,HOME,0.822777855
NY_VISITOR,8,HOME,0.82237667
NY_VISITOR,9,HOME,0.823097991
NY_VISITOR,10,HOME,0.820111081
NY_VISITOR,11,HOME,0.815354922
NY_VISITOR,12,HOME,0.805397325
NY_VISITOR,13,HOME,0.786770784
NY_VISITOR,14,HOME,0.766270918
NY_VISITOR,15,HOME,0.741714262
NY_VISITOR,16,HOME,0.719404946
NY_VISITOR,17,HOME,0.694647171
NY_VISITOR,18,HOME,0.675329423
NY_VISITOR,19,HOME,0.661724869
NY_VISITOR,20,HOME,0.650514358
NY_VISITOR,21,HOME,0.643684423
NY_VISITOR,22,HOME,0.635963755
NY_VISITOR,23,HOME,0.634442585
NY_VISITOR,24,HOME,0.628311039
NY_VISITOR,25,HOME,0.627276591
NY_VISITOR,26,HOME,0.625234702
NY_VISITOR,27,HOME,0.628256495
NY_VISITOR,28,HOME,0.626913465
NY_VISITOR,29,HOME,0.629610342
NY_VISITOR,30,HOME,0.631192214
NY_VISITOR,31,HOME,0.639606369
NY_VISITOR,32,HOME,0.648181745
NY_VISITOR,33,HOME,0.665074609
NY_VISITOR,34,HOME,0.676720867
NY_VISITOR,35,HOME,0.698894976
NY_VISITOR,36,HOME,0.708330447
NY_VISITOR,37,HOME,0.71839296
NY_VISITOR,38,HOME,0.719043968
NY_VISITOR,39,HOME,0.727896907
NY_VISITOR,40,HOME,0.72420907
NY_VISITOR,41,HOME,0.749944382
NY_VISITOR,42,HOME,0.751638952
NY_VISITOR,43,HOME,0.761500822
NY_VISITOR,44,HOME,0.763526617
NY_VISITOR,45,HOME,0.776229609
NY_VISITOR,46,HOME,0.777740063
NY_VISITOR,47,HOME,0.787659479
NY_VISITOR,48,HOME,0.791586672
NY_RESIDENT,1,WORK,0.037102799
NY_RESIDENT,2,WORK,0.035759894
NY_RESIDENT,3,WORK,0.034201981
NY_RESIDENT,4,WORK,0.033318752
NY_RESIDENT,5,WORK,0.032333598
NY_RESIDENT,6,WORK,0.031990768
NY_RESIDENT,7,WORK,0.031498872
NY_RESIDENT,8,WORK,0.031494284
NY_RESIDENT,9,WORK,0.032069113
NY_RESIDENT,10,WORK,0.033441211
NY_RESIDENT,11,WORK,0.036362971
NY_RESIDENT,12,WORK,0.041183785
NY_RESIDENT,13,WORK,0.052805097
NY_RESIDENT,14,WORK,0.06622907
NY_RESIDENT,15,WORK,0.086006359
NY_RESIDENT,16,WORK,0.101010938
NY_RESIDENT,17,WORK,0.119315439
NY_RESIDENT,18,WORK,0.133479724
NY_RESIDENT,19,WORK,0.147069729
NY_RESIDENT,20,WORK,0.153983587
NY_RESIDENT,21,WORK,0.159757045
NY_RESIDENT,22,WORK,0.162593417
NY_RESIDENT,23,WORK,0.164221216
NY_RESIDENT,24,WORK,0.166591522
NY_RESIDENT,25,WORK,0.167513087
NY_RESIDENT,26,WORK,0.16726925
NY_RESIDENT,27,WORK,0.165786275
NY_RESIDENT,28,WORK,0.165169236
NY_RESIDENT,29,WORK,0.163204563
NY_RESIDENT,30,WORK,0.159539763
NY_RESIDENT,31,WORK,0.153019818
NY_RESIDENT,32,WORK,0.142734696
NY_RESIDENT,33,WORK,0.13016204
NY_RESIDENT,34,WORK,0.116151871
NY_RESIDENT,35,WORK,0.098468798
NY_RESIDENT,36,WORK,0.087378628
NY_RESIDENT,37,WORK,0.07885209
NY_RESIDENT,38,WORK,0.073490569
NY_RESIDENT,39,WORK,0.068667776
NY_RESIDENT,40,WORK,0.066652859
NY_RESIDENT,41,WORK,0.060481351
NY_RESIDENT,42,WORK,0.058152246
NY_RESIDENT,43,WORK,0.054622142
NY_RESIDENT,44,WORK,0.052401948
NY_RESIDENT,45,WORK,0.048382906
NY_RESIDENT,46,WORK,0.046792304
NY_RESIDENT,47,WORK,0.04327655
NY_RESIDENT,48,WORK,0.041053753
NY_VISITOR,1,WORK,0.068348529
NY_VISITOR,2,WORK,0.067243534
NY_VISITOR,3,WORK,0.064930475
NY_VISITOR,4,WORK,0.06403423
NY_VISITOR,5,WORK,0.061974371
NY_VISITOR,6,WORK,0.061279167
NY_VISITOR,7,WORK,0.06050465
NY_VISITOR,8,WORK,0.060354001
NY_VISITOR,9,WORK,0.060724959
NY_VISITOR,10,WORK,0.062177633
NY_VISITOR,11,WORK,0.064887014
NY_VISITOR,12,WORK,0.070545717
NY_VISITOR,13,WORK,0.082423267
NY_VISITOR,14,WORK,0.096660517
NY_VISITOR,15,WORK,0.117994907
NY_VISITOR,16,WORK,0.13516147
NY_VISITOR,17,WORK,0.15649435
NY_VISITOR,18,WORK,0.171143967
NY_VISITOR,19,WORK,0.18569633
NY_VISITOR,20,WORK,0.192578921
NY_VISITOR,21,WORK,0.19755293
NY_VISITOR,22,WORK,0.201181804
NY_VISITOR,23,WORK,0.203444335
NY_VISITOR,24,WORK,0.205507054
NY_VISITOR,25,WORK,0.20505618
NY_VISITOR,26,WORK,0.205526149
NY_VISITOR,27,WORK,0.204538537
NY_VISITOR,28,WORK,0.203916311
NY_VISITOR,29,WORK,0.202773707
NY_VISITOR,30,WORK,0.199092176
NY_VISITOR,31,WORK,0.193017515
NY_VISITOR,32,WORK,0.183422547
NY_VISITOR,33,WORK,0.170116814
NY_VISITOR,34,WORK,0.156014081
NY_VISITOR,35,WORK,0.133286899
NY_VISITOR,36,WORK,0.120461162
NY_VISITOR,37,WORK,0.1114167
NY_VISITOR,38,WORK,0.107341096
NY_VISITOR,39,WORK,0.102625107
NY_VISITOR,40,WORK,0.101732113
NY_VISITOR,41,WORK,0.093667818
NY_VISITOR,42,WORK,0.092359133
NY_VISITOR,43,WORK,0.08787741
NY_VISITOR,44,WORK,0.086156146
NY_VISITOR,45,WORK,0.080198108
NY_VISITOR,46,WORK,0.078819562
NY_VISITOR,47,WORK,0.074730592
NY_VISITOR,48,WORK,0.07260855
NY_RESIDENT,1,OTHER,0.048219308
NY_RESIDENT,2,OTHER,0.04746261
NY_RESIDENT,3,OTHER,0.044139801
NY_RESIDENT,4,OTHER,0.043503986
NY_RESIDENT,5,OTHER,0.04209175
NY_RESIDENT,6,OTHER,0.041765106
NY_RESIDENT,7,OTHER,0.040550715
NY_RESIDENT,8,OTHER,0.040727763
NY_RESIDENT,9,OTHER,0.040671499
NY_RESIDENT,10,OTHER,0.041550809
NY_RESIDENT,11,OTHER,0.043056685
NY_RESIDENT,12,OTHER,0.046763539
NY_RESIDENT,13,OTHER,0.051915347
NY_RESIDENT,14,OTHER,0.057366895
NY_RESIDENT,15,OTHER,0.062723002
NY_RESIDENT,16,OTHER,0.068040929
NY_RESIDENT,17,OTHER,0.072748915
NY_RESIDENT,18,OTHER,0.077614045
NY_RESIDENT,19,OTHER,0.078886698
NY_RESIDENT,20,OTHER,0.082482085
NY_RESIDENT,21,OTHER,0.084187106
NY_RESIDENT,22,OTHER,0.087016507
NY_RESIDENT,23,OTHER,0.08684273
NY_RESIDENT,24,OTHER,0.089137227
NY_RESIDENT,25,OTHER,0.090388622
NY_RESIDENT,26,OTHER,0.091616967
NY_RESIDENT,27,OTHER,0.089876579
NY_RESIDENT,28,OTHER,0.091763644
NY_RESIDENT,29,OTHER,0.090897215
NY_RESIDENT,30,OTHER,0.09226689
NY_RESIDENT,31,OTHER,0.090753409
NY_RESIDENT,32,OTHER,0.090589984
NY_RESIDENT,33,OTHER,0.087919505
NY_RESIDENT,34,OTHER,0.086781862
NY_RESIDENT,35,OTHER,0.086071253
NY_RESIDENT,36,OTHER,0.085287394
