RESPONSE,AGE_GROUP,PERSON,CHART
AGE GROUP,Under 5,140723.37558,AGE DISTRIBUTION
AGE GROUP,5 to 15,356857.45482,AGE DISTRIBUTION
AGE GROUP,16-17,66755.06336,AGE DISTRIBUTION
AGE GROUP,18-24,180143.238410001,AGE DISTRIBUTION
AGE GROUP,25-34,289024.321529999,AGE DISTRIBUTION
AGE GROUP,35-44,401817.57592,AGE DISTRIBUTION
AGE GROUP,45-54,377495.49414,AGE DISTRIBUTION
AGE GROUP,55-64,414611.79978,AGE DISTRIBUTION
AGE GROUP,65-74,479390.55918,AGE DISTRIBUTION
AGE GROUP,75+,147636.00259,AGE DISTRIBUTION
