AGE GROUP,FREQUENCY,PERSON,CHART
18-34,Never,325185.32,BIKE USE FREQUENCY
18-34,A few times per year,73417.55,BIKE USE FREQUENCY
18-34,1-3 days per month,30446.64,BIKE USE FREQUENCY
18-34,1-3 days per week,19025.44,BIKE USE FREQUENCY
18-34,4+ days per week,12193.33,BIKE USE FREQUENCY
35-54,Never,457584.45,BIKE USE FREQUENCY
35-54,A few times per year,159066.61,BIKE USE FREQUENCY
35-54,1-3 days per month,60029.03,BIKE USE FREQUENCY
35-54,1-3 days per week,66902.61,BIKE USE FREQUENCY
35-54,4+ days per week,23472.93,BIKE USE FREQUENCY
55+,Never,713073.72,BIKE USE FREQUENCY
55+,A few times per year,130715.79,BIKE USE FREQUENCY
55+,1-3 days per month,50786.37,BIKE USE FREQUENCY
55+,1-3 days per week,89677.63,BIKE USE FREQUENCY
55+,4+ days per week,47599.41,BIKE USE FREQUENCY
