AGE GROUP,FREQUENCY,PERSON,CHART
18-34,Never,192464.38,TELECOMMUTE FREQUENCY
18-34,A few times per year,20805.2,TELECOMMUTE FREQUENCY
18-34,1-3 days per month,6365,TELECOMMUTE FREQUENCY
18-34,1-3 days per week,39794.61,TELECOMMUTE FREQUENCY
18-34,4+ days per week,55775.89,TELECOMMUTE FREQUENCY
35-54,Never,314288.09,TELECOMMUTE FREQUENCY
35-54,A few times per year,65521.91,TELECOMMUTE FREQUENCY
35-54,1-3 days per month,38920.68,TELECOMMUTE FREQUENCY
35-54,1-3 days per week,59559.46,TELECOMMUTE FREQUENCY
35-54,4+ days per week,67176.55,TELECOMMUTE FREQUENCY
55+,Never,220470.14,TELECOMMUTE FREQUENCY
55+,A few times per year,29302.23,TELECOMMUTE FREQUENCY
55+,1-3 days per month,24191.33,TELECOMMUTE FREQUENCY
55+,1-3 days per week,18974.14,TELECOMMUTE FREQUENCY
55+,4+ days per week,24107.08,TELECOMMUTE FREQUENCY
