FROM,TO,TRIPS
Brooksville Area,Brooksville Area,40606.93
Brooksville Area,Croom WMA  NE Hernando,3584.89
Brooksville Area,Crystal River and NW Citrus,56.37
Brooksville Area,External,1601.3
Brooksville Area,Hillsborough  Manatee Spur,1129.06
Brooksville Area,Homosassa Springs  SW Citrus,242.76
Brooksville Area,Inverness and NE Citrus,64.28
Brooksville Area,Lake Lindsey  N. Central Hernando,2210.7
Brooksville Area,NW Hernando,1114.29
Brooksville Area,North Central Citrus,117.92
Brooksville Area,Pasco,3114.05
Brooksville Area,Pinellas,364.55
Brooksville Area,Richloam WMA and E Hernando,366.74
Brooksville Area,South Central Hernando,4947.3
Brooksville Area,South East Citrus,250.06
Brooksville Area,Spring Hill and SW Hernando,9286.63
Croom WMA  NE Hernando,Brooksville Area,3584.89
Croom WMA  NE Hernando,Croom WMA  NE Hernando,2127.1
Croom WMA  NE Hernando,Crystal River and NW Citrus,64.28
Croom WMA  NE Hernando,External,707.02
Croom WMA  NE Hernando,Hillsborough  Manatee Spur,342.23
Croom WMA  NE Hernando,Homosassa Springs  SW Citrus,53.87
Croom WMA  NE Hernando,Inverness and NE Citrus,13.52
Croom WMA  NE Hernando,Lake Lindsey  N. Central Hernando,310.93
Croom WMA  NE Hernando,NW Hernando,111.57
Croom WMA  NE Hernando,North Central Citrus,58.3
Croom WMA  NE Hernando,Pasco,1006.65
Croom WMA  NE Hernando,Pinellas,63.93
Croom WMA  NE Hernando,Richloam WMA and E Hernando,303.57
Croom WMA  NE Hernando,South Central Hernando,1113.06
Croom WMA  NE Hernando,South East Citrus,197.72
Croom WMA  NE Hernando,Spring Hill and SW Hernando,1018.82
Crystal River and NW Citrus,Brooksville Area,56.37
Crystal River and NW Citrus,Croom WMA  NE Hernando,64.28
Crystal River and NW Citrus,Crystal River and NW Citrus,38058.7
Crystal River and NW Citrus,External,3982.91
Crystal River and NW Citrus,Hillsborough  Manatee Spur,86.61
Crystal River and NW Citrus,Homosassa Springs  SW Citrus,9121.03
Crystal River and NW Citrus,Inverness and NE Citrus,3182.19
Crystal River and NW Citrus,Lake Lindsey  N. Central Hernando,60.37
Crystal River and NW Citrus,NW Hernando,231.3
Crystal River and NW Citrus,North Central Citrus,12219.29
Crystal River and NW Citrus,Pasco,242.81
Crystal River and NW Citrus,Pinellas,72.76
Crystal River and NW Citrus,Richloam WMA and E Hernando,4.42
Crystal River and NW Citrus,South Central Hernando,36.56
Crystal River and NW Citrus,South East Citrus,1075.06
Crystal River and NW Citrus,Spring Hill and SW Hernando,438.4
External,Brooksville Area,1601.3
External,Croom WMA  NE Hernando,707.02
External,Crystal River and NW Citrus,3982.91
External,External,0
External,Hillsborough  Manatee Spur,0
External,Homosassa Springs  SW Citrus,2352.86
External,Inverness and NE Citrus,3959.03
External,Lake Lindsey  N. Central Hernando,336.6
External,NW Hernando,324.97
External,North Central Citrus,9953.5
External,Pasco,0
External,Pinellas,0
External,Richloam WMA and E Hernando,1279.68
External,South Central Hernando,628.15
External,South East Citrus,2326.18
External,Spring Hill and SW Hernando,2828.65
Hillsborough  Manatee Spur,Brooksville Area,1129.06
Hillsborough  Manatee Spur,Croom WMA  NE Hernando,342.23
Hillsborough  Manatee Spur,Crystal River and NW Citrus,86.61
Hillsborough  Manatee Spur,External,0
Hillsborough  Manatee Spur,Hillsborough  Manatee Spur,0
Hillsborough  Manatee Spur,Homosassa Springs  SW Citrus,199.41
Hillsborough  Manatee Spur,Inverness and NE Citrus,50.19
Hillsborough  Manatee Spur,Lake Lindsey  N. Central Hernando,216.04
Hillsborough  Manatee Spur,NW Hernando,374.74
Hillsborough  Manatee Spur,North Central Citrus,98.69
Hillsborough  Manatee Spur,Pasco,0
Hillsborough  Manatee Spur,Pinellas,0
Hillsborough  Manatee Spur,Richloam WMA and E Hernando,727.01
Hillsborough  Manatee Spur,South Central Hernando,1670.75
Hillsborough  Manatee Spur,South East Citrus,72.28
Hillsborough  Manatee Spur,Spring Hill and SW Hernando,8045.38
Homosassa Springs  SW Citrus,Brooksville Area,242.76
Homosassa Springs  SW Citrus,Croom WMA  NE Hernando,53.87
Homosassa Springs  SW Citrus,Crystal River and NW Citrus,9121.03
Homosassa Springs  SW Citrus,External,2352.86
Homosassa Springs  SW Citrus,Hillsborough  Manatee Spur,199.41
Homosassa Springs  SW Citrus,Homosassa Springs  SW Citrus,36983.65
Homosassa Springs  SW Citrus,Inverness and NE Citrus,3179.55
Homosassa Springs  SW Citrus,Lake Lindsey  N. Central Hernando,212.89
Homosassa Springs  SW Citrus,NW Hernando,935.23
Homosassa Springs  SW Citrus,North Central Citrus,6602
Homosassa Springs  SW Citrus,Pasco,896.39
Homosassa Springs  SW Citrus,Pinellas,161.97
Homosassa Springs  SW Citrus,Richloam WMA and E Hernando,15.79
Homosassa Springs  SW Citrus,South Central Hernando,125.18
Homosassa Springs  SW Citrus,South East Citrus,919.44
Homosassa Springs  SW Citrus,Spring Hill and SW Hernando,1924.57
Inverness and NE Citrus,Brooksville Area,64.28
Inverness and NE Citrus,Croom WMA  NE Hernando,13.52
Inverness and NE Citrus,Crystal River and NW Citrus,3182.19
Inverness and NE Citrus,External,3959.03
Inverness and NE Citrus,Hillsborough  Manatee Spur,50.19
Inverness and NE Citrus,Homosassa Springs  SW Citrus,3179.55
Inverness and NE Citrus,Inverness and NE Citrus,31104.4
Inverness and NE Citrus,Lake Lindsey  N. Central Hernando,49.46
Inverness and NE Citrus,NW Hernando,44.27
Inverness and NE Citrus,North Central Citrus,13289.4
Inverness and NE Citrus,Pasco,167.73
Inverness and NE Citrus,Pinellas,34.73
Inverness and NE Citrus,Richloam WMA and E Hernando,22.12
Inverness and NE Citrus,South Central Hernando,21.2
Inverness and NE Citrus,South East Citrus,6743.64
Inverness and NE Citrus,Spring Hill and SW Hernando,198.17
Lake Lindsey  N. Central Hernando,Brooksville Area,2210.7
Lake Lindsey  N. Central Hernando,Croom WMA  NE Hernando,310.93
Lake Lindsey  N. Central Hernando,Crystal River and NW Citrus,60.37
Lake Lindsey  N. Central Hernando,External,336.6
Lake Lindsey  N. Central Hernando,Hillsborough  Manatee Spur,216.04
Lake Lindsey  N. Central Hernando,Homosassa Springs  SW Citrus,212.89
Lake Lindsey  N. Central Hernando,Inverness and NE Citrus,49.46
Lake Lindsey  N. Central Hernando,Lake Lindsey  N. Central Hernando,2403.81
Lake Lindsey  N. Central Hernando,NW Hernando,610.67
Lake Lindsey  N. Central Hernando,North Central Citrus,81.28
