FROM,TO,TRIPS
Apollo Beach  Ruskin,Apollo Beach  Ruskin,14864.2206566334
Apollo Beach  Ruskin,CZ2,636.580637633801
Apollo Beach  Ruskin,CZ4,10891.7336490985
Apollo Beach  Ruskin,Citrus Park,2.92918586730957
Apollo Beach  Ruskin,Downtown,500.685020685196
Apollo Beach  Ruskin,East Town,565.495889753103
Apollo Beach  Ruskin,External,1706.90956533141
Apollo Beach  Ruskin,Gibsonton,2759.12904834747
Apollo Beach  Ruskin,Harney Canal,302.176931083202
Apollo Beach  Ruskin,Hernando  Citrus,18.5647488534451
Apollo Beach  Ruskin,MacDill AFB,71.9204207956791
Apollo Beach  Ruskin,Manatee Spur,164.038774266839
Apollo Beach  Ruskin,NE Hilsborough,887.426461875439
Apollo Beach  Ruskin,NW Hilsborough,196.086606815457
Apollo Beach  Ruskin,New Tampa,44.5313174724579
Apollo Beach  Ruskin,Pasco,437.176062449813
Apollo Beach  Ruskin,Pinellas,890.26939940278
Apollo Beach  Ruskin,Plant City Area,36.4908895790577
Apollo Beach  Ruskin,Port of Tampa  50th St Corridor,206.200600743294
Apollo Beach  Ruskin,SE Hillsborough,2663.39262391219
Apollo Beach  Ruskin,SW Hillsborough,199.734329307859
Apollo Beach  Ruskin,TPA  Anderson Rd,85.7468724995852
Apollo Beach  Ruskin,Tampa Central,957.044671356562
Apollo Beach  Ruskin,USF  Hosp  Busch,175.389351352118
Apollo Beach  Ruskin,West Brandon,1110.18593859114
Apollo Beach  Ruskin,Westshore  Rocky Point,111.273671776056
CZ2,Apollo Beach  Ruskin,636.580639779568
CZ2,CZ2,31154.0480571985
CZ2,CZ4,4161.49803186953
CZ2,Citrus Park,9.47718715667725
CZ2,Downtown,539.768186051166
CZ2,East Town,1229.63711369038
CZ2,External,2267.47250295058
CZ2,Gibsonton,11984.7913276255
CZ2,Harney Canal,343.72630739212
CZ2,Hernando  Citrus,61.0672822296619
CZ2,MacDill AFB,172.87029132247
CZ2,Manatee Spur,82.1691116094589
CZ2,NE Hilsborough,2795.78926348389
CZ2,NW Hilsborough,309.01661933212
CZ2,New Tampa,62.9196450561285
CZ2,Pasco,440.196753174067
CZ2,Pinellas,659.61456682533
CZ2,Plant City Area,94.9063772410154
CZ2,Port of Tampa  50th St Corridor,238.550873786211
CZ2,SE Hillsborough,17743.215473989
CZ2,SW Hillsborough,302.88306751661
CZ2,TPA  Anderson Rd,223.274947724771
CZ2,Tampa Central,1431.34732386377
CZ2,USF  Hosp  Busch,436.334803968668
CZ2,West Brandon,1694.16273027658
CZ2,Westshore  Rocky Point,176.147767364979
CZ4,Apollo Beach  Ruskin,10891.7336502906
CZ4,CZ2,4161.49806727469
CZ4,CZ4,89800.6471598148
CZ4,Citrus Park,12.1373192369938
CZ4,Downtown,1685.84003432011
CZ4,East Town,2227.04200681814
CZ4,External,8525.31343885791
CZ4,Gibsonton,16090.0828160048
