FROM,TO,TRIPS
Citrus,Citrus,285043.44
Citrus,Clearwater,52.66
Citrus,External,22574.5
Citrus,Hernando Other,4566.44
Citrus,Hillsborough Other,282.53
Citrus,Manatee Spur,4.42
Citrus,New Port Richey,82.18
Citrus,Pasco Other,1667.41
Citrus,Pinellas Beaches,37.13
Citrus,Pinellas Other,233.7
Citrus,Plant City,8.98
Citrus,Spring Hill,1860.36
Citrus,St Petersburg,80.54
Citrus,Tampa,180.58
Citrus,USF  Hosp  Busch,30.67
Clearwater,Citrus,52.66
Clearwater,Clearwater,233613.47
Clearwater,External,3461.26
Clearwater,Hernando Other,289.23
Clearwater,Hillsborough Other,10928.47
Clearwater,Manatee Spur,78.34
Clearwater,New Port Richey,622.58
Clearwater,Pasco Other,7527.97
Clearwater,Pinellas Beaches,11688.17
Clearwater,Pinellas Other,160188.47
Clearwater,Plant City,124.11
Clearwater,Spring Hill,319.25
Clearwater,St Petersburg,12892.5
Clearwater,Tampa,7790
Clearwater,USF  Hosp  Busch,446.66
External,Citrus,22574.5
External,Clearwater,3461.26
External,External,24324.03
External,Hernando Other,5528.21
External,Hillsborough Other,72639.07
External,Manatee Spur,12254.22
External,New Port Richey,546.09
External,Pasco Other,16895.3
External,Pinellas Beaches,4204.26
External,Pinellas Other,14397.85
External,Plant City,19230.9
External,Spring Hill,2178.16
External,St Petersburg,12494.13
External,Tampa,28232.24
External,USF  Hosp  Busch,4389.83
Hernando Other,Citrus,4566.44
Hernando Other,Clearwater,289.23
Hernando Other,External,5528.21
Hernando Other,Hernando Other,128149.21
Hernando Other,Hillsborough Other,3204.41
Hernando Other,Manatee Spur,6.82
Hernando Other,New Port Richey,435.17
Hernando Other,Pasco Other,20123.75
Hernando Other,Pinellas Beaches,107.54
Hernando Other,Pinellas Other,940.45
Hernando Other,Plant City,128.72
Hernando Other,Spring Hill,47378.42
Hernando Other,St Petersburg,222.11
Hernando Other,Tampa,1723.49
Hernando Other,USF  Hosp  Busch,274.36
Hillsborough Other,Citrus,282.53
Hillsborough Other,Clearwater,10928.47
Hillsborough Other,External,72639.07
Hillsborough Other,Hernando Other,3204.41
Hillsborough Other,Hillsborough Other,2059081.73
Hillsborough Other,Manatee Spur,2446.67
Hillsborough Other,New Port Richey,1393.82
Hillsborough Other,Pasco Other,77113.2
Hillsborough Other,Pinellas Beaches,3548.29
Hillsborough Other,Pinellas Other,42703.6
Hillsborough Other,Plant City,44405.66
Hillsborough Other,Spring Hill,3829.9
Hillsborough Other,St Petersburg,20508.79
Hillsborough Other,Tampa,352181.51
Hillsborough Other,USF  Hosp  Busch,53008.99
Manatee Spur,Citrus,4.42
Manatee Spur,Clearwater,78.34
Manatee Spur,External,12254.22
Manatee Spur,Hernando Other,6.82
Manatee Spur,Hillsborough Other,2446.67
Manatee Spur,Manatee Spur,5343.1
Manatee Spur,New Port Richey,3.87
Manatee Spur,Pasco Other,113.14
Manatee Spur,Pinellas Beaches,49.38
Manatee Spur,Pinellas Other,752.31
Manatee Spur,Plant City,59.93
Manatee Spur,Spring Hill,4.83
Manatee Spur,St Petersburg,1204.31
Manatee Spur,Tampa,481.56
Manatee Spur,USF  Hosp  Busch,68.73
New Port Richey,Citrus,82.18
New Port Richey,Clearwater,622.58
New Port Richey,External,546.09
New Port Richey,Hernando Other,435.17
New Port Richey,Hillsborough Other,1393.82
New Port Richey,Manatee Spur,3.87
New Port Richey,New Port Richey,24992.17
New Port Richey,Pasco Other,39488.85
New Port Richey,Pinellas Beaches,141.75
New Port Richey,Pinellas Other,3403.91
New Port Richey,Plant City,9.05
New Port Richey,Spring Hill,911.58
New Port Richey,St Petersburg,328.87
New Port Richey,Tampa,515.56
New Port Richey,USF  Hosp  Busch,210.55
Pasco Other,Citrus,1667.41
Pasco Other,Clearwater,7527.97
Pasco Other,External,16895.3
Pasco Other,Hernando Other,20123.75
Pasco Other,Hillsborough Other,77113.2
Pasco Other,Manatee Spur,113.14
Pasco Other,New Port Richey,39488.85
Pasco Other,Pasco Other,964279.83
Pasco Other,Pinellas Beaches,1797.04
Pasco Other,Pinellas Other,45119.1
Pasco Other,Plant City,1656.78
Pasco Other,Spring Hill,24060.65
Pasco Other,St Petersburg,6387.78
Pasco Other,Tampa,44898.94
Pasco Other,USF  Hosp  Busch,8160.84
Pinellas Beaches,Citrus,37.13
Pinellas Beaches,Clearwater,11688.17
Pinellas Beaches,External,4204.26
Pinellas Beaches,Hernando Other,107.54
Pinellas Beaches,Hillsborough Other,3548.29
Pinellas Beaches,Manatee Spur,49.38
Pinellas Beaches,New Port Richey,141.75
Pinellas Beaches,Pasco Other,1797.04
Pinellas Beaches,Pinellas Beaches,56335.7
Pinellas Beaches,Pinellas Other,50662.14
