FROM,TO,TRIPS
Citrus,Citrus,0
Citrus,Dade City,48.06
Citrus,E New Port Richey,16.43
Citrus,External,0
Citrus,Hernando,0
Citrus,Hillsborough  Manatee Spur,0
Citrus,Hudson,103.04
Citrus,I-75  SR 52,15.99
Citrus,Lacoochie Ind Area,1.79
Citrus,Land O Lakes  Connerton,51.1
Citrus,NW Pasco,112.56
Citrus,New Port Richey,228.56
Citrus,Pasco Central,347.6
Citrus,Pasco East,137.56
Citrus,Pasco West,483.9
Citrus,Pinellas,0
Citrus,San Antonio,27.67
Citrus,Seven Springs  Odessa,51.26
Citrus,Suncoast  SR 54,17.72
Citrus,Wesley Chapel  I-75 - SR56,38.85
Citrus,Zephyrhills,67.5
Dade City,Citrus,48.06
Dade City,Dade City,25414.27
Dade City,E New Port Richey,33.32
Dade City,External,1099.87
Dade City,Hernando,1949.14
Dade City,Hillsborough  Manatee Spur,1805.37
Dade City,Hudson,21.5
Dade City,I-75  SR 52,271.99
Dade City,Lacoochie Ind Area,490.42
Dade City,Land O Lakes  Connerton,151.66
Dade City,NW Pasco,56.39
Dade City,New Port Richey,123.77
Dade City,Pasco Central,480.75
Dade City,Pasco East,14452
Dade City,Pasco West,115.38
Dade City,Pinellas,197.57
Dade City,San Antonio,1522.82
Dade City,Seven Springs  Odessa,6.44
Dade City,Suncoast  SR 54,8.55
Dade City,Wesley Chapel  I-75 - SR56,702.43
Dade City,Zephyrhills,3170.54
E New Port Richey,Citrus,16.43
E New Port Richey,Dade City,33.32
E New Port Richey,E New Port Richey,1284.05
E New Port Richey,External,58.54
E New Port Richey,Hernando,537.3
E New Port Richey,Hillsborough  Manatee Spur,428.93
E New Port Richey,Hudson,342.14
E New Port Richey,I-75  SR 52,12.12
E New Port Richey,Lacoochie Ind Area,0
E New Port Richey,Land O Lakes  Connerton,72.96
E New Port Richey,NW Pasco,66.49
E New Port Richey,New Port Richey,2785.07
E New Port Richey,Pasco Central,3117.03
E New Port Richey,Pasco East,101.56
E New Port Richey,Pasco West,3640.78
E New Port Richey,Pinellas,657.77
E New Port Richey,San Antonio,23.73
E New Port Richey,Seven Springs  Odessa,512.34
E New Port Richey,Suncoast  SR 54,38.98
E New Port Richey,Wesley Chapel  I-75 - SR56,17.46
E New Port Richey,Zephyrhills,13.24
External,Citrus,0
External,Dade City,1099.87
External,E New Port Richey,58.54
External,External,0
External,Hernando,0
External,Hillsborough  Manatee Spur,0
External,Hudson,149.02
External,I-75  SR 52,236.16
External,Lacoochie Ind Area,52.67
External,Land O Lakes  Connerton,542.83
External,NW Pasco,179.02
External,New Port Richey,1222.3
External,Pasco Central,1802.02
External,Pasco East,4387.93
External,Pasco West,1976.82
External,Pinellas,0
External,San Antonio,508.31
External,Seven Springs  Odessa,686.16
External,Suncoast  SR 54,441.07
External,Wesley Chapel  I-75 - SR56,1743.19
External,Zephyrhills,2355.46
Hernando,Citrus,0
Hernando,Dade City,1949.14
Hernando,E New Port Richey,537.3
Hernando,External,0
Hernando,Hernando,0
Hernando,Hillsborough  Manatee Spur,0
Hernando,Hudson,1693.23
Hernando,I-75  SR 52,407.66
Hernando,Lacoochie Ind Area,331.65
Hernando,Land O Lakes  Connerton,1659.02
Hernando,NW Pasco,3471.63
Hernando,New Port Richey,3682
Hernando,Pasco Central,17049.17
Hernando,Pasco East,4707.81
Hernando,Pasco West,6632.62
Hernando,Pinellas,0
Hernando,San Antonio,333.15
Hernando,Seven Springs  Odessa,977.77
Hernando,Suncoast  SR 54,412.2
Hernando,Wesley Chapel  I-75 - SR56,946.95
Hernando,Zephyrhills,739.84
Hillsborough  Manatee Spur,Citrus,0
Hillsborough  Manatee Spur,Dade City,1805.37
Hillsborough  Manatee Spur,E New Port Richey,428.93
Hillsborough  Manatee Spur,External,0
Hillsborough  Manatee Spur,Hernando,0
Hillsborough  Manatee Spur,Hillsborough  Manatee Spur,0
Hillsborough  Manatee Spur,Hudson,620.2
Hillsborough  Manatee Spur,I-75  SR 52,1593.67
Hillsborough  Manatee Spur,Lacoochie Ind Area,88.35
Hillsborough  Manatee Spur,Land O Lakes  Connerton,17163.77
Hillsborough  Manatee Spur,NW Pasco,557.56
Hillsborough  Manatee Spur,New Port Richey,5352.95
Hillsborough  Manatee Spur,Pasco Central,21113.93
Hillsborough  Manatee Spur,Pasco East,30350.5
Hillsborough  Manatee Spur,Pasco West,11694.76
Hillsborough  Manatee Spur,Pinellas,0
Hillsborough  Manatee Spur,San Antonio,738.48
Hillsborough  Manatee Spur,Seven Springs  Odessa,7930.4
Hillsborough  Manatee Spur,Suncoast  SR 54,6632.99
Hillsborough  Manatee Spur,Wesley Chapel  I-75 - SR56,22200.19
Hillsborough  Manatee Spur,Zephyrhills,5803.68
Hudson,Citrus,103.04
Hudson,Dade City,21.5
Hudson,E New Port Richey,342.14
Hudson,External,149.02
Hudson,Hernando,1693.23
Hudson,Hillsborough  Manatee Spur,620.2
Hudson,Hudson,4431.09
Hudson,I-75  SR 52,15.93
Hudson,Lacoochie Ind Area,0
Hudson,Land O Lakes  Connerton,122.52
Hudson,NW Pasco,983.91
Hudson,New Port Richey,2056.75
Hudson,Pasco Central,3036.23
Hudson,Pasco East,139.04
Hudson,Pasco West,12054.74
Hudson,Pinellas,610.26
Hudson,San Antonio,3.42
Hudson,Seven Springs  Odessa,272.72
Hudson,Suncoast  SR 54,14.51
Hudson,Wesley Chapel  I-75 - SR56,31.9
Hudson,Zephyrhills,10.38
