FROM,TO,TRIPS
Clearwater Dwntwn,Clearwater Dwntwn,8036.74
Clearwater Dwntwn,Clearwater Mall,93.19
Clearwater Dwntwn,Countryside Mall,125.34
Clearwater Dwntwn,Dwntwn USF Albert Whitted Airport,144.45
Clearwater Dwntwn,External,256.47
Clearwater Dwntwn,Gateway Area,187.48
Clearwater Dwntwn,Grand Central Area,2.47
Clearwater Dwntwn,Hernando  Citrus,58.78
Clearwater Dwntwn,Hillsborough,1226.46
Clearwater Dwntwn,Manatee Spur,2.54
Clearwater Dwntwn,Mid-Cnty Ind Area,685.16
Clearwater Dwntwn,Oldsmar Ind Area,84.57
Clearwater Dwntwn,Pasco,606.75
Clearwater Dwntwn,Pinellas Beaches,1904.31
Clearwater Dwntwn,Pinellas Central,7323.43
Clearwater Dwntwn,Pinellas North,788.04
Clearwater Dwntwn,Pinellas North Central,18037.01
Clearwater Dwntwn,Pinellas South,1484.56
Clearwater Dwntwn,St Petersburg Clearwater Area,18.67
Clearwater Dwntwn,Tarpon Springs Area,22.17
Clearwater Dwntwn,Tyrone Square Area,9.62
Clearwater Mall,Clearwater Dwntwn,93.19
Clearwater Mall,Clearwater Mall,243.49
Clearwater Mall,Countryside Mall,25.38
Clearwater Mall,Dwntwn USF Albert Whitted Airport,17.58
Clearwater Mall,External,65.91
Clearwater Mall,Gateway Area,37.08
Clearwater Mall,Grand Central Area,0.88
Clearwater Mall,Hernando  Citrus,3.19
Clearwater Mall,Hillsborough,392.26
Clearwater Mall,Manatee Spur,3.15
Clearwater Mall,Mid-Cnty Ind Area,169.4
Clearwater Mall,Oldsmar Ind Area,19.59
Clearwater Mall,Pasco,117.99
Clearwater Mall,Pinellas Beaches,115.48
Clearwater Mall,Pinellas Central,1283.96
Clearwater Mall,Pinellas North,225.79
Clearwater Mall,Pinellas North Central,3799.05
Clearwater Mall,Pinellas South,270.91
Clearwater Mall,St Petersburg Clearwater Area,4.03
Clearwater Mall,Tarpon Springs Area,1.49
Clearwater Mall,Tyrone Square Area,5.78
Countryside Mall,Clearwater Dwntwn,125.34
Countryside Mall,Clearwater Mall,25.38
Countryside Mall,Countryside Mall,462.58
Countryside Mall,Dwntwn USF Albert Whitted Airport,28.43
Countryside Mall,External,31.86
Countryside Mall,Gateway Area,36.79
Countryside Mall,Grand Central Area,0
Countryside Mall,Hernando  Citrus,11.97
Countryside Mall,Hillsborough,524.53
Countryside Mall,Manatee Spur,0
Countryside Mall,Mid-Cnty Ind Area,177.99
Countryside Mall,Oldsmar Ind Area,131.11
Countryside Mall,Pasco,512.08
Countryside Mall,Pinellas Beaches,132.72
Countryside Mall,Pinellas Central,658.01
Countryside Mall,Pinellas North,1815.43
Countryside Mall,Pinellas North Central,7362.73
Countryside Mall,Pinellas South,272.86
Countryside Mall,St Petersburg Clearwater Area,10.42
Countryside Mall,Tarpon Springs Area,22.76
Countryside Mall,Tyrone Square Area,6.87
Dwntwn USF Albert Whitted Airport,Clearwater Dwntwn,144.45
Dwntwn USF Albert Whitted Airport,Clearwater Mall,17.58
Dwntwn USF Albert Whitted Airport,Countryside Mall,28.43
Dwntwn USF Albert Whitted Airport,Dwntwn USF Albert Whitted Airport,26319.37
Dwntwn USF Albert Whitted Airport,External,2671.4
Dwntwn USF Albert Whitted Airport,Gateway Area,1235.82
Dwntwn USF Albert Whitted Airport,Grand Central Area,1265.98
Dwntwn USF Albert Whitted Airport,Hernando  Citrus,188.39
Dwntwn USF Albert Whitted Airport,Hillsborough,8546.17
Dwntwn USF Albert Whitted Airport,Manatee Spur,360.18
Dwntwn USF Albert Whitted Airport,Mid-Cnty Ind Area,1976.38
Dwntwn USF Albert Whitted Airport,Oldsmar Ind Area,41.31
Dwntwn USF Albert Whitted Airport,Pasco,1435.95
Dwntwn USF Albert Whitted Airport,Pinellas Beaches,2177.41
Dwntwn USF Albert Whitted Airport,Pinellas Central,4839.2
Dwntwn USF Albert Whitted Airport,Pinellas North,888.98
Dwntwn USF Albert Whitted Airport,Pinellas North Central,2937.28
Dwntwn USF Albert Whitted Airport,Pinellas South,57153.47
Dwntwn USF Albert Whitted Airport,St Petersburg Clearwater Area,51.15
Dwntwn USF Albert Whitted Airport,Tarpon Springs Area,0.68
Dwntwn USF Albert Whitted Airport,Tyrone Square Area,517.07
External,Clearwater Dwntwn,256.47
External,Clearwater Mall,65.91
External,Countryside Mall,31.86
External,Dwntwn USF Albert Whitted Airport,2671.4
External,External,0
External,Gateway Area,844
External,Grand Central Area,59.71
External,Hernando  Citrus,0
External,Hillsborough,0
External,Manatee Spur,0
External,Mid-Cnty Ind Area,1790.92
External,Oldsmar Ind Area,169.38
External,Pasco,0
External,Pinellas Beaches,4204.26
External,Pinellas Central,4563.4
External,Pinellas North,2116.88
External,Pinellas North Central,4817.32
External,Pinellas South,12425.32
External,St Petersburg Clearwater Area,236.91
External,Tarpon Springs Area,136.35
External,Tyrone Square Area,167.41
Gateway Area,Clearwater Dwntwn,187.48
Gateway Area,Clearwater Mall,37.08
Gateway Area,Countryside Mall,36.79
Gateway Area,Dwntwn USF Albert Whitted Airport,1235.82
Gateway Area,External,844
Gateway Area,Gateway Area,6695.38
Gateway Area,Grand Central Area,75.67
Gateway Area,Hernando  Citrus,49.99
Gateway Area,Hillsborough,4002.15
Gateway Area,Manatee Spur,96.5
Gateway Area,Mid-Cnty Ind Area,3004.29
Gateway Area,Oldsmar Ind Area,139.59
Gateway Area,Pasco,1135.13
Gateway Area,Pinellas Beaches,543.85
Gateway Area,Pinellas Central,6220.74
Gateway Area,Pinellas North,886.65
Gateway Area,Pinellas North Central,3751.35
Gateway Area,Pinellas South,20582.67
Gateway Area,St Petersburg Clearwater Area,105.58
Gateway Area,Tarpon Springs Area,3.76
Gateway Area,Tyrone Square Area,174.67
Grand Central Area,Clearwater Dwntwn,2.47
Grand Central Area,Clearwater Mall,0.88
Grand Central Area,Countryside Mall,0
Grand Central Area,Dwntwn USF Albert Whitted Airport,1265.98
Grand Central Area,External,59.71
Grand Central Area,Gateway Area,75.67
Grand Central Area,Grand Central Area,173.59
Grand Central Area,Hernando  Citrus,0.33
Grand Central Area,Hillsborough,128.39
Grand Central Area,Manatee Spur,0
Grand Central Area,Mid-Cnty Ind Area,124.68
Grand Central Area,Oldsmar Ind Area,3.24
Grand Central Area,Pasco,12.88
Grand Central Area,Pinellas Beaches,202.72
Grand Central Area,Pinellas Central,131.23
Grand Central Area,Pinellas North,7.86
Grand Central Area,Pinellas North Central,48.89
Grand Central Area,Pinellas South,6098.36
Grand Central Area,St Petersburg Clearwater Area,0
Grand Central Area,Tarpon Springs Area,0.63
Grand Central Area,Tyrone Square Area,63.78
Hernando  Citrus,Clearwater Dwntwn,58.78
Hernando  Citrus,Clearwater Mall,3.19
Hernando  Citrus,Countryside Mall,11.97
Hernando  Citrus,Dwntwn USF Albert Whitted Airport,188.39
Hernando  Citrus,External,0
Hernando  Citrus,Gateway Area,49.99
Hernando  Citrus,Grand Central Area,0.33
Hernando  Citrus,Hernando  Citrus,0
Hernando  Citrus,Hillsborough,0
Hernando  Citrus,Manatee Spur,0
Hernando  Citrus,Mid-Cnty Ind Area,269.05
Hernando  Citrus,Oldsmar Ind Area,209.02
Hernando  Citrus,Pasco,0
Hernando  Citrus,Pinellas Beaches,296.39
Hernando  Citrus,Pinellas Central,501.39
Hernando  Citrus,Pinellas North,897.09
Hernando  Citrus,Pinellas North Central,1050.1
Hernando  Citrus,Pinellas South,698.74
Hernando  Citrus,St Petersburg Clearwater Area,46.37
Hernando  Citrus,Tarpon Springs Area,82.19
Hernando  Citrus,Tyrone Square Area,5.02
Hillsborough,Clearwater Dwntwn,1226.46
Hillsborough,Clearwater Mall,392.26
Hillsborough,Countryside Mall,524.53
Hillsborough,Dwntwn USF Albert Whitted Airport,8546.17
Hillsborough,External,0
Hillsborough,Gateway Area,4002.15
Hillsborough,Grand Central Area,128.39
Hillsborough,Hernando  Citrus,0
Hillsborough,Hillsborough,0
Hillsborough,Manatee Spur,0
Hillsborough,Mid-Cnty Ind Area,7549.18
Hillsborough,Oldsmar Ind Area,5858.99
Hillsborough,Pasco,0
Hillsborough,Pinellas Beaches,7870.71
Hillsborough,Pinellas Central,16949.98
Hillsborough,Pinellas North,14038.46
Hillsborough,Pinellas North Central,32733.47
Hillsborough,Pinellas South,46578.37
Hillsborough,St Petersburg Clearwater Area,566.9
Hillsborough,Tarpon Springs Area,305.21
Hillsborough,Tyrone Square Area,498.74
Manatee Spur,Clearwater Dwntwn,2.54
Manatee Spur,Clearwater Mall,3.15
Manatee Spur,Countryside Mall,0
Manatee Spur,Dwntwn USF Albert Whitted Airport,360.18
Manatee Spur,External,0
Manatee Spur,Gateway Area,96.5
Manatee Spur,Grand Central Area,0
Manatee Spur,Hernando  Citrus,0
Manatee Spur,Hillsborough,0
Manatee Spur,Manatee Spur,0
Manatee Spur,Mid-Cnty Ind Area,140.89
Manatee Spur,Oldsmar Ind Area,0
Manatee Spur,Pasco,0
Manatee Spur,Pinellas Beaches,49.38
Manatee Spur,Pinellas Central,177.73
Manatee Spur,Pinellas North,29.38
Manatee Spur,Pinellas North Central,105.23
Manatee Spur,Pinellas South,1024.77
Manatee Spur,St Petersburg Clearwater Area,86.12
Manatee Spur,Tarpon Springs Area,1.02
Manatee Spur,Tyrone Square Area,7.46
Mid-Cnty Ind Area,Clearwater Dwntwn,685.16
Mid-Cnty Ind Area,Clearwater Mall,169.4
Mid-Cnty Ind Area,Countryside Mall,177.99
Mid-Cnty Ind Area,Dwntwn USF Albert Whitted Airport,1976.38
Mid-Cnty Ind Area,External,1790.92
Mid-Cnty Ind Area,Gateway Area,3004.29
Mid-Cnty Ind Area,Grand Central Area,124.68
Mid-Cnty Ind Area,Hernando  Citrus,269.05
Mid-Cnty Ind Area,Hillsborough,7549.18
Mid-Cnty Ind Area,Manatee Spur,140.89
Mid-Cnty Ind Area,Mid-Cnty Ind Area,32456.22
Mid-Cnty Ind Area,Oldsmar Ind Area,240.02
Mid-Cnty Ind Area,Pasco,2959.32
Mid-Cnty Ind Area,Pinellas Beaches,2212.43
Mid-Cnty Ind Area,Pinellas Central,45877.51
Mid-Cnty Ind Area,Pinellas North,3294.51
Mid-Cnty Ind Area,Pinellas North Central,13932.66
Mid-Cnty Ind Area,Pinellas South,33871.1
Mid-Cnty Ind Area,St Petersburg Clearwater Area,708.33
Mid-Cnty Ind Area,Tarpon Springs Area,32.8
Mid-Cnty Ind Area,Tyrone Square Area,269.13
Oldsmar Ind Area,Clearwater Dwntwn,84.57
Oldsmar Ind Area,Clearwater Mall,19.59
Oldsmar Ind Area,Countryside Mall,131.11
Oldsmar Ind Area,Dwntwn USF Albert Whitted Airport,41.31
Oldsmar Ind Area,External,169.38
Oldsmar Ind Area,Gateway Area,139.59
Oldsmar Ind Area,Grand Central Area,3.24
Oldsmar Ind Area,Hernando  Citrus,209.02
Oldsmar Ind Area,Hillsborough,5858.99
Oldsmar Ind Area,Manatee Spur,0
Oldsmar Ind Area,Mid-Cnty Ind Area,240.02
Oldsmar Ind Area,Oldsmar Ind Area,1977.08
Oldsmar Ind Area,Pasco,1838.59
Oldsmar Ind Area,Pinellas Beaches,53.46
Oldsmar Ind Area,Pinellas Central,618.81
Oldsmar Ind Area,Pinellas North,2118.43
Oldsmar Ind Area,Pinellas North Central,7081
Oldsmar Ind Area,Pinellas South,587.66
Oldsmar Ind Area,St Petersburg Clearwater Area,1.18
Oldsmar Ind Area,Tarpon Springs Area,7.62
Oldsmar Ind Area,Tyrone Square Area,0
Pasco,Clearwater Dwntwn,606.75
Pasco,Clearwater Mall,117.99
Pasco,Countryside Mall,512.08
Pasco,Dwntwn USF Albert Whitted Airport,1435.95
Pasco,External,0
Pasco,Gateway Area,1135.13
Pasco,Grand Central Area,12.88
Pasco,Hernando  Citrus,0
Pasco,Hillsborough,0
Pasco,Manatee Spur,0
Pasco,Mid-Cnty Ind Area,2959.32
Pasco,Oldsmar Ind Area,1838.59
Pasco,Pasco,0
Pasco,Pinellas Beaches,1938.79
Pasco,Pinellas Central,4763.37
Pasco,Pinellas North,27767.51
Pasco,Pinellas North Central,13863.56
Pasco,Pinellas South,5999.21
Pasco,St Petersburg Clearwater Area,260.16
Pasco,Tarpon Springs Area,2059.07
Pasco,Tyrone Square Area,58.66
Pinellas Beaches,Clearwater Dwntwn,1904.31
Pinellas Beaches,Clearwater Mall,115.48
Pinellas Beaches,Countryside Mall,132.72
Pinellas Beaches,Dwntwn USF Albert Whitted Airport,2177.41
Pinellas Beaches,External,4204.26
Pinellas Beaches,Gateway Area,543.85
Pinellas Beaches,Grand Central Area,202.72
Pinellas Beaches,Hernando  Citrus,296.39
Pinellas Beaches,Hillsborough,7870.71
Pinellas Beaches,Manatee Spur,49.38
Pinellas Beaches,Mid-Cnty Ind Area,2212.43
Pinellas Beaches,Oldsmar Ind Area,53.46
Pinellas Beaches,Pasco,1938.79
Pinellas Beaches,Pinellas Beaches,56335.7
Pinellas Beaches,Pinellas Central,28766.33
Pinellas Beaches,Pinellas North,1718.73
Pinellas Beaches,Pinellas North Central,11978.8
Pinellas Beaches,Pinellas South,28977.15
Pinellas Beaches,St Petersburg Clearwater Area,146.46
Pinellas Beaches,Tarpon Springs Area,95.59
Pinellas Beaches,Tyrone Square Area,987.31
Pinellas Central,Clearwater Dwntwn,7323.43
Pinellas Central,Clearwater Mall,1283.96
Pinellas Central,Countryside Mall,658.01
Pinellas Central,Dwntwn USF Albert Whitted Airport,4839.2
Pinellas Central,External,4563.4
Pinellas Central,Gateway Area,6220.74
Pinellas Central,Grand Central Area,131.23
Pinellas Central,Hernando  Citrus,501.39
Pinellas Central,Hillsborough,16949.98
Pinellas Central,Manatee Spur,177.73
Pinellas Central,Mid-Cnty Ind Area,45877.51
Pinellas Central,Oldsmar Ind Area,618.81
Pinellas Central,Pasco,4763.37
Pinellas Central,Pinellas Beaches,28766.33
Pinellas Central,Pinellas Central,348604.84
Pinellas Central,Pinellas North,6480.36
Pinellas Central,Pinellas North Central,55942.23
Pinellas Central,Pinellas South,66432.39
Pinellas Central,St Petersburg Clearwater Area,1158.71
Pinellas Central,Tarpon Springs Area,140.4
Pinellas Central,Tyrone Square Area,2699.84
Pinellas North,Clearwater Dwntwn,788.04
Pinellas North,Clearwater Mall,225.79
Pinellas North,Countryside Mall,1815.43
Pinellas North,Dwntwn USF Albert Whitted Airport,888.98
Pinellas North,External,2116.88
Pinellas North,Gateway Area,886.65
Pinellas North,Grand Central Area,7.86
Pinellas North,Hernando  Citrus,897.09
Pinellas North,Hillsborough,14038.46
Pinellas North,Manatee Spur,29.38
Pinellas North,Mid-Cnty Ind Area,3294.51
Pinellas North,Oldsmar Ind Area,2118.43
Pinellas North,Pasco,27767.51
Pinellas North,Pinellas Beaches,1718.73
Pinellas North,Pinellas Central,6480.36
Pinellas North,Pinellas North,163993.36
Pinellas North,Pinellas North Central,49634.81
Pinellas North,Pinellas South,3878.17
Pinellas North,St Petersburg Clearwater Area,157.38
Pinellas North,Tarpon Springs Area,4456.49
Pinellas North,Tyrone Square Area,129.24
Pinellas North Central,Clearwater Dwntwn,18037.01
Pinellas North Central,Clearwater Mall,3799.05
Pinellas North Central,Countryside Mall,7362.73
Pinellas North Central,Dwntwn USF Albert Whitted Airport,2937.28
Pinellas North Central,External,4817.32
Pinellas North Central,Gateway Area,3751.35
Pinellas North Central,Grand Central Area,48.89
Pinellas North Central,Hernando  Citrus,1050.1
Pinellas North Central,Hillsborough,32733.47
Pinellas North Central,Manatee Spur,105.23
Pinellas North Central,Mid-Cnty Ind Area,13932.66
Pinellas North Central,Oldsmar Ind Area,7081
Pinellas North Central,Pasco,13863.56
Pinellas North Central,Pinellas Beaches,11978.8
Pinellas North Central,Pinellas Central,55942.23
Pinellas North Central,Pinellas North,49634.81
Pinellas North Central,Pinellas North Central,384910.63
Pinellas North Central,Pinellas South,18171.18
Pinellas North Central,St Petersburg Clearwater Area,567.37
Pinellas North Central,Tarpon Springs Area,525.39
Pinellas North Central,Tyrone Square Area,272.91
Pinellas South,Clearwater Dwntwn,1484.56
Pinellas South,Clearwater Mall,270.91
