FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
NW Hilsborough,NW Hilsborough,445266.06,13335.17
NE Hilsborough,NW Hilsborough,8702.38,236.51
Tampa Central,NW Hilsborough,93272.54,2504.01
Citrus Park,NW Hilsborough,13557.04,357.21
TPA  Anderson Rd,NW Hilsborough,52059.19,1537.66
USF  Hosp  Busch,NW Hilsborough,9245.69,314.33
Harney Canal,NW Hilsborough,1545.69,40.94
Westshore  Rocky Point,NW Hilsborough,17884.4,819.08
SW Hillsborough,NW Hilsborough,10232.21,250.34
East Town,NW Hilsborough,4007,111.44
Downtown,NW Hilsborough,10188.09,360.47
Port of Tampa  50th St Corridor,NW Hilsborough,845.78,24.22
West Brandon,NW Hilsborough,1479.26,67.77
SE Hillsborough,NW Hilsborough,2895.38,61.54
Gibsonton,NW Hilsborough,787.46,20.31
CZ2,NW Hilsborough,301.98,7.04
CZ4,NW Hilsborough,708.89,31.02
Apollo Beach  Ruskin,NW Hilsborough,189.99,6.1
Pinellas,NW Hilsborough,42031.29,1644.83
Pasco,NW Hilsborough,39448.19,1120.82
Hernando  Citrus,NW Hilsborough,3343.8,91.19
External,NW Hilsborough,4159.85,3353.6
New Tampa,NW Hilsborough,716.04,26.47
MacDill AFB,NW Hilsborough,652.43,19.31
Plant City Area,NW Hilsborough,165.31,24.18
Manatee Spur,NW Hilsborough,167.94,16.62
NW Hilsborough,NE Hilsborough,8695.45,243.44
NE Hilsborough,NE Hilsborough,272043.71,10981.06
Tampa Central,NE Hilsborough,32586.39,1209.16
Citrus Park,NE Hilsborough,207.73,3.38
TPA  Anderson Rd,NE Hilsborough,2510.35,134.04
USF  Hosp  Busch,NE Hilsborough,5233.29,284.95
Harney Canal,NE Hilsborough,6762.9,175.97
New Tampa,NE Hilsborough,2062.53,68.05
East Town,NE Hilsborough,19545,717.15
Plant City Area,NE Hilsborough,27739.91,1368.86
Westshore  Rocky Point,NE Hilsborough,2215.24,149.65
SW Hillsborough,NE Hilsborough,2629.11,76.39
MacDill AFB,NE Hilsborough,241.24,10.38
Downtown,NE Hilsborough,6962.87,407.3
Port of Tampa  50th St Corridor,NE Hilsborough,1481.41,37.84
West Brandon,NE Hilsborough,11588.39,528.98
SE Hillsborough,NE Hilsborough,47403.8,1658.23
CZ2,NE Hilsborough,2695.76,100.03
Gibsonton,NE Hilsborough,3327.66,129.84
CZ4,NE Hilsborough,2970.11,134.91
Pinellas,NE Hilsborough,5638.61,517.91
Pasco,NE Hilsborough,18235.62,737.43
Hernando  Citrus,NE Hilsborough,882.55,49.64
