FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
Hillsborough Other,Hillsborough Other,1986436.05357947,72645.6793506742
Tampa,Hillsborough Other,340847.196017966,11334.318054691
USF  Hosp  Busch,Hillsborough Other,50769.0863842054,2239.90546137094
Pinellas Other,Hillsborough Other,41044.5810277927,1659.01855075359
Clearwater,Hillsborough Other,10474.4297953037,454.037569135428
Pinellas_Beaches,Hillsborough Other,3103.49673193553,444.797608435154
St_Petersburg,Hillsborough Other,19769.213974054,739.573078110814
Pasco Other,Hillsborough Other,74873.5282352541,2239.67384797335
New_Port_Richey,Hillsborough Other,1338.9876448072,54.8360420763493
Hernando Other,Hillsborough Other,3084.11414909281,120.295822709799
Spring_Hill,Hillsborough Other,3753.54661098079,76.3579507768154
Citrus,Hillsborough Other,270.704000813057,11.8262522816658
External,Hillsborough Other,36679.2255264748,35959.8402110118
Plant City,Hillsborough Other,42659.3413185827,1746.32275308669
Manatee Spur,Hillsborough Other,2096.54571831273,350.121455281973
Hillsborough Other,Tampa,340869.555886126,11311.9582735449
Tampa,Tampa,1094044.11731556,56728.6791866422
USF  Hosp  Busch,Tampa,29321.6065336948,2095.22802363336
Plant City,Tampa,3834.79996632837,276.457877889276
Pinellas Other,Tampa,25834.8613834405,1669.99866899848
Clearwater,Tampa,7256.25904708335,533.741915255785
Pinellas_Beaches,Tampa,2601.22660620767,1370.2826295495
St_Petersburg,Tampa,24156.6622609743,1799.28626766801
Pasco Other,Tampa,43303.2775645305,1595.65921473503
New_Port_Richey,Tampa,482.385313868523,33.1706332564354
Hernando Other,Tampa,1598.32860218151,125.160456955433
Spring_Hill,Tampa,2636.83727204066,103.140723139048
Citrus,Tampa,167.178023170447,13.4004793465137
External,Tampa,9507.13651116041,18725.1034900723
Manatee Spur,Tampa,382.862436130643,98.6961398720741
Hillsborough Other,USF  Hosp  Busch,50988.156878309,2020.83536177874
Tampa,USF  Hosp  Busch,29417.7956791723,1999.0388635844
USF  Hosp  Busch,USF  Hosp  Busch,47542.8627450466,5191.05789905787
Plant City,USF  Hosp  Busch,258.181627228856,31.7137560844421
Pinellas Other,USF  Hosp  Busch,1593.57114794038,95.606721997261
Clearwater,USF  Hosp  Busch,415.235499203205,31.4215794205666
Pinellas_Beaches,USF  Hosp  Busch,106.399348671563,82.6024931073189
St_Petersburg,USF  Hosp  Busch,1155.53845601943,82.3046046495438
Pasco Other,USF  Hosp  Busch,7910.58598816328,250.252188026905
New_Port_Richey,USF  Hosp  Busch,206.756441414356,3.79723125696182
Hernando Other,USF  Hosp  Busch,262.156946778297,12.2006371021271
Spring_Hill,USF  Hosp  Busch,470.949773564935,9.68432348966599
Citrus,USF  Hosp  Busch,27.1689072772861,3.50308528542519
Manatee Spur,USF  Hosp  Busch,63.1635529398918,5.56188482046127
External,USF  Hosp  Busch,859.397545331391,3530.43548591877
Tampa,Plant City,3826.84416454291,284.413663610816
Hillsborough Other,Plant City,42552.5157680862,1853.14851769805
USF  Hosp  Busch,Plant City,266.250917926431,23.6444658637047
Plant City,Plant City,112113.015147299,6482.92079304159
