FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
NW Pasco,Hillsborough  Manatee Spur,521.385941654444,36.1696456372738
Pasco West,Hillsborough  Manatee Spur,11339.1773027797,355.578311800957
Hudson,Hillsborough  Manatee Spur,577.273951880634,42.9303433895111
New Port Richey,Hillsborough  Manatee Spur,5216.42052001847,136.53042703867
Seven Springs  Odessa,Hillsborough  Manatee Spur,7605.67163844338,324.729940101504
Pasco Central,Hillsborough  Manatee Spur,20485.5799856933,628.354455307126
Land O Lakes  Connerton,Hillsborough  Manatee Spur,16697.0642951007,466.709221869707
Suncoast  SR 54,Hillsborough  Manatee Spur,6433.87100100819,199.115019112825
Pasco East,Hillsborough  Manatee Spur,29561.8481858952,788.651072874665
Wesley Chapel  I-75 - SR56,Hillsborough  Manatee Spur,21317.6499787159,882.543478012085
Dade City,Hillsborough  Manatee Spur,1747.31676007182,58.0507659912109
Zephyrhills,Hillsborough  Manatee Spur,5564.65563370414,239.028257638216
E New Port Richey,Hillsborough  Manatee Spur,411.542715918506,17.3888839483261
San Antonio,Hillsborough  Manatee Spur,670.591568417614,67.88694024086
I-75  SR 52,Hillsborough  Manatee Spur,1545.36950699985,48.30127581954
Lacoochie Ind Area,Hillsborough  Manatee Spur,86.0956375189126,2.25865936279297
NW Pasco,Pinellas,464.339686200023,4.72531270980835
Pasco West,Pinellas,29161.4785070818,833.536864668131
Hudson,Pinellas,583.814732112456,26.4411731958389
New Port Richey,Pinellas,10005.8661633601,224.82182314992
E New Port Richey,Pinellas,638.466351192095,19.3053147792816
Seven Springs  Odessa,Pinellas,10569.9638332173,387.728294253349
Pasco Central,Pinellas,5350.55800522023,165.707999259233
I-75  SR 52,Pinellas,178.523392796516,16.7717230618
Suncoast  SR 54,Pinellas,905.530265875161,50.034093439579
Land O Lakes  Connerton,Pinellas,1053.96002336519,48.6412405073643
Pasco East,Pinellas,2203.37393524346,126.395722389221
Wesley Chapel  I-75 - SR56,Pinellas,1227.29855026933,134.673597097397
Zephyrhills,Pinellas,576.763530692784,32.9259079098702
Dade City,Pinellas,188.060232985765,9.50952768325806
Lacoochie Ind Area,Pinellas,8.55283352732658,0
San Antonio,Pinellas,114.91378697753,16.32192248106
Hillsborough  Manatee Spur,NW Pasco,526.110905468464,31.4446793496609
Pinellas,NW Pasco,467.082211777568,1.98278427124023
NW Pasco,NW Pasco,5335.3169760704,112.406997919083
Pasco West,NW Pasco,4013.72146910429,87.9694560170174
Hudson,NW Pasco,958.918339550495,24.987673997879
New Port Richey,NW Pasco,1077.21087129414,7.22381091117859
E New Port Richey,NW Pasco,65.4018433988094,1.08858191967011
Seven Springs  Odessa,NW Pasco,142.774255633354,3.99978804588318
Pasco Central,NW Pasco,1744.37033739686,42.5286877155304
Land O Lakes  Connerton,NW Pasco,105.396589934826,1.58416676521301
Pasco East,NW Pasco,126.09405618906,2.90155434608459
Suncoast  SR 54,NW Pasco,22.2372694611549,5.0310589671135
I-75  SR 52,NW Pasco,23.1818886995316,0
Wesley Chapel  I-75 - SR56,NW Pasco,68.8740906715393,3.32847809791565
Dade City,NW Pasco,56.3930519223213,0
Zephyrhills,NW Pasco,26.9614719748497,0
Hernando,NW Pasco,3388.2454218067,83.3839173316956
Citrus,NW Pasco,108.80288143456,3.75529801845551
External,NW Pasco,100.182030244148,78.8355731025513
Hillsborough  Manatee Spur,Pasco West,11352.815329058,341.940280020237
Pinellas,Pasco West,29194.0628346901,800.952428996563
NW Pasco,Pasco West,4002.4096159339,99.2812811732292
Pasco West,Pasco West,135753.993830799,3960.52098023891
Hudson,Pasco West,11610.3041285258,444.435666024685
New Port Richey,Pasco West,44180.9607475456,1204.02807247639
E New Port Richey,Pasco West,3556.64559949935,84.1362668275833
Seven Springs  Odessa,Pasco West,16543.0283434219,521.302348256111
Pasco Central,Pasco West,17741.7621137826,438.844098508358
I-75  SR 52,Pasco West,143.703481912613,4.16922879219055
Land O Lakes  Connerton,Pasco West,1004.04623429896,19.8382363319397
Pasco East,Pasco West,794.172573894262,50.0826045274735
Suncoast  SR 54,Pasco West,571.345027551055,5.54677787423134
Wesley Chapel  I-75 - SR56,Pasco West,554.891435831087,21.0697191059589
Zephyrhills,Pasco West,141.408870667219,6.82599949836731
Hernando,Pasco West,6420.08351997932,212.538855552673
Citrus,Pasco West,462.311365041882,21.5874597132206
External,Pasco West,1129.62856101275,847.194452567739
San Antonio,NW Pasco,13.1219434738159,0
Dade City,Pasco West,107.590580135584,7.79221558570862
San Antonio,Pasco West,86.232903778553,15.3831351399422
Hillsborough  Manatee Spur,Hudson,580.860199145973,39.3440940380096
Pinellas,Hudson,585.902113534976,24.3537928462029
NW Pasco,Hudson,966.942250788212,16.9637494087219
Pasco West,Hudson,11582.8213284593,471.918679118156
Hudson,Hudson,4333.57588386536,97.5121966600418
New Port Richey,Hudson,2013.93091112375,42.8187467455864
E New Port Richey,Hudson,337.831664204598,4.30475354194641
Seven Springs  Odessa,Hudson,268.228720277548,4.48760271072388
Pasco Central,Hudson,2980.66900359094,55.5644012093544
Land O Lakes  Connerton,Hudson,121.96833819896,0.548071622848511
I-75  SR 52,Hudson,9.38706958293915,6.54550206661224
Suncoast  SR 54,Hudson,12.5163298249245,1.99551570415497
San Antonio,Hudson,3.42266798019409,0
Pasco East,Hudson,137.356983870268,1.68287253379822
Wesley Chapel  I-75 - SR56,Hudson,30.3501537442207,1.55462121963501
Hernando,Hudson,1638.43563612236,54.7945792675018
Citrus,Hudson,101.70885232091,1.33055129647255
External,Hudson,73.999354301719,75.0229616496363
Dade City,Hudson,21.4964045286179,0
Zephyrhills,Hudson,8.97139310836792,1.40523970127106
Lacoochie Ind Area,Pasco West,9.84273910522461,0
Hillsborough  Manatee Spur,New Port Richey,5221.05910466195,131.891840040684
Pinellas,New Port Richey,10004.6910601087,225.996943622828
NW Pasco,New Port Richey,1077.02445264161,7.41024994850159
Pasco West,New Port Richey,44185.7396288407,1199.24901604652
Hudson,New Port Richey,2023.16104274988,33.5885932445526
New Port Richey,New Port Richey,93849.4563498497,1854.11927908659
E New Port Richey,New Port Richey,2711.02634966373,74.0402083396912
Seven Springs  Odessa,New Port Richey,6757.71848089062,224.362384438515
Pasco Central,New Port Richey,7851.64487534051,158.980289041996
Land O Lakes  Connerton,New Port Richey,598.053192678839,7.45564424991608
Pasco East,New Port Richey,439.491733342409,12.1242028474808
Suncoast  SR 54,New Port Richey,357.11383588153,6.41582995653153
I-75  SR 52,New Port Richey,64.5849127657712,2.67401552200317
Wesley Chapel  I-75 - SR56,New Port Richey,197.934102279134,8.10934036970139
Dade City,New Port Richey,122.432320982218,1.33553171157837
Zephyrhills,New Port Richey,58.3033659160137,1.79183399677277
Hernando,New Port Richey,3617.68841864663,64.3103549480438
Citrus,New Port Richey,214.997460663319,13.5652896761894
External,New Port Richey,706.236549774054,516.06671946212
San Antonio,New Port Richey,40.9565135836601,6.87478244304657
Lacoochie Ind Area,New Port Richey,2.72945785522461,0
