ZONE,COUNTY,MODE,TRIPS
4,Hillsborough County,AUTO,301.83
6,Hillsborough County,AUTO,22.73
8,Hillsborough County,AUTO,2143.91
9,Hillsborough County,AUTO,303.22
13,Hillsborough County,AUTO,354.66
34,Hillsborough County,AUTO,196.57
37,Hillsborough County,AUTO,66.76
39,Hillsborough County,AUTO,160.13
41,Hillsborough County,AUTO,94.08
42,Hillsborough County,AUTO,80.06
44,Hillsborough County,AUTO,102.16
59,Hillsborough County,AUTO,1948.24
62,Hillsborough County,AUTO,129.24
62,Hillsborough County,BIKE,98.3
63,Hillsborough County,AUTO,207.64
64,Hillsborough County,WALK,196.61
65,Hillsborough County,OTHER,98.3
69,Hillsborough County,AUTO,58.6
72,Hillsborough County,AUTO,2283.72
74,Hillsborough County,AUTO,103.82
77,Hillsborough County,AUTO,1407.02
78,Hillsborough County,AUTO,178.16
78,Hillsborough County,SHUTTLE VANPOOL,22.97
93,Hillsborough County,AUTO,255.97
97,Hillsborough County,AUTO,396.98
111,Hillsborough County,AUTO,84.69
113,Hillsborough County,AUTO,237.02
114,Hillsborough County,AUTO,5997.64
128,Hillsborough County,TRANSIT,3522.98
129,Hillsborough County,AUTO,104.13
133,Hillsborough County,AUTO,871.52
138,Hillsborough County,AUTO,937.11
141,Hillsborough County,TNC,97.91
141,Hillsborough County,TRANSIT,98.47
142,Hillsborough County,TNC,99.31
154,Hillsborough County,AUTO,26.71
155,Hillsborough County,AUTO,120.03
156,Hillsborough County,AUTO,106.17
161,Hillsborough County,AUTO,39.73
165,Hillsborough County,AUTO,1187.74
168,Hillsborough County,AUTO,15.68
170,Hillsborough County,AUTO,139.23
173,Hillsborough County,AUTO,2765.12
173,Hillsborough County,SCHOOL BUS,3785.84
175,Hillsborough County,AUTO,79.46
178,Hillsborough County,AUTO,158.92
179,Hillsborough County,AUTO,18.28
179,Hillsborough County,WALK,2353.2
180,Hillsborough County,WALK,53.33
181,Hillsborough County,AUTO,8492.24
181,Hillsborough County,WALK,2353.2
183,Hillsborough County,AUTO,304.31
183,Hillsborough County,WALK,106.99
184,Hillsborough County,AUTO,218.76
184,Hillsborough County,BIKE,122.28
184,Hillsborough County,WALK,41.92
185,Hillsborough County,AUTO,6.21
186,Hillsborough County,WALK,3864.75
190,Hillsborough County,AUTO,139.2
194,Hillsborough County,AUTO,4006.6
194,Hillsborough County,WALK,4006.6
200,Hillsborough County,AUTO,15.68
201,Hillsborough County,AUTO,79.46
201,Hillsborough County,TRANSIT,3522.98
201,Hillsborough County,WALK,3864.75
205,Hillsborough County,AUTO,39.73
206,Hillsborough County,AUTO,39.73
207,Hillsborough County,AUTO,119.19
209,Hillsborough County,AUTO,102.88
210,Hillsborough County,AUTO,6690.22
211,Hillsborough County,AUTO,2353.2
217,Hillsborough County,AUTO,39.73
218,Hillsborough County,AUTO,26.41
