ZONE,COUNTY,MODE,TRIPS
1,Hillsborough County,AUTO,7218.93
2,Hillsborough County,AUTO,3668.05
2,Hillsborough County,BIKE,1620.59
3,Hillsborough County,AUTO,40966.39
3,Hillsborough County,SCHOOL BUS,6977.01
3,Hillsborough County,TRANSIT,243.69
4,Hillsborough County,AUTO,2595.41
4,Hillsborough County,BIKE,182.38
5,Hillsborough County,AUTO,3562.97
6,Hillsborough County,AUTO,527.96
7,Hillsborough County,AUTO,4386.72
8,Hillsborough County,AUTO,5167.54
9,Hillsborough County,AUTO,2291.15
10,Hillsborough County,AUTO,321.48
11,Hillsborough County,AUTO,9992.52
11,Hillsborough County,BIKE,1620.59
12,Hillsborough County,AUTO,2807.92
13,Hillsborough County,AUTO,1792.73
13,Hillsborough County,WALK,398.03
14,Hillsborough County,AUTO,28389.38
14,Hillsborough County,SCHOOL BUS,6977.01
15,Hillsborough County,AUTO,7838.59
16,Hillsborough County,AUTO,22365.89
17,Hillsborough County,AUTO,23346.87
18,Hillsborough County,AUTO,2894.11
19,Hillsborough County,AUTO,10110.96
20,Hillsborough County,AUTO,429.46
21,Hillsborough County,AUTO,556.07
22,Hillsborough County,AUTO,280.78
23,Hillsborough County,AUTO,9041.5
24,Hillsborough County,AUTO,1003.32
24,Hillsborough County,WALK,282.77
25,Hillsborough County,AUTO,457.28
26,Hillsborough County,AUTO,323.16
26,Hillsborough County,WALK,2833.53
27,Hillsborough County,AUTO,10743.6
28,Hillsborough County,AUTO,652.65
29,Hillsborough County,AUTO,870.97
29,Hillsborough County,TRANSIT,243.69
29,Hillsborough County,WALK,694.32
30,Hillsborough County,AUTO,10927.05
30,Hillsborough County,BIKE,136.44
31,Hillsborough County,AUTO,582.5
31,Hillsborough County,WALK,197.17
32,Hillsborough County,AUTO,2328.28
33,Hillsborough County,AUTO,241.87
34,Hillsborough County,AUTO,23588.64
34,Hillsborough County,OTHER,154.34
35,Hillsborough County,AUTO,10573.89
35,Hillsborough County,BIKE,37.38
35,Hillsborough County,WALK,73.74
36,Hillsborough County,AUTO,31948.68
36,Hillsborough County,WALK,73.74
37,Hillsborough County,AUTO,8432.56
37,Hillsborough County,WALK,255.15
38,Hillsborough County,AUTO,19461.78
39,Hillsborough County,AUTO,573.11
40,Hillsborough County,AUTO,1388.25
41,Hillsborough County,AUTO,10262.33
41,Hillsborough County,SCHOOL BUS,1566.14
42,Hillsborough County,AUTO,7495.83
43,Hillsborough County,AUTO,1794.57
44,Hillsborough County,AUTO,2569.57
44,Hillsborough County,WALK,268.96
45,Hillsborough County,AUTO,2049.95
47,Hillsborough County,AUTO,19.4
48,Hillsborough County,AUTO,22.73
49,Hillsborough County,AUTO,2086.57
50,Hillsborough County,AUTO,1595.05
50,Hillsborough County,SCHOOL BUS,1612.51
51,Hillsborough County,AUTO,991.55
51,Hillsborough County,SCHOOL BUS,98.95
51,Hillsborough County,WALK,115.95
52,Hillsborough County,AUTO,18.28
53,Hillsborough County,AUTO,19390.09
53,Hillsborough County,SCHOOL BUS,98.95
53,Hillsborough County,WALK,36.57
54,Hillsborough County,AUTO,21802.93
54,Hillsborough County,TRANSIT,268.96
54,Hillsborough County,WALK,268.96
55,Hillsborough County,AUTO,391.76
55,Hillsborough County,WALK,445.2
56,Hillsborough County,AUTO,14668.85
56,Hillsborough County,OTHER,18.39
57,Hillsborough County,AUTO,7758.07
57,Hillsborough County,TRANSIT,268.96
57,Hillsborough County,WALK,806.89
58,Hillsborough County,AUTO,796.92
59,Hillsborough County,AUTO,3130.45
60,Hillsborough County,AUTO,7574.81
61,Hillsborough County,AUTO,2206.39
