FROM,TO,TRIPS
Brooksville Area,Brooksville Area,35187.58
Brooksville Area,Croom WMA  NE Hernando,2928.68
Brooksville Area,Crystal River and NW Citrus,0
Brooksville Area,External,150.9
Brooksville Area,Hillsborough  Manatee Spur,480.37
Brooksville Area,Homosassa Springs  SW Citrus,1017.3
Brooksville Area,Inverness and NE Citrus,0
Brooksville Area,Lake Lindsey  N. Central Hernando,889.85
Brooksville Area,NW Hernando,606.97
Brooksville Area,North Central Citrus,0
Brooksville Area,Pasco,8721.59
Brooksville Area,Pinellas,118.4
Brooksville Area,Richloam WMA and E Hernando,53.1
Brooksville Area,South Central Hernando,2693.52
Brooksville Area,South East Citrus,0
Brooksville Area,Spring Hill and SW Hernando,16861.21
Croom WMA  NE Hernando,Brooksville Area,2587.08
Croom WMA  NE Hernando,Croom WMA  NE Hernando,268.2
Croom WMA  NE Hernando,Crystal River and NW Citrus,0
Croom WMA  NE Hernando,External,32.17
Croom WMA  NE Hernando,Hillsborough  Manatee Spur,32.17
Croom WMA  NE Hernando,Homosassa Springs  SW Citrus,0
Croom WMA  NE Hernando,Inverness and NE Citrus,257.58
Croom WMA  NE Hernando,Lake Lindsey  N. Central Hernando,0
Croom WMA  NE Hernando,NW Hernando,0
Croom WMA  NE Hernando,North Central Citrus,0
Croom WMA  NE Hernando,Pasco,0
Croom WMA  NE Hernando,Pinellas,98.27
Croom WMA  NE Hernando,Richloam WMA and E Hernando,0
Croom WMA  NE Hernando,South Central Hernando,146.66
Croom WMA  NE Hernando,South East Citrus,0
Croom WMA  NE Hernando,Spring Hill and SW Hernando,256.73
Crystal River and NW Citrus,Brooksville Area,0
Crystal River and NW Citrus,Croom WMA  NE Hernando,0
Crystal River and NW Citrus,Crystal River and NW Citrus,53034.91
Crystal River and NW Citrus,External,5377.53
Crystal River and NW Citrus,Hillsborough  Manatee Spur,0
Crystal River and NW Citrus,Homosassa Springs  SW Citrus,10768.94
Crystal River and NW Citrus,Inverness and NE Citrus,9757.43
Crystal River and NW Citrus,Lake Lindsey  N. Central Hernando,0
Crystal River and NW Citrus,NW Hernando,0
Crystal River and NW Citrus,North Central Citrus,24693.72
Crystal River and NW Citrus,Pasco,0
Crystal River and NW Citrus,Pinellas,0
Crystal River and NW Citrus,Richloam WMA and E Hernando,0
Crystal River and NW Citrus,South Central Hernando,100.63
Crystal River and NW Citrus,South East Citrus,3449.26
Crystal River and NW Citrus,Spring Hill and SW Hernando,820.62
External,Brooksville Area,43.51
External,Croom WMA  NE Hernando,22.76
External,Crystal River and NW Citrus,2730.43
External,External,0
External,Hillsborough  Manatee Spur,0
External,Homosassa Springs  SW Citrus,1993.5
External,Inverness and NE Citrus,676.88
External,Lake Lindsey  N. Central Hernando,0
External,NW Hernando,0
External,North Central Citrus,5004.37
External,Pasco,0
External,Pinellas,0
External,Richloam WMA and E Hernando,26.55
External,South Central Hernando,101.1
External,South East Citrus,106.74
External,Spring Hill and SW Hernando,2565.36
Hillsborough  Manatee Spur,Brooksville Area,345.43
Hillsborough  Manatee Spur,Croom WMA  NE Hernando,22.76
Hillsborough  Manatee Spur,Crystal River and NW Citrus,0
Hillsborough  Manatee Spur,External,0
Hillsborough  Manatee Spur,Hillsborough  Manatee Spur,0
Hillsborough  Manatee Spur,Homosassa Springs  SW Citrus,37.83
Hillsborough  Manatee Spur,Inverness and NE Citrus,42.12
Hillsborough  Manatee Spur,Lake Lindsey  N. Central Hernando,0
Hillsborough  Manatee Spur,NW Hernando,196.72
Hillsborough  Manatee Spur,North Central Citrus,98.28
Hillsborough  Manatee Spur,Pasco,0
