FROM,TO,TRIPS
Apollo Beach  Ruskin,Apollo Beach  Ruskin,81692.85
Apollo Beach  Ruskin,CZ2,6.09
Apollo Beach  Ruskin,CZ4,12089.68
Apollo Beach  Ruskin,Citrus Park,0
Apollo Beach  Ruskin,Downtown,1764.84
Apollo Beach  Ruskin,East Town,388.89
Apollo Beach  Ruskin,External,1293.15
Apollo Beach  Ruskin,Gibsonton,5592.84
Apollo Beach  Ruskin,Harney Canal,0
Apollo Beach  Ruskin,Hernando  Citrus,0
Apollo Beach  Ruskin,MacDill AFB,0
Apollo Beach  Ruskin,Manatee Spur,150.22
Apollo Beach  Ruskin,NE Hilsborough,149.75
Apollo Beach  Ruskin,NW Hilsborough,0
Apollo Beach  Ruskin,New Tampa,41.16
Apollo Beach  Ruskin,Pasco,0
Apollo Beach  Ruskin,Pinellas,4065.81
Apollo Beach  Ruskin,Plant City Area,0
Apollo Beach  Ruskin,Port of Tampa  50th St Corridor,120.92
Apollo Beach  Ruskin,SE Hillsborough,38589.83
Apollo Beach  Ruskin,SW Hillsborough,0
Apollo Beach  Ruskin,TPA  Anderson Rd,0
Apollo Beach  Ruskin,Tampa Central,1035.37
Apollo Beach  Ruskin,USF  Hosp  Busch,0
Apollo Beach  Ruskin,West Brandon,505.77
Apollo Beach  Ruskin,Westshore  Rocky Point,158.1
CZ2,Apollo Beach  Ruskin,43.4
CZ2,CZ2,79613.37
CZ2,CZ4,520.66
CZ2,Citrus Park,0
CZ2,Downtown,4109.31
CZ2,East Town,2292.47
CZ2,External,1194.61
CZ2,Gibsonton,3584.49
CZ2,Harney Canal,47.16
CZ2,Hernando  Citrus,831.76
CZ2,MacDill AFB,3420.89
CZ2,Manatee Spur,0
CZ2,NE Hilsborough,456.45
CZ2,NW Hilsborough,0
CZ2,New Tampa,930.14
CZ2,Pasco,41.65
CZ2,Pinellas,235.15
CZ2,Plant City Area,0
CZ2,Port of Tampa  50th St Corridor,0
CZ2,SE Hillsborough,21243.15
CZ2,SW Hillsborough,57.32
CZ2,TPA  Anderson Rd,310.41
CZ2,Tampa Central,1548.95
CZ2,USF  Hosp  Busch,0
CZ2,West Brandon,4140.58
CZ2,Westshore  Rocky Point,156.08
CZ4,Apollo Beach  Ruskin,18350.82
CZ4,CZ2,426.89
CZ4,CZ4,160337.15
CZ4,Citrus Park,0
CZ4,Downtown,727.54
CZ4,East Town,145.35
CZ4,External,7368.24
CZ4,Gibsonton,25040.51
CZ4,Harney Canal,139.31
CZ4,Hernando  Citrus,0
CZ4,MacDill AFB,0
CZ4,Manatee Spur,0
CZ4,NE Hilsborough,1438.33
CZ4,NW Hilsborough,1803.81
CZ4,New Tampa,539.17
CZ4,Pasco,0
CZ4,Pinellas,1444.54
CZ4,Plant City Area,0
CZ4,Port of Tampa  50th St Corridor,0
CZ4,SE Hillsborough,11398.48
CZ4,SW Hillsborough,256.34
CZ4,TPA  Anderson Rd,806.17
CZ4,Tampa Central,4129.18
CZ4,USF  Hosp  Busch,2277.01
CZ4,West Brandon,5522.9
CZ4,Westshore  Rocky Point,1909.84
Citrus Park,Apollo Beach  Ruskin,0
Citrus Park,CZ2,0
Citrus Park,CZ4,0
Citrus Park,Citrus Park,402.7
Citrus Park,Downtown,0
Citrus Park,East Town,0
Citrus Park,External,0
Citrus Park,Gibsonton,0
Citrus Park,Harney Canal,0
Citrus Park,Hernando  Citrus,0
Citrus Park,MacDill AFB,0
Citrus Park,Manatee Spur,0
Citrus Park,NE Hilsborough,249.78
Citrus Park,NW Hilsborough,11089.1
Citrus Park,New Tampa,0
Citrus Park,Pasco,537.46
Citrus Park,Pinellas,3011.53
Citrus Park,Plant City Area,0
Citrus Park,Port of Tampa  50th St Corridor,0
Citrus Park,SE Hillsborough,213.75
Citrus Park,SW Hillsborough,117.76
Citrus Park,TPA  Anderson Rd,76.56
Citrus Park,Tampa Central,654.83
Citrus Park,USF  Hosp  Busch,0
Citrus Park,West Brandon,0
Citrus Park,Westshore  Rocky Point,213.3
Downtown,Apollo Beach  Ruskin,748.19
Downtown,CZ2,2594.28
Downtown,CZ4,249.94
Downtown,Citrus Park,117.76
Downtown,Downtown,100638.65
Downtown,East Town,863.65
Downtown,External,9032.18
Downtown,Gibsonton,968.33
Downtown,Harney Canal,1377.58
Downtown,Hernando  Citrus,196.76
Downtown,MacDill AFB,150.81
Downtown,Manatee Spur,0
Downtown,NE Hilsborough,8676.43
