FROM,TO,TRIPS
Citrus,Citrus,482334.08
Citrus,Clearwater,32.84
Citrus,External,14368.06
Citrus,Hernando Other,3320.82
Citrus,Hillsborough Other,149.75
Citrus,Manatee Spur,0
Citrus,New Port Richey,0
Citrus,Pasco Other,3308.37
Citrus,Pinellas Beaches,0
Citrus,Pinellas Other,513.08
Citrus,Plant City,0
Citrus,Spring Hill,2923.47
Citrus,St Petersburg,0
Citrus,Tampa,93.29
Citrus,USF  Hosp  Busch,4145.51
Clearwater,Citrus,513.08
Clearwater,Clearwater,496991.42
Clearwater,External,2172.17
Clearwater,Hernando Other,182.29
Clearwater,Hillsborough Other,8046.95
Clearwater,Manatee Spur,0
Clearwater,New Port Richey,484.64
Clearwater,Pasco Other,9774.08
Clearwater,Pinellas Beaches,2127.61
Clearwater,Pinellas Other,235611.64
Clearwater,Plant City,0
Clearwater,Spring Hill,199.71
Clearwater,St Petersburg,21242.9
Clearwater,Tampa,14081.07
Clearwater,USF  Hosp  Busch,4891.79
External,Citrus,10511.93
External,Clearwater,1568.4
External,External,210053.42
External,Hernando Other,310.07
External,Hillsborough Other,26235.85
External,Manatee Spur,0
External,New Port Richey,0
External,Pasco Other,3792.46
External,Pinellas Beaches,644.37
External,Pinellas Other,8501.59
External,Plant City,4089.73
External,Spring Hill,2449.21
External,St Petersburg,8508.66
External,Tampa,28777.58
External,USF  Hosp  Busch,148.16
Hernando Other,Citrus,2419.19
Hernando Other,Clearwater,223.56
Hernando Other,External,575.4
Hernando Other,Hernando Other,143997.05
Hernando Other,Hillsborough Other,5633.83
Hernando Other,Manatee Spur,0
Hernando Other,New Port Richey,0
Hernando Other,Pasco Other,25970.5
Hernando Other,Pinellas Beaches,0
Hernando Other,Pinellas Other,308.54
Hernando Other,Plant City,0
Hernando Other,Spring Hill,50146.65
Hernando Other,St Petersburg,0
Hernando Other,Tampa,310.48
Hernando Other,USF  Hosp  Busch,0
Hillsborough Other,Citrus,42.12
Hillsborough Other,Clearwater,28273.16
Hillsborough Other,External,30814.92
Hillsborough Other,Hernando Other,5824.93
Hillsborough Other,Hillsborough Other,3132130.98
Hillsborough Other,Manatee Spur,379.95
Hillsborough Other,New Port Richey,375.55
Hillsborough Other,Pasco Other,86451.75
Hillsborough Other,Pinellas Beaches,7868.98
Hillsborough Other,Pinellas Other,71736.41
Hillsborough Other,Plant City,23342.98
Hillsborough Other,Spring Hill,1745.35
Hillsborough Other,St Petersburg,22798.36
Hillsborough Other,Tampa,425630.07
Hillsborough Other,USF  Hosp  Busch,76172.83
Manatee Spur,Citrus,0
Manatee Spur,Clearwater,0
Manatee Spur,External,0
Manatee Spur,Hernando Other,0
Manatee Spur,Hillsborough Other,520.74
Manatee Spur,Manatee Spur,306.3
Manatee Spur,New Port Richey,0
Manatee Spur,Pasco Other,0
Manatee Spur,Pinellas Beaches,0
Manatee Spur,Pinellas Other,0
Manatee Spur,Plant City,0
Manatee Spur,Spring Hill,0
Manatee Spur,St Petersburg,0
Manatee Spur,Tampa,153.15
Manatee Spur,USF  Hosp  Busch,0
New Port Richey,Citrus,0
New Port Richey,Clearwater,484.64
New Port Richey,External,0
New Port Richey,Hernando Other,0
New Port Richey,Hillsborough Other,1008.08
New Port Richey,Manatee Spur,0
New Port Richey,New Port Richey,21512.05
New Port Richey,Pasco Other,42313.72
New Port Richey,Pinellas Beaches,0
New Port Richey,Pinellas Other,18010.5
New Port Richey,Plant City,0
New Port Richey,Spring Hill,39.53
New Port Richey,St Petersburg,0
New Port Richey,Tampa,1960.31
New Port Richey,USF  Hosp  Busch,1824.43
Pasco Other,Citrus,2455.25
Pasco Other,Clearwater,18800.01
Pasco Other,External,5970.97
Pasco Other,Hernando Other,17924.59
Pasco Other,Hillsborough Other,93797.91
Pasco Other,Manatee Spur,0
Pasco Other,New Port Richey,39009.22
Pasco Other,Pasco Other,1478330.55
Pasco Other,Pinellas Beaches,4043.71
Pasco Other,Pinellas Other,63520.85
Pasco Other,Plant City,3458.14
Pasco Other,Spring Hill,24045.62
Pasco Other,St Petersburg,1083.51
Pasco Other,Tampa,76272.53
Pasco Other,USF  Hosp  Busch,7297.46
Pinellas Beaches,Citrus,0
Pinellas Beaches,Clearwater,1804.23
Pinellas Beaches,External,511.82
Pinellas Beaches,Hernando Other,0
Pinellas Beaches,Hillsborough Other,7227.22
Pinellas Beaches,Manatee Spur,546.64
Pinellas Beaches,New Port Richey,0
Pinellas Beaches,Pasco Other,2349.04
Pinellas Beaches,Pinellas Beaches,22513.2
Pinellas Beaches,Pinellas Other,35197.32
Pinellas Beaches,Plant City,0
Pinellas Beaches,Spring Hill,0
Pinellas Beaches,St Petersburg,7148.23
Pinellas Beaches,Tampa,3042.63
Pinellas Beaches,USF  Hosp  Busch,0
