FROM,TO,TRIPS
Citrus,Citrus,0
Citrus,Dade City,0
Citrus,E New Port Richey,0
Citrus,External,0
Citrus,Hernando,0
Citrus,Hillsborough  Manatee Spur,0
Citrus,Hudson,1.19
Citrus,I-75  SR 52,0
Citrus,Lacoochie Ind Area,0
Citrus,Land O Lakes  Connerton,0
Citrus,NW Pasco,0
Citrus,New Port Richey,0
Citrus,Pasco Central,0
Citrus,Pasco East,0
Citrus,Pasco West,370.33
Citrus,Pinellas,0
Citrus,San Antonio,0
Citrus,Seven Springs  Odessa,0
Citrus,Suncoast  SR 54,0
Citrus,Wesley Chapel  I-75 - SR56,2883.63
Citrus,Zephyrhills,53.21
Dade City,Citrus,0
Dade City,Dade City,19834.42
Dade City,E New Port Richey,2752.68
Dade City,External,26.54
Dade City,Hernando,0
Dade City,Hillsborough  Manatee Spur,151.07
Dade City,Hudson,0
Dade City,I-75  SR 52,0
Dade City,Lacoochie Ind Area,0
Dade City,Land O Lakes  Connerton,42.91
Dade City,NW Pasco,0
Dade City,New Port Richey,0
Dade City,Pasco Central,395.58
Dade City,Pasco East,5664.29
Dade City,Pasco West,0
Dade City,Pinellas,0
Dade City,San Antonio,162.79
Dade City,Seven Springs  Odessa,0
Dade City,Suncoast  SR 54,0
Dade City,Wesley Chapel  I-75 - SR56,121.94
Dade City,Zephyrhills,10257.01
E New Port Richey,Citrus,0
E New Port Richey,Dade City,2967.75
E New Port Richey,E New Port Richey,4653.74
E New Port Richey,External,0
E New Port Richey,Hernando,204.51
E New Port Richey,Hillsborough  Manatee Spur,22.73
E New Port Richey,Hudson,0
E New Port Richey,I-75  SR 52,0
E New Port Richey,Lacoochie Ind Area,0
E New Port Richey,Land O Lakes  Connerton,0
E New Port Richey,NW Pasco,0
E New Port Richey,New Port Richey,3514.61
E New Port Richey,Pasco Central,5287.66
E New Port Richey,Pasco East,0
E New Port Richey,Pasco West,16350.76
E New Port Richey,Pinellas,928.07
E New Port Richey,San Antonio,0
E New Port Richey,Seven Springs  Odessa,1963.1
E New Port Richey,Suncoast  SR 54,51.52
E New Port Richey,Wesley Chapel  I-75 - SR56,0
E New Port Richey,Zephyrhills,0
External,Citrus,0
External,Dade City,0
External,E New Port Richey,0
External,External,0
