FROM,TO,TRIPS
Clearwater Dwntwn,Clearwater Dwntwn,11857.58
Clearwater Dwntwn,Clearwater Mall,484.11
Clearwater Dwntwn,Countryside Mall,0
Clearwater Dwntwn,Dwntwn USF Albert Whitted Airport,0
Clearwater Dwntwn,External,431.17
Clearwater Dwntwn,Gateway Area,0
Clearwater Dwntwn,Grand Central Area,0
Clearwater Dwntwn,Hernando  Citrus,98.27
Clearwater Dwntwn,Hillsborough,478.82
Clearwater Dwntwn,Manatee Spur,0
Clearwater Dwntwn,Mid-Cnty Ind Area,79.05
Clearwater Dwntwn,Oldsmar Ind Area,0
Clearwater Dwntwn,Pasco,413.73
Clearwater Dwntwn,Pinellas Beaches,504.93
Clearwater Dwntwn,Pinellas Central,3498.51
Clearwater Dwntwn,Pinellas North,3507.42
Clearwater Dwntwn,Pinellas North Central,17913.67
Clearwater Dwntwn,Pinellas South,2746.13
Clearwater Dwntwn,St Petersburg Clearwater Area,0
Clearwater Dwntwn,Tarpon Springs Area,0
Clearwater Dwntwn,Tyrone Square Area,0
Clearwater Mall,Clearwater Dwntwn,26.41
Clearwater Mall,Clearwater Mall,244.99
Clearwater Mall,Countryside Mall,123.49
Clearwater Mall,Dwntwn USF Albert Whitted Airport,0
Clearwater Mall,External,0
Clearwater Mall,Gateway Area,0
Clearwater Mall,Grand Central Area,0
Clearwater Mall,Hernando  Citrus,0
Clearwater Mall,Hillsborough,492.86
Clearwater Mall,Manatee Spur,0
Clearwater Mall,Mid-Cnty Ind Area,0
Clearwater Mall,Oldsmar Ind Area,0
Clearwater Mall,Pasco,100.06
Clearwater Mall,Pinellas Beaches,0
Clearwater Mall,Pinellas Central,1015.91
Clearwater Mall,Pinellas North,23.45
Clearwater Mall,Pinellas North Central,14351.33
Clearwater Mall,Pinellas South,1002.09
Clearwater Mall,St Petersburg Clearwater Area,0
Clearwater Mall,Tarpon Springs Area,0
Clearwater Mall,Tyrone Square Area,0
Countryside Mall,Clearwater Dwntwn,0
Countryside Mall,Clearwater Mall,0
Countryside Mall,Countryside Mall,115.63
Countryside Mall,Dwntwn USF Albert Whitted Airport,0
Countryside Mall,External,0
Countryside Mall,Gateway Area,0
Countryside Mall,Grand Central Area,0
Countryside Mall,Hernando  Citrus,0
Countryside Mall,Hillsborough,0
Countryside Mall,Manatee Spur,0
Countryside Mall,Mid-Cnty Ind Area,0
Countryside Mall,Oldsmar Ind Area,0
Countryside Mall,Pasco,98.27
Countryside Mall,Pinellas Beaches,0
Countryside Mall,Pinellas Central,375.13
Countryside Mall,Pinellas North,146.85
Countryside Mall,Pinellas North Central,8611.14
Countryside Mall,Pinellas South,0
Countryside Mall,St Petersburg Clearwater Area,0
Countryside Mall,Tarpon Springs Area,0
Countryside Mall,Tyrone Square Area,0
Dwntwn USF Albert Whitted Airport,Clearwater Dwntwn,0
Dwntwn USF Albert Whitted Airport,Clearwater Mall,0
Dwntwn USF Albert Whitted Airport,Countryside Mall,0
Dwntwn USF Albert Whitted Airport,Dwntwn USF Albert Whitted Airport,52538.4
Dwntwn USF Albert Whitted Airport,External,1469.75
Dwntwn USF Albert Whitted Airport,Gateway Area,5699.12
Dwntwn USF Albert Whitted Airport,Grand Central Area,2219.06
Dwntwn USF Albert Whitted Airport,Hernando  Citrus,0
Dwntwn USF Albert Whitted Airport,Hillsborough,11884.85
Dwntwn USF Albert Whitted Airport,Manatee Spur,0
Dwntwn USF Albert Whitted Airport,Mid-Cnty Ind Area,180.91
Dwntwn USF Albert Whitted Airport,Oldsmar Ind Area,0
Dwntwn USF Albert Whitted Airport,Pasco,123.85
Dwntwn USF Albert Whitted Airport,Pinellas Beaches,1904.98
Dwntwn USF Albert Whitted Airport,Pinellas Central,7105.31
Dwntwn USF Albert Whitted Airport,Pinellas North,167.13
Dwntwn USF Albert Whitted Airport,Pinellas North Central,12548.6
Dwntwn USF Albert Whitted Airport,Pinellas South,50217.78
Dwntwn USF Albert Whitted Airport,St Petersburg Clearwater Area,0
Dwntwn USF Albert Whitted Airport,Tarpon Springs Area,0
Dwntwn USF Albert Whitted Airport,Tyrone Square Area,466.51
External,Clearwater Dwntwn,366.93
External,Clearwater Mall,0
External,Countryside Mall,0
External,Dwntwn USF Albert Whitted Airport,734.72
External,External,0
External,Gateway Area,0
External,Grand Central Area,98.33
External,Hernando  Citrus,0
External,Hillsborough,0
External,Manatee Spur,0
External,Mid-Cnty Ind Area,241.19
External,Oldsmar Ind Area,0
External,Pasco,0
