ZONE,MODE,TRIPS
1,AUTO,7218.93
2,AUTO,3668.05
2,BIKE,1620.59
3,AUTO,40966.39
3,SCHOOL BUS,6977.01
3,TRANSIT,243.69
4,AUTO,2595.41
4,BIKE,182.38
5,AUTO,3562.97
6,AUTO,527.96
7,AUTO,4386.72
8,AUTO,5167.54
9,AUTO,2291.15
10,AUTO,321.48
11,AUTO,9992.52
11,BIKE,1620.59
12,AUTO,2807.92
13,AUTO,1792.73
13,WALK,398.03
14,AUTO,28389.38
14,SCHOOL BUS,6977.01
15,AUTO,7838.59
16,AUTO,22365.89
17,AUTO,23346.87
18,AUTO,2894.11
19,AUTO,10110.96
20,AUTO,429.46
21,AUTO,556.07
22,AUTO,280.78
23,AUTO,9041.5
24,AUTO,1003.32
24,WALK,282.77
25,AUTO,457.28
26,AUTO,323.16
26,WALK,2833.53
27,AUTO,10743.6
28,AUTO,652.65
29,AUTO,870.97
29,TRANSIT,243.69
29,WALK,694.32
30,AUTO,10927.05
30,BIKE,136.44
31,AUTO,582.5
31,WALK,197.17
32,AUTO,2328.28
33,AUTO,241.87
34,AUTO,23588.64
34,OTHER,154.34
35,AUTO,10573.89
35,BIKE,37.38
35,WALK,73.74
36,AUTO,31948.68
36,WALK,73.74
37,AUTO,8432.56
37,WALK,255.15
38,AUTO,19461.78
39,AUTO,573.11
40,AUTO,1388.25
41,AUTO,10262.33
41,SCHOOL BUS,1566.14
42,AUTO,7495.83
43,AUTO,1794.57
44,AUTO,2569.57
44,WALK,268.96
45,AUTO,2049.95
47,AUTO,19.4
48,AUTO,22.73
49,AUTO,2086.57
50,AUTO,1595.05
50,SCHOOL BUS,1612.51
51,AUTO,991.55
51,SCHOOL BUS,98.95
51,WALK,115.95
52,AUTO,18.28
53,AUTO,19390.09
53,SCHOOL BUS,98.95
53,WALK,36.57
54,AUTO,21802.93
54,TRANSIT,268.96
54,WALK,268.96
55,AUTO,391.76
55,WALK,445.2
56,AUTO,14668.85
56,OTHER,18.39
57,AUTO,7758.07
57,TRANSIT,268.96
57,WALK,806.89
58,AUTO,796.92
59,AUTO,3130.45
60,AUTO,7574.81
61,AUTO,2206.39
61,WALK,115.95
62,AUTO,2965.23
62,BIKE,98.3
62,WALK,106.16
63,AUTO,5092.21
63,SCHOOL BUS,1566.14
63,WALK,203.57
64,AUTO,1276.62
64,WALK,196.61
65,AUTO,9752.71
65,OTHER,98.3
65,SHUTTLE VANPOOL,82.94
65,TRANSIT,1075.85
65,WALK,2386.33
66,AUTO,5681.29
66,SHUTTLE VANPOOL,82.94
68,AUTO,18401.22
69,AUTO,498.89
69,WALK,635.5
71,AUTO,459.89
71,TRANSIT,268.96
71,WALK,537.93
72,AUTO,15080.17
72,BIKE,22.88
72,TNC,148.42
72,TRANSIT,268.96
73,AUTO,3684.38
74,AUTO,1504.59
75,AUTO,15890.82
76,AUTO,8479.07
76,TRANSIT,287.44
76,WALK,544.08
77,AUTO,5867.26
77,TRANSIT,268.96
77,WALK,277.17
78,AUTO,4135.9
78,SHUTTLE VANPOOL,827.55
78,TNC,209.77
79,AUTO,5934.23
80,AUTO,9437.81
80,SCHOOL BUS,1292.6
80,WALK,5247.75
81,AUTO,15333.45
81,SCHOOL BUS,2519
81,WALK,633.56
82,AUTO,2139.08
83,AUTO,5079.23
83,WALK,279.32
84,AUTO,20612.89
84,TAXI NOT TNC,104.93
84,WALK,27258.65
85,AUTO,24905.07
85,WALK,1257.26
86,AUTO,70537.91
86,BIKE,85.03
86,WALK,866.98
87,AUTO,4002.04
88,AUTO,1852.36
89,AUTO,537.39
90,AUTO,15843.87
91,AUTO,14903.03
91,SCHOOL BUS,1894.74
91,WALK,4250.2
92,AUTO,7109.83
92,WALK,568.4
93,AUTO,32306.11
94,AUTO,33832.88
94,SCHOOL BUS,79.05
95,AUTO,4536.21
95,WALK,327.07
96,AUTO,6912.82
96,BIKE,85.03
96,TNC,217.95
97,AUTO,7341.02
97,WALK,90.64
98,AUTO,996.31
99,AUTO,26604.18
99,SHUTTLE VANPOOL,28.67
99,TRANSIT,356.61
99,WALK,365.69
100,AUTO,285.88
101,AUTO,1946.67
101,WALK,1028.19
102,AUTO,9939.64
102,OTHER,100.56
102,SCHOOL BUS,79.05
102,WALK,441.57
103,AUTO,815.4
103,SCHOOL BUS,1891.49
103,WALK,79.09
104,AUTO,4248.22
105,AUTO,1852.48
105,BIKE,2233.5
105,WALK,1116.75
106,AUTO,31.55
107,AUTO,2196.43
107,WALK,499.69
108,AUTO,14138.99
108,WALK,497.12
109,AUTO,29904.2
109,WALK,2392.17
110,AUTO,15008.48
110,BIKE,46.62
110,OTHER,269.34
110,WALK,102.64
111,AUTO,1806.22
111,WALK,412.94
112,AUTO,5191.43
112,OTHER,154.34
112,WALK,349.34
113,AUTO,14026.28
113,WALK,397.4
114,AUTO,30646.14
114,TNC,732.43
114,WALK,609.47
115,AUTO,797.11
115,SCHOOL BUS,79.05
116,AUTO,28318.61
116,TNC,98.27
116,WALK,37.31
117,AUTO,8186.69
117,TRANSIT,98.68
117,WALK,394.86
118,AUTO,436.76
119,AUTO,587.53
120,AUTO,26460.19
120,BIKE,2328.06
120,SCHOOL BUS,3745.4
120,TRANSIT,2328.06
121,AUTO,2490.77
121,WALK,1036.43
122,AUTO,26119.86
122,BIKE,1551.63
122,SCHOOL BUS,1872.7
122,WALK,1839.89
123,AUTO,45765.62
123,OTHER,269.34
123,TRANSIT,713.23
123,WALK,234.61
124,AUTO,419.08
124,OTHER,538.67
125,AUTO,4215.53
126,AUTO,1118.31
126,TRANSIT,2142.8
127,AUTO,15039.24
127,OTHER,269.34
127,WALK,66.54
128,AUTO,10793.06
128,TRANSIT,3522.98
128,WALK,61.57
129,AUTO,24760.57
130,AUTO,1132.17
131,AUTO,347.44
131,WALK,31.92
132,AUTO,16466.75
132,WALK,3533.19
133,AUTO,16266.87
133,WALK,3494.67
134,AUTO,19549.53
134,WALK,8442.52
135,AUTO,8551.49
136,AUTO,575.84
136,WALK,280.74
137,AUTO,1689.57
137,WALK,511.69
138,AUTO,18918.2
138,WALK,2182.15
139,AUTO,1205.8
140,AUTO,17104.3
141,AUTO,17487.39
141,TNC,97.91
141,TRANSIT,98.47
142,AUTO,10634.92
142,TNC,99.31
142,WALK,571.62
143,AUTO,1057.81
143,WALK,421.01
144,AUTO,3229.46
144,WALK,696.79
145,AUTO,2836.93
145,WALK,258.57
146,AUTO,9906.06
146,WALK,601.99
147,AUTO,18654.98
147,WALK,4285.59
148,AUTO,356.15
148,TNC,149.75
148,TRANSIT,356.61
149,AUTO,7011.28
149,TRANSIT,2142.8
151,AUTO,6728.35
152,AUTO,202.72
153,AUTO,3236.95
153,TRANSIT,58.56
153,WALK,41.43
154,AUTO,741.7
155,AUTO,7073.2
155,BIKE,656.12
155,WALK,2765.17
156,AUTO,5663.34
156,OTHER,115.49
157,AUTO,4250.92
157,OTHER,123.97
157,SHUTTLE VANPOOL,9.14
157,TRANSIT,268.96
158,AUTO,961.89
158,BIKE,857.69
158,WALK,972.93
159,AUTO,361.15
160,AUTO,2594.38
161,AUTO,6653.27
161,WALK,3.72
162,AUTO,10569.98
162,WALK,7548.15
163,AUTO,13954.94
163,BIKE,656.12
163,WALK,347.16
164,AUTO,15981.76
164,BIKE,1038.78
164,WALK,2687.86
165,AUTO,31801.01
165,WALK,972.93
166,AUTO,7340.21
167,AUTO,11315
167,WALK,125.74
168,AUTO,14027.98
168,OTHER,123.97
168,WALK,3.72
169,AUTO,831.47
169,WALK,325.95
170,AUTO,9175.66
171,AUTO,11259.23
171,WALK,3655.98
172,AUTO,2822.08
172,TNC,312.31
173,AUTO,4188.41
173,SCHOOL BUS,3785.84
174,AUTO,2784.32
175,AUTO,79.46
176,AUTO,12077.51
177,AUTO,50.69
178,AUTO,689.65
178,WALK,2035.55
179,AUTO,2748.16
179,TRANSIT,88.78
179,WALK,2353.2
180,AUTO,6.09
180,SCHOOL BUS,1612.51
180,WALK,53.33
181,AUTO,11103.69
181,WALK,2353.2
182,AUTO,718.54
183,AUTO,3876.43
183,WALK,125.28
184,AUTO,5136.53
184,BIKE,122.28
184,TRANSIT,136.39
184,WALK,612.79
185,AUTO,5883.15
185,WALK,136.42
186,AUTO,1207.46
186,WALK,3864.75
187,AUTO,1154.34
187,TRANSIT,2476.92
188,AUTO,2373.85
190,AUTO,151.43
190,TRANSIT,686.53
191,AUTO,3113.76
191,WALK,6215.28
192,AUTO,1127.11
193,AUTO,2038.68
193,TRANSIT,1806.74
193,WALK,537.93
194,AUTO,27599.09
194,WALK,12859.29
195,AUTO,7533.61
196,AUTO,8704.2
196,WALK,893.84
197,AUTO,1203.53
197,TRANSIT,207.83
198,AUTO,2558.6
198,WALK,4256.29
199,AUTO,3145.74
200,AUTO,1292.98
200,WALK,218.4
201,AUTO,2954.48
201,TRANSIT,3522.98
201,WALK,3864.75
202,AUTO,5320.9
202,TRANSIT,6.16
202,WALK,39.53
203,AUTO,320.5
204,AUTO,5091.64
204,TRANSIT,2425.57
204,WALK,5675.38
205,AUTO,248.11
205,TRANSIT,18.48
206,AUTO,39.73
207,AUTO,119.19
208,AUTO,291.58
209,AUTO,4438.17
209,BIKE,2803.55
209,TRANSIT,1075.85
210,AUTO,12617.98
210,WALK,1075.85
211,AUTO,3419.69
213,AUTO,3595.43
213,WALK,9423.68
214,AUTO,455.05
215,AUTO,6724.72
215,TRANSIT,58.56
216,AUTO,2831.61
217,AUTO,29487.64
218,AUTO,13381.64
219,AUTO,635.5
219,WALK,9.03
220,AUTO,4980.62
221,AUTO,1439.61
222,AUTO,1673.99
223,AUTO,3917.86
224,AUTO,9456.62
224,WALK,2169.15
225,AUTO,1422.66
225,BIKE,80.24
227,AUTO,79.75
228,AUTO,620.46
230,AUTO,333.68
232,AUTO,5290.37
233,AUTO,197.81
234,AUTO,1514.93
235,AUTO,199.93
236,AUTO,21577.24
237,AUTO,12044.93
238,AUTO,3040.29
238,TNC,97.91
238,WALK,97.91
239,AUTO,298.07
240,AUTO,662.21
240,WALK,2391.86
241,AUTO,5984.86
242,AUTO,3844.04
242,SCHOOL BUS,694.02
242,WALK,177.32
243,AUTO,37.82
243,TRANSIT,149.75
243,WALK,371.85
244,AUTO,4954.48
244,WALK,1934.78
245,AUTO,10043.4
245,WALK,4278.22
246,WALK,183.56
247,AUTO,2427.82
247,WALK,78.11
248,AUTO,201.57
248,WALK,36.57
249,AUTO,412.11
249,TRANSIT,18.28
250,AUTO,2048.18
251,AUTO,6920.56
251,TRANSIT,136.39
252,AUTO,284.28
253,AUTO,2251.32
254,AUTO,240.5
255,AUTO,9733.92
256,AUTO,1101.95
257,AUTO,16183.79
257,WALK,17759.59
258,AUTO,3316.69
258,WALK,3833.35
259,AUTO,13493.25
260,AUTO,11582.8
260,WALK,617.39
261,AUTO,2245.53
262,AUTO,2563.83
262,TRANSIT,136.39
262,WALK,136.39
263,AUTO,119.6
264,AUTO,2317.37
266,AUTO,241.15
267,AUTO,2961.27
268,AUTO,1497.61
269,AUTO,8639.38
270,AUTO,735.88
270,TRANSIT,148.42
271,AUTO,306.84
271,WALK,2828.45
272,AUTO,14357.2
272,WALK,95.79
273,AUTO,2672.13
274,AUTO,882.89
274,WALK,1437.87
275,AUTO,2754.51
276,AUTO,1776.85
276,WALK,40.41
277,AUTO,281.23
277,WALK,40.41
278,AUTO,246.43
279,AUTO,12239.31
279,WALK,370.88
280,AUTO,14370.3
280,WALK,44.32
281,AUTO,179.61
282,AUTO,778.93
284,AUTO,2481.91
284,WALK,196.71
286,AUTO,2596.38
286,OTHER,150.76
287,AUTO,1420.2
288,AUTO,24280.4
288,TRANSIT,683.64
288,WALK,1764.67
289,AUTO,4331.74
289,TRANSIT,268.96
289,WALK,1879.4
290,AUTO,1228.54
290,BIKE,18.28
290,WALK,292.62
291,AUTO,7038.77
291,SHUTTLE VANPOOL,39.62
291,WALK,186.12
292,AUTO,11612.01
292,WALK,6.1
293,AUTO,25545.52
293,OTHER,48.96
293,TNC,330.53
293,WALK,2567.86
294,AUTO,457.63
295,AUTO,886.28
295,WALK,15.48
296,AUTO,1487.39
296,TRANSIT,88.78
297,AUTO,12488.16
297,OTHER,29.46
297,TNC,1096.92
298,AUTO,3262.47
299,AUTO,17530.71
299,TRANSIT,24.64
299,WALK,2671.79
300,AUTO,10871.89
300,BIKE,5.22
300,OTHER,91.85
300,WALK,287.53
301,AUTO,2335.43
301,OTHER,1
301,WALK,2508.85
302,AUTO,31842.47
302,OTHER,2.42
302,SHUTTLE VANPOOL,1961.87
302,TRANSIT,999.85
302,WALK,39721.63
303,AUTO,4407.75
303,TRANSIT,1493.41
304,AUTO,6726.4
304,TRANSIT,537.93
304,WALK,537.93
305,AUTO,478.41
305,TRANSIT,1010.51
306,AUTO,5226.73
307,AUTO,1999.22
307,SHUTTLE VANPOOL,72.09
307,TRANSIT,508.01
307,WALK,2765.12
308,AUTO,3660.15
308,BIKE,5.22
308,SHUTTLE VANPOOL,22.76
308,WALK,938.17
309,AUTO,11964.02
309,SHUTTLE VANPOOL,2.69
309,TNC,56.16
309,WALK,8782.57
310,AUTO,6770.77
310,TNC,569.08
310,WALK,2860
311,AUTO,8242.55
311,BIKE,18.28
311,WALK,4701.01
312,AUTO,671.42
312,WALK,168.69
313,AUTO,24745.52
313,BIKE,569.3
313,BIKE SHARE,43.78
313,OTHER,152.52
313,SHUTTLE VANPOOL,296.51
313,WALK,6707.98
314,AUTO,19298.49
314,BIKE,434.05
314,BIKE SHARE,9.14
314,OTHER,94.27
314,SHUTTLE VANPOOL,257.68
314,WALK,2204.03
315,AUTO,9517.41
315,BIKE,464.08
315,SHUTTLE VANPOOL,18.28
315,WALK,439.89
316,AUTO,2.42
316,WALK,88.78
317,AUTO,5426.01
317,BIKE,119.23
317,LONG DIST PASS,143.42
317,TRANSIT,119.23
317,WALK,7150.69
318,AUTO,18103.43
318,BIKE,863.48
318,WALK,88.78
319,AUTO,14742.34
319,WALK,11452.34
320,AUTO,24110.93
320,WALK,20906.49
321,AUTO,9209.14
322,AUTO,874.88
322,WALK,60.43
323,AUTO,17887.65
323,OTHER,98.47
323,TNC,101.47
323,WALK,197.17
324,AUTO,581.25
325,AUTO,10891.12
326,AUTO,22136.14
326,OTHER,106.95
326,SHUTTLE VANPOOL,768.96
326,WALK,5245.77
327,AUTO,6.09
327,WALK,893.84
328,AUTO,14011.74
329,AUTO,492.16
329,OTHER,113.04
329,TNC,14.07
329,TRANSIT,34.98
329,WALK,42.22
330,AUTO,17615.97
330,TRANSIT,142.29
331,AUTO,462.1
332,AUTO,309.62
332,WALK,45.46
333,AUTO,10260.19
333,WALK,26.71
334,AUTO,863.31
334,WALK,22.73
335,AUTO,4787.22
335,BIKE,2.31
335,SCHOOL BUS,3.39
335,WALK,4.61
337,AUTO,746.6
339,AUTO,137.48
340,AUTO,1891.73
341,AUTO,299.49
342,AUTO,378.24
343,AUTO,121.23
344,AUTO,1378.71
345,AUTO,964.54
346,AUTO,102.38
347,AUTO,194.77
347,BIKE,22.73
348,AUTO,1188.06
349,AUTO,158.48
349,TNC,159.34
350,AUTO,1411.93
351,AUTO,3667.7
351,WALK,1269.73
352,AUTO,3150.25
352,WALK,1269.73
353,AUTO,1857.67
354,AUTO,7264.58
354,SCHOOL BUS,80.98
354,TRANSIT,806.89
355,AUTO,531.63
355,SCHOOL BUS,18.28
356,AUTO,1252.14
358,AUTO,2311.52
358,OTHER,18.28
359,AUTO,2513.01
359,WALK,116.37
360,AUTO,390.73
361,AUTO,1854.64
361,TNC,39.62
362,AUTO,2447.07
362,SCHOOL BUS,161.96
362,TNC,100.67
362,WALK,3324.85
363,AUTO,994.03
364,AUTO,3060.11
364,TNC,100.67
364,WALK,79.25
365,TNC,118.29
366,AUTO,4322.9
366,SCHOOL BUS,79.05
366,TRANSIT,18.28
367,AUTO,26130.32
367,SCHOOL BUS,1913.92
368,AUTO,118.99
368,SCHOOL BUS,1994.9
368,TRANSIT,806.89
369,AUTO,2424.76
370,AUTO,2482.12
371,AUTO,47.06
371,OTHER,3.36
371,SHUTTLE VANPOOL,3880.13
373,AUTO,559.7
374,AUTO,307.68
376,AUTO,277.79
380,AUTO,123.96
384,AUTO,8688.02
385,AUTO,650.2
386,AUTO,2906.32
387,AUTO,582.36
388,AUTO,246.37
389,AUTO,1342.27
389,SCHOOL BUS,28.77
389,WALK,275.6
390,AUTO,488.91
391,AUTO,20.41
393,AUTO,1952.18
394,AUTO,26.36
395,AUTO,347.36
396,AUTO,27956.78
396,SHUTTLE VANPOOL,3880.13
397,SCHOOL BUS,28.77
398,AUTO,117.6
399,AUTO,9085.44
399,SHUTTLE VANPOOL,1940.06
400,AUTO,419.49
401,AUTO,3692.01
401,WALK,115.48
402,AUTO,3443.48
403,AUTO,3437.72
404,AUTO,2833.98
405,AUTO,9.77
406,AUTO,131.34
408,AUTO,158.18
408,WALK,181.41
409,AUTO,42.66
409,TNC,1902.43
410,AUTO,213.9
411,AUTO,531.8
415,AUTO,792.06
416,AUTO,788.9
416,WALK,159.91
417,AUTO,145.93
418,AUTO,3178.3
419,AUTO,1297.89
420,AUTO,7614.12
421,AUTO,886.99
422,AUTO,10115.79
423,AUTO,4917.85
423,TNC,1902.43
423,WALK,1597.37
424,AUTO,29622.43
424,WALK,305.48
425,AUTO,24404.46
425,SHUTTLE VANPOOL,1940.06
426,AUTO,163.6
427,AUTO,674.29
427,TRANSIT,142.29
427,WALK,1823.59
428,AUTO,4128.77
428,TNC,2336.45
428,WALK,350.04
429,AUTO,282.42
429,BIKE,105.4
429,WALK,26.71
430,AUTO,1673.91
430,TRANSIT,150.43
430,WALK,98.72
431,AUTO,438.84
431,WALK,325.88
432,AUTO,9298.49
432,WALK,1823.59
433,AUTO,1508.74
433,TNC,1127.12
433,WALK,2234.49
434,AUTO,7873.62
434,OTHER,1169.09
434,SCHOOL BUS,180.94
434,WALK,34.63
435,AUTO,7196.54
436,AUTO,4079.33
436,WALK,2221.85
437,AUTO,5458.4
438,AUTO,31542.78
438,LONG DIST PASS,3429.86
438,SHUTTLE VANPOOL,171.89
438,TNC,4731.27
439,AUTO,173.58
439,SHUTTLE VANPOOL,74.72
440,AUTO,29.3
441,AUTO,14708.32
441,SHUTTLE VANPOOL,9.14
442,AUTO,22507.27
443,AUTO,10966.58
443,BIKE,74.59
443,TRANSIT,18.48
443,WALK,1127.68
444,AUTO,347.4
445,AUTO,4716.8
446,AUTO,3959.41
447,AUTO,6547.49
447,WALK,1342.3
448,AUTO,9653.55
448,TRANSIT,12.32
449,AUTO,5229.87
450,AUTO,1391.1
451,AUTO,4800.42
452,AUTO,8163.6
452,WALK,6.16
453,AUTO,5382.89
454,AUTO,5250.17
454,TRANSIT,2768.74
455,AUTO,11643.2
455,TNC,2886.88
456,AUTO,7989.03
456,TRANSIT,174.97
456,WALK,41.3
457,AUTO,8891.84
457,TNC,3302.24
458,AUTO,11771.19
458,SHUTTLE VANPOOL,64.12
458,WALK,1335.88
459,AUTO,2313.31
460,AUTO,3537.4
460,WALK,669.14
461,AUTO,3471.28
461,TNC,9.14
462,AUTO,281.05
463,AUTO,1767.59
464,AUTO,5599
465,AUTO,14383.74
465,SHUTTLE VANPOOL,343.18
465,TRANSIT,957.52
466,AUTO,1294.62
467,AUTO,21637.64
467,TRANSIT,209.77
468,AUTO,6535.92
469,AUTO,5453.54
470,AUTO,122.4
471,AUTO,1848.45
472,AUTO,1913.57
473,AUTO,681.3
473,TRANSIT,149.75
474,AUTO,152.31
475,AUTO,2954.19
475,WALK,80.53
476,AUTO,12640.08
476,WALK,730.04
477,AUTO,10371.53
477,TNC,99.31
477,WALK,32.24
478,AUTO,2734.18
479,AUTO,309.6
480,AUTO,3152.28
480,WALK,54.59
481,AUTO,4927.39
481,WALK,42.09
482,AUTO,4386.09
482,WALK,1066.08
483,AUTO,2303.01
483,WALK,177.32
484,AUTO,1243.44
484,WALK,177.32
485,AUTO,4280.08
485,WALK,55.86
486,AUTO,582.61
487,AUTO,10133.07
488,AUTO,2948.08
489,AUTO,1631.33
490,AUTO,331.52
491,AUTO,2716.42
491,WALK,7.41
492,AUTO,4219.92
492,WALK,204.29
493,AUTO,9334.53
494,AUTO,3535.4
495,AUTO,4078.62
496,AUTO,6124.35
497,AUTO,4862.71
497,WALK,581.2
498,AUTO,8404.77
498,BIKE,1195.93
498,WALK,739.88
499,AUTO,1077.23
499,WALK,257.67
500,AUTO,18.28
501,AUTO,196.69
502,AUTO,410.27
503,AUTO,16809.77
503,BIKE,101.31
503,WALK,399.37
504,AUTO,36231.42
504,WALK,376.9
505,AUTO,4642.49
505,WALK,22.74
506,AUTO,3033.11
506,WALK,572.83
507,AUTO,5114.39
507,WALK,5.18
508,AUTO,3262.23
509,AUTO,11978.55
509,WALK,3.45
510,AUTO,3550.75
510,WALK,2484.42
511,AUTO,12908.4
511,BIKE,1017.77
511,CAR SHARE,18.45
511,WALK,344.79
512,AUTO,6596.7
512,WALK,1946.09
513,AUTO,3864.78
513,WALK,281.78
514,AUTO,5798.59
514,WALK,937.31
515,AUTO,7724.04
515,TRANSIT,535.38
515,WALK,80.53
516,AUTO,5448.33
516,WALK,344.99
517,AUTO,20550.73
517,BIKE,3679.78
517,OTHER,119.04
517,WALK,23749.74
518,AUTO,1879.51
518,CAR SHARE,18.45
518,WALK,243.89
519,AUTO,6769.64
519,WALK,226.09
520,AUTO,3452.62
520,WALK,2097.33
521,AUTO,30719.98
521,TRANSIT,99.77
