ZONE,COUNTY,MODE,TRIPS
3,Hillsborough County,AUTO,39.64
4,Hillsborough County,AUTO,32.12
6,Hillsborough County,AUTO,22.73
8,Hillsborough County,AUTO,122.36
13,Hillsborough County,AUTO,173.77
14,Hillsborough County,AUTO,101.49
16,Hillsborough County,AUTO,48.78
19,Hillsborough County,AUTO,1007.57
22,Hillsborough County,AUTO,79.33
23,Hillsborough County,AUTO,39.64
24,Hillsborough County,AUTO,69.27
27,Hillsborough County,AUTO,9.14
29,Hillsborough County,AUTO,9.14
30,Hillsborough County,AUTO,128.03
31,Hillsborough County,AUTO,49.44
34,Hillsborough County,AUTO,145.11
35,Hillsborough County,AUTO,26.71
36,Hillsborough County,AUTO,125.21
37,Hillsborough County,AUTO,66.76
38,Hillsborough County,AUTO,1764.37
42,Hillsborough County,AUTO,18.39
43,Hillsborough County,AUTO,158.56
44,Hillsborough County,AUTO,115.76
45,Hillsborough County,AUTO,45.46
48,Hillsborough County,AUTO,22.73
50,Hillsborough County,AUTO,18.28
53,Hillsborough County,AUTO,328.75
53,Hillsborough County,WALK,36.57
54,Hillsborough County,AUTO,6.09
56,Hillsborough County,AUTO,18.39
57,Hillsborough County,AUTO,98.52
59,Hillsborough County,AUTO,177.58
61,Hillsborough County,AUTO,313.12
63,Hillsborough County,AUTO,9.14
65,Hillsborough County,AUTO,18.28
66,Hillsborough County,AUTO,144.33
68,Hillsborough County,AUTO,34.64
69,Hillsborough County,AUTO,144.35
71,Hillsborough County,AUTO,280.13
72,Hillsborough County,AUTO,77.83
72,Hillsborough County,BIKE,22.88
73,Hillsborough County,AUTO,6.09
74,Hillsborough County,AUTO,55.91
76,Hillsborough County,AUTO,45.09
76,Hillsborough County,TRANSIT,18.48
76,Hillsborough County,WALK,6.16
77,Hillsborough County,AUTO,1691.63
78,Hillsborough County,AUTO,2024.37
78,Hillsborough County,SHUTTLE VANPOOL,22.97
84,Hillsborough County,AUTO,34.63
85,Hillsborough County,AUTO,2370.82
86,Hillsborough County,AUTO,13131.7
88,Hillsborough County,AUTO,69.82
89,Hillsborough County,AUTO,98.5
93,Hillsborough County,AUTO,787.77
94,Hillsborough County,AUTO,64.58
95,Hillsborough County,AUTO,58.24
96,Hillsborough County,AUTO,328.89
97,Hillsborough County,AUTO,62.4
99,Hillsborough County,AUTO,407.67
102,Hillsborough County,AUTO,203.02
102,Hillsborough County,WALK,203.02
110,Hillsborough County,AUTO,172.8
110,Hillsborough County,BIKE,46.62
111,Hillsborough County,AUTO,103.44
112,Hillsborough County,AUTO,195.55
114,Hillsborough County,AUTO,1302.21
116,Hillsborough County,AUTO,15168.51
117,Hillsborough County,AUTO,252.36
117,Hillsborough County,TRANSIT,98.68
120,Hillsborough County,AUTO,31.55
123,Hillsborough County,AUTO,7088.2
124,Hillsborough County,AUTO,149.75
125,Hillsborough County,AUTO,22.73
127,Hillsborough County,AUTO,18.87
128,Hillsborough County,AUTO,104.61
129,Hillsborough County,AUTO,54.95
130,Hillsborough County,AUTO,773.16
131,Hillsborough County,AUTO,64.25
131,Hillsborough County,WALK,22.73
133,Hillsborough County,AUTO,2605.65
135,Hillsborough County,AUTO,50.88
137,Hillsborough County,AUTO,266.26
138,Hillsborough County,AUTO,5954.22
140,Hillsborough County,AUTO,6505.72
141,Hillsborough County,TRANSIT,98.47
142,Hillsborough County,AUTO,299.47
142,Hillsborough County,WALK,413.52
144,Hillsborough County,AUTO,44.99
146,Hillsborough County,AUTO,169.48
147,Hillsborough County,AUTO,3722.11
153,Hillsborough County,AUTO,64.16
154,Hillsborough County,AUTO,128.2
155,Hillsborough County,AUTO,290.45
155,Hillsborough County,WALK,63.09
156,Hillsborough County,AUTO,84.95
157,Hillsborough County,AUTO,791.44
157,Hillsborough County,SHUTTLE VANPOOL,9.14
161,Hillsborough County,AUTO,109.73
161,Hillsborough County,WALK,3.72
162,Hillsborough County,AUTO,53.6
163,Hillsborough County,AUTO,248.84
164,Hillsborough County,AUTO,1313.81
164,Hillsborough County,BIKE,1038.78
164,Hillsborough County,WALK,2687.86
165,Hillsborough County,AUTO,1945.87
167,Hillsborough County,AUTO,81.19
167,Hillsborough County,WALK,7.45
168,Hillsborough County,AUTO,12543.86
168,Hillsborough County,WALK,3.72
169,Hillsborough County,AUTO,31.55
170,Hillsborough County,AUTO,273.37
171,Hillsborough County,AUTO,168.59
172,Hillsborough County,AUTO,107.77
178,Hillsborough County,AUTO,146.24
179,Hillsborough County,AUTO,226.03
179,Hillsborough County,TRANSIT,88.78
180,Hillsborough County,AUTO,6.09
180,Hillsborough County,WALK,53.33
181,Hillsborough County,AUTO,30.47
182,Hillsborough County,AUTO,36.57
183,Hillsborough County,AUTO,328.78
183,Hillsborough County,WALK,106.99
184,Hillsborough County,AUTO,4398.13
184,Hillsborough County,BIKE,122.28
184,Hillsborough County,WALK,594.51
185,Hillsborough County,AUTO,535.08
187,Hillsborough County,TRANSIT,69.82
188,Hillsborough County,AUTO,63.56
191,Hillsborough County,AUTO,6.12
192,Hillsborough County,AUTO,6.12
193,Hillsborough County,AUTO,6.09
194,Hillsborough County,AUTO,109.73
195,Hillsborough County,AUTO,70.09
196,Hillsborough County,AUTO,60.95
198,Hillsborough County,AUTO,22.73
201,Hillsborough County,AUTO,1104.41
202,Hillsborough County,AUTO,18.28
202,Hillsborough County,TRANSIT,6.16
204,Hillsborough County,AUTO,12.19
204,Hillsborough County,TRANSIT,18.48
204,Hillsborough County,WALK,18.48
205,Hillsborough County,TRANSIT,18.48
209,Hillsborough County,AUTO,109.61
210,Hillsborough County,AUTO,803.74
211,Hillsborough County,AUTO,124.96
214,Hillsborough County,AUTO,6.09
216,Hillsborough County,AUTO,107.58
218,Hillsborough County,AUTO,240.92
221,Hillsborough County,AUTO,27.43
225,Hillsborough County,BIKE,80.24
230,Hillsborough County,AUTO,90.02
232,Hillsborough County,AUTO,975.44
234,Hillsborough County,AUTO,437.36
237,Hillsborough County,AUTO,47.04
238,Hillsborough County,AUTO,45.46
240,Hillsborough County,AUTO,6.09
241,Hillsborough County,AUTO,41.01
242,Hillsborough County,AUTO,196.55
243,Hillsborough County,AUTO,37.82
244,Hillsborough County,WALK,1760.15
245,Hillsborough County,AUTO,293.53
248,Hillsborough County,WALK,36.57
249,Hillsborough County,TRANSIT,18.28
250,Hillsborough County,AUTO,8.06
254,Hillsborough County,AUTO,22.73
258,Hillsborough County,AUTO,15.24
259,Hillsborough County,AUTO,135.35
260,Hillsborough County,AUTO,32.12
261,Hillsborough County,AUTO,463.75
262,Hillsborough County,AUTO,186.54
264,Hillsborough County,AUTO,8.06
266,Hillsborough County,AUTO,179.04
269,Hillsborough County,AUTO,26.71
270,Hillsborough County,AUTO,227.18
271,Hillsborough County,AUTO,45.66
274,Hillsborough County,AUTO,12.19
275,Hillsborough County,AUTO,39.59
276,Hillsborough County,AUTO,26.65
278,Hillsborough County,AUTO,8.06
279,Hillsborough County,AUTO,889.72
280,Hillsborough County,AUTO,519.38
281,Hillsborough County,AUTO,26.99
282,Hillsborough County,AUTO,85.1
286,Hillsborough County,AUTO,18.28
288,Hillsborough County,AUTO,143
288,Hillsborough County,TRANSIT,6.16
288,Hillsborough County,WALK,6.16
289,Hillsborough County,AUTO,1918.19
290,Hillsborough County,AUTO,163.74
290,Hillsborough County,BIKE,18.28
290,Hillsborough County,WALK,73.13
291,Hillsborough County,AUTO,653.32
291,Hillsborough County,SHUTTLE VANPOOL,39.62
291,Hillsborough County,WALK,146.5
292,Hillsborough County,AUTO,539.1
293,Hillsborough County,AUTO,8974.57
293,Hillsborough County,WALK,1.82
294,Hillsborough County,AUTO,214.54
295,Hillsborough County,AUTO,54.68
295,Hillsborough County,WALK,15.48
296,Hillsborough County,TRANSIT,88.78
